hormone,subset,covariate,compound_id,Name,Super.Class,Pathways,rho,p,fdr,sig,n
E2,Sex-combined,Sex,Amide-Pos-000240,"N,N-Diethylethanolamine",Organic nitrogen compounds,NA,0.6150752708765851,0.005065689720867988,0.863701637440574,FALSE,20
E2,Sex-combined,Sex,C8-Pos-002412,Lpe 22:3,Lipids and lipid-like molecules,NA,-0.601037851037851,0.006494801277185306,0.863701637440574,FALSE,20
E2,Sex-combined,Sex,C8-Pos-000382,D-Sphingosine,Organic nitrogen compounds,R-HSA-9845614;WP1422;WP4142;WP4153;WP4725;WP4726;WP4846;WP4949;WP5143;WP5194,0.5999256336628761,0.006620803924810737,0.863701637440574,FALSE,20
E2,Sex-combined,Sex,C8-Neg-003489,Ps(16:1_26:4),Lipids and lipid-like molecules,NA,0.5972378425130395,0.040315166427421806,0.863701637440574,FALSE,13
E2,Sex-combined,Sex,Amide-Pos-000085,Cyclohexylamine,Organic nitrogen compounds,NA,0.593010613255737,0.007449671569277943,0.863701637440574,FALSE,20
E2,Sex-combined,Sex,Amide-Pos-000913,Anserine,Organic acids and derivatives,map00340;map00410;R-HSA-70921;WP4486,0.5858403211830235,0.010626431295546539,0.863701637440574,FALSE,19
E2,Sex-combined,Sex,C18-Pos-000931,"1,3-Benzodioxolylbutanamine (Bdb)",Organoheterocyclic compounds,NA,-0.5768228043143948,0.06320007877796455,0.863701637440574,FALSE,12
E2,Sex-combined,Sex,Amide-Neg-000001,Acrylic Acid,Organic acids and derivatives,NA,0.5756734815703576,0.012420848313702975,0.863701637440574,FALSE,19
E2,Sex-combined,Sex,Amide-Pos-001360,"D-Myo-Inositol-1,2-Diphosphate",Organic oxygen compounds,NA,0.5462324503064051,0.015535967162735554,0.863701637440574,FALSE,20
E2,Sex-combined,Sex,C8-Neg-003462,Pc(17:3_20:1),Lipids and lipid-like molecules,NA,0.5436984925295076,0.02407527707582235,0.863701637440574,FALSE,18
E2,Sex-combined,Sex,C8-Neg-002321,"(2s)-2-Hydroxy-3-[(Hydroxy{[(1s,2r,3r,4s,5s,6r)-2,3,4,5,6-Pentahydroxycyclohexyl]Oxy}Phosphoryl)Oxy]Propyl (12z)-12-Octadecenoate",Lipids and lipid-like molecules,NA,-0.5381589277020896,0.017459503357201946,0.863701637440574,FALSE,20
E2,Sex-combined,Sex,C8-Pos-003614,Tg(36:6_4:0),Lipids and lipid-like molecules,NA,0.5172168232179383,0.023340377220932004,0.863701637440574,FALSE,20
E2,Sex-combined,Sex,Amide-Pos-000180,Uracil,Organoheterocyclic compounds,map00410;R-HSA-110329;R-HSA-425397;R-HSA-73614;R-HSA-73621;R-HSA-73884;R-HSA-73928;R-HSA-73929;R-HSA-83936;R-HSA-8956319;R-HSA-8956321;WP4022;WP4157;WP4225;WP4584;WP4595,-0.5123830475562791,0.024896954816747432,0.863701637440574,FALSE,20
E2,Sex-combined,Sex,Amide-Pos-000957,Uridine,"Nucleosides, nucleotides, and analogues",R-HSA-425397;R-HSA-5619063;R-HSA-73614;R-HSA-73621;R-HSA-83936;R-HSA-8956319;R-HSA-8956321;WP4022;WP4225;WP4485;WP4584;WP4595;WP5408,-0.5098220913113662,0.02575405201059562,0.863701637440574,FALSE,20
E2,Sex-combined,Sex,Amide-Pos-001770,Cytidine 5'-Triphosphate,Organic oxygen compounds,R-HSA-1483148;R-HSA-1483191;R-HSA-1483213;R-HSA-1483226;R-HSA-4085001;R-HSA-446199;R-HSA-446219;R-HSA-4755583;R-HSA-499943;R-HSA-5609975;R-HSA-6784531;R-HSA-6785470;R-HSA-6807505;R-HSA-8850843;R-HSA-8956319;WP2533;WP4022;WP4225;WP4584;WP466;WP4906,0.49877893197777906,0.041543982293617276,0.863701637440574,FALSE,18
E2,Sex-combined,Sex,C8-Neg-003343,Pg(20:3_20:4),Lipids and lipid-like molecules,NA,0.49333432512464304,0.03184048361805116,0.863701637440574,FALSE,20
E2,Sex-combined,Sex,Amide-Neg-001873,"D-Fructose-1,6-Bisphosphate",Organic oxygen compounds,map00051;R-HSA-70171;R-HSA-70263;R-HSA-70268;R-HSA-70326;R-HSA-73817;R-HSA-8956320;WP1946;WP2456;WP4290;WP4628;WP4629;WP4949;WP5178;WP5216;WP534,0.4843864479652238,0.041640384029220205,0.863701637440574,FALSE,19
E2,Sex-combined,Sex,C18-Pos-001951,Gln-Gly-Ile,Organic acids and derivatives,NA,-0.4828872482141736,0.058139761937778756,0.863701637440574,FALSE,17
E2,Sex-combined,Sex,Amide-Pos-000167,Amifampridine,Organoheterocyclic compounds,NA,-0.48241205000848586,0.04260321119387298,0.863701637440574,FALSE,19
E2,Sex-combined,Sex,C8-Pos-003687,Dg(20:4_22:5),Lipids and lipid-like molecules,NA,0.48205917155578,0.03660867627050535,0.863701637440574,FALSE,20
