cell_type,n_associations,n_metabolites,n_genes
EN-L6b,33504,91,5984
IN-MGE-SST,13679,77,2272
EN-L6-IT,10985,61,6312
EN-IT-Immature,8810,68,3903
EN-Non-IT-Immature,8690,88,1774
IPC-EN,6517,79,1490
IN-CGE-Immature,6384,67,1728
EN-Newborn,3285,84,1852
Astrocyte-Immature,2144,78,1256
OPC,1881,262,320
IN-MGE-Immature,1247,105,368
