"Compound.ID","Name","Formula","Sample01","Sample08","Sample09","Sample10","Sample19","Sample20","Sample32","Sample35"
"C8-Pos-000208","Opeo","C16 H26 O2",11433908.5415504,6660793.04743666,4841690.53587478,18857778.5342576,13826913.5284466,5411003.59694479,10961033.6790762,17436666.6527933
"Amide-Pos-001163","Ophthalmate","C11 H19 N3 O6",623586.559033802,1769184.1160174,1352839.35744268,1840694.98090565,2392080.59776931,1203327.62051419,1771965.00698969,1593698.03012538
"C18-Pos-000910","Oxindole-3-Acetic Acid","C10 H9 N O3",10365.2771471729,NA,NA,932287.635438362,NA,1504786.60814689,1439622.21090311,5272.17514409909
"C8-Pos-004019","Pa(18:1_20:0)","C41 H79 O8 P",713353.021526624,NA,286260.485664342,203195.18534154,380698.53633576,168739.00577451,530141.644531972,732676.791297097
"C8-Pos-004343","Pa(18:2_23:3)","C44 H77 O8 P",NA,8708925.3417753,4174277.46660658,94372.3214146533,NA,1293275.42254877,5026244.60733698,4394046.85009672
"C8-Neg-003366","Pa(22:0_23:5)","C48 H85 O8 P",44437.6431727035,NA,NA,50302.9620773909,21239.9391768975,NA,NA,23693.4714234069
"C8-Neg-003516","Pa(29:1_20:6)","C52 H89 O8 P",1465880.63619612,2036998.59507137,164371.414352505,1611656.58623785,1868420.88602507,162146.073509206,1527863.84953522,1582359.67042615
"C8-Pos-000342","Palmitic Acid","C16 H32 O2",94204335.9801291,113258036.599721,52247174.8586092,51719339.8589623,84457767.049419,40791976.7920015,70206924.1848581,100878589.769008
"C8-Pos-000148","Palmitoleic Acid","C16 H30 O2",1839251.34905937,2312259.12724993,1544181.00174262,1679625.70940392,2034410.57811609,1374852.14966914,1774006.65506024,2168857.09562198
"C8-Pos-000497","Palmitoyl Ethanolamide","C18 H37 N O2",2980522.82407674,8186120.50436764,1887635.71057015,975972.890723956,4699500.69842189,975458.00398173,1796439.88407803,4082898.08600225
"C8-Pos-003642","Palmitoyl Sphingomyelin","C39 H79 N2 O6 P",187432168.238009,147350083.931637,96032803.4667514,66255170.8948411,175174673.477142,79697692.4252699,108027076.880418,147988500.789423
"C8-Pos-001332","Palmitoylcarnitine","C23 H45 N O4",21403099.2002733,30404249.8370441,8428278.81439815,6348693.05548544,22273150.0599631,2087226.64517638,8050316.51444758,19754511.9655856
"C8-Pos-003881","Pc 16:0_16:1","C40 H78 N O8 P",15115428.2423368,NA,2664405.0834212,3539081.14347924,7432071.52953691,NA,16661559.1220385,NA
"C8-Pos-004446","Pc 38:4","C46 H84 N O8 P",3869611.65387427,1779385.2801944,4838344.63835166,5584335.77781992,3440664.42551018,6553525.02152076,3173122.41373837,3062699.72365779
"C8-Pos-004528","Pc O-38:2","C46 H90 N O7 P",2752809.04103949,5262821.62133207,1557781.8452944,1779788.3618579,4579005.38563706,952143.983852744,1442456.61070854,4027700.3272732
"C8-Pos-004947","Pc O-42:6","C50 H90 N O7 P",5115358.87839418,4395853.9768097,2151895.90883256,2128432.77822939,3465871.16993781,812661.578582037,2047624.64105321,3398340.67835616
