"Compound.ID","Name","Formula","Sample10","Sample19","Sample32","Sample35","Sample01","Sample08","Sample09","Sample20"
"C18-Pos-000401","(-)-Epinephrine","C9 H13 N O3",606131.73104045,301866.687576081,770701.671675308,522528.710915245,621426.733617865,1830913.81189757,519017.538863421,716079.782120636
"C18-Pos-000618","(-)-Riboflavin","C17 H20 N4 O6",86939.5139306545,114070.830407693,NA,14323.0681414142,82720.7001116249,66538.348406145,165057.101520831,27300.9344920086
"C8-Pos-000439","(11.Xi.)-4,7-Dihydroxy-12,13-Epoxytrichothec-9-En-8-One","C15 H20 O5",692689.046708542,687623.372171954,859206.390161803,765004.477589333,722992.341134081,788909.11676788,724918.793870367,956836.103352068
"C8-Pos-000527","(14e,16s,17s)-17-{2-[(2r)-2-(Methoxymethyl)-1-Pyrrolidinyl]-2-Oxoethyl}-8-(1-Piperazinyl)-12-Oxa-1,4-Diazatricyclo[14.3.1.06,11]Icosa-6,8,10,14-Tetraen-2-One","C29 H43 N5 O4",331702.786197426,315018.289937756,313637.035707419,307582.45918754,292335.700564667,367508.118351707,310900.478723606,379209.787577667
"C8-Pos-000504","(25s)-7-Dafachronic Acid","C27 H42 O3",59811.9873249341,NA,83300.9825986657,264500.66486311,477354.415865331,272931.146324141,234805.028336177,NA
"Amide-Neg-000169","(2e)-4-Hydroxybut-2-Enoic Acid","C4 H6 O3",4186418.45686985,3547246.95615351,1493102.64574461,2169023.20275545,3421589.63583456,1268925.53499146,1148682.24492097,1039878.18276015
"Amide-Neg-000185","(2r)-2,3-Dihydroxypropanoic Acid","C3 H6 O4",1925771.95800167,1649250.11441625,3711152.72027757,NA,974856.076705343,NA,938799.81505341,1174986.84504379
"Amide-Pos-000391","(2r)-6-Oxo-2-Piperidinecarboxylic Acid","C6 H9 N O3",596895.878857094,655540.349745959,1219161.34340108,NA,NA,1893544.82472705,NA,NA
"C8-Pos-000427","(2r,3r,6r)-5-[(1e,3e)-Hepta-1,3-Dienyl]-2,3-Dihydroxy-6-(Hydroxymethyl)Cyclohexan-1-One","C14 H22 O4",411617.865999251,557467.070609202,577835.292194023,559972.636716298,1134846.05390816,892478.323954095,921008.362820771,980132.53257964
"C8-Pos-000289","(3.Alpha.,5.Alpha.,25r)-Spirostan-3-Ol","C27 H44 O3",1476831.05775496,2258565.33960234,1316155.93442475,1549233.91452364,1234119.70413667,3557587.66247283,824122.633887826,1525690.23973555
"C8-Pos-000556","(3as,10ar,10br)-6,10a-Dimethyl-3-Methylene-3,3a,4,5,7,8,10a,10b-Octahydrofuro[3',2':6,7]Cyclohepta[1,2-B]Pyran-2,9-Dione","C15 H18 O4",NA,NA,194282.609880182,16250.4082906226,85402.3369825124,26869.9077409623,59698.0863128251,23346.4790545074
"C8-Pos-000381","(3e)-3-(Hydroxymethyl)-2-Oxo-5-[(1s,8as)-5,5,8a-Trimethyl-2-Methylenedecahydro-1-Naphthalenyl]-3-Pentenoic Acid","C20 H30 O4",1398314.0464996,NA,182658.056015793,588897.686379335,NA,441770.970796401,1581145.12922187,NA
"C8-Pos-000288","(9z,12e)-15,16-Dihydroxyoctadeca-9,12-Dienoic Acid","C18 H32 O4",1042204.46719068,2300973.08221948,679141.037807405,2987580.73983012,3147535.28770058,2633853.28803907,3075611.3053727,3670435.38432306
"C8-Pos-000521","(R)-4-((8s,9s,10r,13r,14s,17r)-10,13-Dimethyl-3-Oxo-2,3,8,9,10,11,12,13,14,15,16,17-Dodecahydro-1h-Cyclopenta[A]Phenanthren-17-Yl)Pentanoic Acid","C24 H34 O3",278647.926217114,344825.26874239,347803.94606267,389860.174339983,294100.021721814,328952.729782886,267455.925819975,328674.380347766
"C18-Pos-000136","(R)-Butyrylcarnitine","C11 H21 N O4",14997404.3304847,18257872.9789197,12844344.685497,11807915.6941251,12888522.072706,26731771.5827107,15481403.6312768,11908421.8954844
"C8-Pos-000141","(Z,E)-Tetradeca-9,12-Dienol","C14 H26 O",4725447.97111859,14492459.2107387,12604012.704779,16809602.2680397,13910231.0555447,18449639.4652669,10050769.491956,6449259.92356017
"C8-Pos-000158",".Alpha.-Galactosyl-N-Stearoylsphingosine","C42 H81 N O8",4541820.91796841,4524665.26384238,4685393.27610381,4717993.94721203,4075083.5613536,15398335.4503117,4183716.13810466,3441223.75968588
"Amide-Pos-000483",".Beta.-Asp-Gly","C6 H10 N2 O5",428840.030304219,329417.199793699,499567.576245652,292395.674783463,302113.984078495,397430.922178175,268870.269773931,205975.595941089
"C18-Pos-000371",".Beta.-Damascone","C13 H20 O",1976588.40883684,2088077.31963057,2328443.87626118,2076046.13870493,1782733.85631039,2112612.07244995,1307474.21804306,1202912.74563307
"Amide-Pos-000487",".Beta.-Glycerophosphate","C3 H9 O6 P",259034.786321279,217858.506097411,365893.481900305,194221.230950318,147307.040102406,457456.721059555,138349.946841519,276563.821814014
"Amide-Neg-000437",".Beta.-Nicotinamide Adenine Dinucleotide","C21 H27 N7 O14 P2",340531.676326572,241892.293129153,225376.201759764,82482.1102158755,64805.8453919403,99661.821036652,51389.8271589851,63677.7859061509
