cell_type,sex,num_sig_genes
OPC,M,424
Div,F,107
L2/3,F,102
IPC,F,61
L5,F,53
L2/3,M,47
Div,M,29
L6/SP,F,7
OPC,F,2
IN-MGE,F,1
RG,F,1
