cell_type,sex,num_sig_genes
IN-CGE,M,441
L2/3,M,303
Div,F,301
L4,F,144
L2/3,F,109
L5,F,79
IPC,M,76
IPC,F,73
L6/SP,M,37
L5,M,26
IN-MGE,M,12
RG,F,9
IN-MGE,F,7
Div,M,1
