gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cell_type,sex
GLRA1,0.4310541229016116,1.3825188838230913,0.0734869895253305,0.9420950902010449,0.9947565618669416,-4.703702455032464,Glia,M
LINC01933,-8.505776953287496,2.1541982495468193,-1.4042072507915129,0.17447767145338205,0.8934312933410471,-4.5117381088224136,Glia,M
ENSG00000286749,-2.252847395988649,1.4746395830938672,-0.3712753310757869,0.7140503996927524,0.9709135649256402,-4.6911828194065635,Glia,M
GRIA1,-2.7908854266874705,7.456901049892247,-0.5017820648202228,0.6208987677614166,0.9601672349455276,-4.991822727803306,Glia,M
FAM114A2,2.270339071832754,4.089434393846267,0.4679084971971296,0.6445382340538051,0.962448798202157,-4.737972361377546,Glia,M
MFAP3,2.0853479004968265,4.3999552181751564,0.543399497141378,0.592420985130061,0.9558726471908765,-4.74307873574171,Glia,M
GALNT10,-1.1543626895264014,4.386190475889655,-0.21266132192870443,0.8335859123135032,0.9861100269122903,-4.786809422824938,Glia,M
SAP30L-AS1,-8.530394487337125,4.171267975365633,-1.889921179550992,0.07226801665209745,0.8770164512377658,-4.265739753487115,Glia,M
SAP30L,-4.052748586723902,3.2830848737988414,-0.8304923124395822,0.4153489214117202,0.9307639597868501,-4.651710022873654,Glia,M
LARP1,0.06468035848853411,6.285276557037399,0.02161752694280045,0.9829515712684809,0.9986816537322833,-4.955391737018121,Glia,M
FAXDC2,1.2218672779595945,5.21920787799096,0.33546173740714097,0.7405141801370816,0.974989676932423,-4.83129629664375,Glia,M
CNOT8,-0.3530312029825421,4.424637092219905,-0.09878551241561406,0.9222198924877274,0.9930821276167827,-4.793124530471466,Glia,M
GEMIN5,6.190383068047514,4.260041789522591,1.7928902422116968,0.08701170028859961,0.8868494432881195,-4.316561263199806,Glia,M
MRPL22,1.4682050719026023,4.035168192156513,0.2989195049790852,0.7678593542885686,0.9781602970517083,-4.756450939681751,Glia,M
ENSG00000287963,-6.4756854854305725,1.411512237924379,-0.9952423380756835,0.3306410912153599,0.91957259979484,-4.607018445021792,Glia,M
SGCD,7.903584512407962,6.932315688894025,1.3946269323190488,0.17731155269547244,0.8934312933410471,-4.473236078964249,Glia,M
ENSG00000254163,8.496270709150963,1.5485515464237716,1.388602854328718,0.1791122038561852,0.89412154804616,-4.520916546267512,Glia,M
HAVCR2,-3.2392434410646467,3.6648667208904304,-0.6645014712206487,0.5134037629648838,0.943994092421861,-4.691670287574109,Glia,M
MED7,-0.41193888378070254,2.8803635870228304,-0.07717358327079313,0.9391960807228852,0.9947565618669416,-4.725988945350777,Glia,M
CYFIP2,-0.16969147570706788,6.5252550913572875,-0.05925042400982565,0.9532975777223726,0.9951565575741856,-4.978578499415211,Glia,M
ENSG00000248544,0.5990105851334193,1.6598567158422974,0.11145699533950124,0.9122835141859269,0.9925777291714352,-4.7048710707775605,Glia,M
ADAM19,4.75058440765207,3.374816715345625,0.8577068331347159,0.40047444873541893,0.9293197435918096,-4.645050034030251,Glia,M
THG1L,10.63763980484293,2.116775694418867,2.145765988302279,0.0434008501158408,0.8648026556509089,-4.295892606666418,Glia,M
LSM11,3.46399238776328,2.6458918124061626,0.6701121874137096,0.5098898784605554,0.9431913595391757,-4.667734187485601,Glia,M
CLINT1,-1.423731735391831,5.8838087121386184,-0.493051242842889,0.6269531806343882,0.961233277086866,-4.85647946985279,Glia,M
EBF1,6.254102015647399,1.746115261937548,0.6870996950483286,0.4993335645662137,0.9392214134219607,-4.657918320295551,Glia,M
RNF145,-0.15544016137612962,6.740625338841575,-0.07303099727333523,0.9424537246282003,0.9947565618669416,-5.000460353546388,Glia,M
UBLCP1,-0.08471344904508575,4.612026704230962,-0.020335424875338227,0.9839625367754834,0.9986816537322833,-4.809326553503098,Glia,M
ENSG00000249738,-1.7165539371330705,3.273671646741401,-0.3873197736788,0.7023107339788253,0.9683077033599633,-4.719301174988875,Glia,M
LINC01847,9.14235608988485,1.7113018557120425,1.397899272900987,0.17633948645103112,0.8934312933410471,-4.51805665118939,Glia,M
ADRA1B,8.934504459675706,3.4643706174775772,1.263836482202508,0.21976277325531407,0.9026120294478427,-4.542375508151851,Glia,M
TTC1,-1.4755426297989243,5.8748170135318345,-0.5626585498828518,0.5794628213686819,0.9538406556782207,-4.83789171723751,Glia,M
PWWP2A,0.36801096033878383,6.681337910722452,0.16314028298754227,0.8719251734243791,0.9903517226533104,-4.987672685680241,Glia,M
CCNJL,4.882156891683629,4.203641970062471,1.0284860461454026,0.31510486288849227,0.9153053848329549,-4.61523192513833,Glia,M
C1QTNF2,5.005432692610339,1.214737747931087,0.887937868926283,0.3843583653368605,0.929242513838005,-4.625577266920184,Glia,M
FAM200C,-3.1052241727578433,3.6479895388774897,-0.7568490055746576,0.4573196125320933,0.9342634569268822,-4.673203226624018,Glia,M
SLU7,2.4804637576433333,3.633559236597947,0.4953024430445342,0.6253894797818633,0.9611681544403144,-4.716008034093198,Glia,M
PTTG1,9.0538303604279,1.8088560322810234,1.138037444569689,0.26757483233068485,0.9091780311094564,-4.578125667958737,Glia,M
ATP10B,9.021082520129807,6.33195179275453,1.605882310952423,0.12282601013996691,0.8868494432881195,-4.317208714648123,Glia,M
ENSG00000253687,5.16367580402771,1.773534875898262,0.6181376555077049,0.54295008607869,0.947237129999254,-4.667136004968028,Glia,M
GABRB2,10.675733586907274,4.714145108435641,1.8450708729548697,0.07878753428566707,0.8868494432881195,-4.25584188735192,Glia,M
GABRA1,9.058976551012323,1.538135929585681,1.4538002281430795,0.16038261687627525,0.8924742775861052,-4.504690571019264,Glia,M
GABRG2,9.26131296246979,2.0658547911424168,1.3488484003501022,0.19136237373902792,0.8975341326020173,-4.528823344486081,Glia,M
ENSG00000254186,-2.7838955739672313,4.0277551483947365,-0.4029967057886269,0.6909129388506067,0.9665577825779876,-4.744969923892271,Glia,M
CCNG1,9.06705021341897,3.515647884941271,1.7428481235485274,0.095585166248278855,0.8868494432881195,-4.379981836766436,Glia,M
NUDCD2,-1.9040377317177908,3.605049706897486,-0.30116954892973075,0.7661662145839316,0.9773383428168588,-4.7381339501372315,Glia,M
HMMR,1.5893827009714134,1.3598582538615471,0.24509236194887218,0.808699151024609,0.9832166301793712,-4.6979780650870095,Glia,M
MAT2B,2.579377920062226,4.097938524556995,0.5069287411687721,0.6173425915479539,0.9598755691459565,-4.733340308581488,Glia,M
LINC03000,13.117142471384412,5.282984251825815,1.2971948290863133,0.20825344543105911,0.898360974835459,-4.51906919743853,Glia,M
LINC02143,4.310882048218379,1.410370497517608,0.631255394013531,0.5344992943876938,0.9469174446343711,-4.663928233322204,Glia,M
ENSG00000253693,3.237499735888066,4.163699042212503,0.3511206606291937,0.7289005292058016,0.9739113049846849,-4.762381063330955,Glia,M
TENM2,3.642674911841861,7.800017968304323,0.7591007970873525,0.4559994909366394,0.9342634569268822,-4.918960391029883,Glia,M
ENSG00000289264,4.275591874472724,1.1540593945348068,0.7705366927766392,0.44933066810806244,0.9342634569268822,-4.644197108232367,Glia,M
ENSG00000254187,8.06449979327783,1.0089388886043464,1.3275290305020115,0.1981987064063454,0.8979478651315422,-4.536533909154786,Glia,M
ENSG00000253925,12.417695864756956,1.6901958925404377,1.8120789089260465,0.0839048295825917,0.8868494432881195,-4.405543125426624,Glia,M
TENM2-AS1,-9.00718880867439,2.5950376032393825,-1.4397768321773396,0.16427173346721918,0.8924742775861052,-4.4961736849807545,Glia,M
WWC1,-4.44679063025675,6.71837508117259,-1.4795815845583724,0.15342728139423276,0.8924742775861052,-4.4075400880299105,Glia,M
