pathway,n_hits,set_size,odds_ratio,pval,hit_names,padj,pathway_source,analysis,direction,top_n
Glycolysis in senescence (WikiPathways),1,5,12.532284821385307,0.10083164155695867,Pyruvic Acid,0.27677369768338045,WikiPathways,Factor2 top 25 |weight| (positive),positive,25
Nicotinamide salvaging (Reactome),1,5,12.532284821385307,0.10083164155695867,Pyruvic Acid,0.27677369768338045,Reactome,Factor2 top 25 |weight| (positive),positive,25
Phenylalanine metabolism (Reactome),1,5,12.532284821385307,0.10083164155695867,Pyruvic Acid,0.27677369768338045,Reactome,Factor2 top 25 |weight| (positive),positive,25
Serine biosynthesis (Reactome),1,5,12.532284821385307,0.10083164155695867,Pyruvic Acid,0.27677369768338045,Reactome,Factor2 top 25 |weight| (positive),positive,25
Synthesis of wybutosine at G37 of tRNA(Phe) (Reactome),1,5,12.532284821385307,0.10083164155695867,Pyruvic Acid,0.27677369768338045,Reactome,Factor2 top 25 |weight| (positive),positive,25
Acetylcholine synthesis (WikiPathways),1,6,10.03829567148838,0.1198525106778695,Pyruvic Acid,0.27677369768338045,WikiPathways,Factor2 top 25 |weight| (positive),positive,25
Disorders of fructose metabolism (WikiPathways),1,6,10.03829567148838,0.1198525106778695,Pyruvic Acid,0.27677369768338045,WikiPathways,Factor2 top 25 |weight| (positive),positive,25
Glycine metabolism (WikiPathways),1,6,10.03829567148838,0.1198525106778695,Pyruvic Acid,0.27677369768338045,WikiPathways,Factor2 top 25 |weight| (positive),positive,25
HIF1A and PPARG in cardiac hypertropthy (WikiPathways),1,6,10.03829567148838,0.1198525106778695,Pyruvic Acid,0.27677369768338045,WikiPathways,Factor2 top 25 |weight| (positive),positive,25
Hereditary leiomyomatosis and renal cell carcinoma pathway (WikiPathways),1,6,10.03829567148838,0.1198525106778695,Pyruvic Acid,0.27677369768338045,WikiPathways,Factor2 top 25 |weight| (positive),positive,25
Organic anion transporters (Reactome),1,6,10.03829567148838,0.1198525106778695,Pyruvic Acid,0.27677369768338045,Reactome,Factor2 top 25 |weight| (positive),positive,25
Sialic acid metabolism (Reactome),1,6,10.03829567148838,0.1198525106778695,Pyruvic Acid,0.27677369768338045,Reactome,Factor2 top 25 |weight| (positive),positive,25
Warburg effect modulated by deubiquitinating enzymes and their substrates (WikiPathways),1,6,10.03829567148838,0.1198525106778695,Pyruvic Acid,0.27677369768338045,WikiPathways,Factor2 top 25 |weight| (positive),positive,25
tRNA modification in the nucleus and cytosol (Reactome),1,6,10.03829567148838,0.1198525106778695,Pyruvic Acid,0.27677369768338045,Reactome,Factor2 top 25 |weight| (positive),positive,25
Amino acid metabolism pathway excerpt: histidine catabolism extension (WikiPathways),1,7,8.368881867441374,0.13850688906427322,Pyruvic Acid,0.27677369768338045,WikiPathways,Factor2 top 25 |weight| (positive),positive,25
Aspirin ADME (Reactome),1,7,8.368881867441374,0.13850688906427322,Pyruvic Acid,0.27677369768338045,Reactome,Factor2 top 25 |weight| (positive),positive,25
Glycolysis (Reactome),1,7,8.368881867441374,0.13850688906427322,Pyruvic Acid,0.27677369768338045,Reactome,Factor2 top 25 |weight| (positive),positive,25
Lactate shuttle in glial cells (WikiPathways),1,7,8.368881867441374,0.13850688906427322,Pyruvic Acid,0.27677369768338045,WikiPathways,Factor2 top 25 |weight| (positive),positive,25
Metabolic reprogramming in pancreatic cancer (WikiPathways),1,7,8.368881867441374,0.13850688906427322,Pyruvic Acid,0.27677369768338045,WikiPathways,Factor2 top 25 |weight| (positive),positive,25
Nicotinate metabolism (Reactome),1,7,8.368881867441374,0.13850688906427322,Pyruvic Acid,0.27677369768338045,Reactome,Factor2 top 25 |weight| (positive),positive,25
Serine metabolism (WikiPathways),1,7,8.368881867441374,0.13850688906427322,Pyruvic Acid,0.27677369768338045,WikiPathways,Factor2 top 25 |weight| (positive),positive,25
