Name,VIP_comp1,Compound.ID,Sub.Class,Class,Name_display
3-Hydroxystigmast-5-En-7-One,1.5137674977888909,C8-Pos-001621,Stigmastanes and derivatives,Steroids and steroid derivatives,3-Hydroxystigmast...
Cholest-4-En-3-One,1.3749328665509561,C8-Pos-001061,Cholestane steroids,Steroids and steroid derivatives,Cholest-4-En-3-One
Solanidine,1.0448790450703862,C8-Pos-001317,Steroidal alkaloids,Steroids and steroid derivatives,Solanidine
Vitamin D3,1.0438512408005156,C8-Pos-001060,Vitamin D and derivatives,Steroids and steroid derivatives,Vitamin D3
"17-(1-Hydroxyethyl)-10,13-Dimethyl-2,3,6,7,8,9,10,11,12,13,14,15,16,17-Tetradecahydro-1h-Cyclopenta[A]Phenanthren-3-One",0.8648394534198898,C8-Pos-000495,Pregnane steroids,Steroids and steroid derivatives,17-(1-Hydroxyethy...
4-Cholestenone,0.7041224785446051,C8-Pos-001064,Cholestane steroids,Steroids and steroid derivatives,4-Cholestenone
Lithocholic Acid,0.547243694235045,C8-Neg-000679,"Bile acids, alcohols and derivatives",Steroids and steroid derivatives,Lithocholic Acid
Progesterone,0.30570989108061497,C8-Pos-000616,Pregnane steroids,Steroids and steroid derivatives,Progesterone
