"Name","n_occurrences","compound_ids","is_duplicate"
"2-Docosahexaenoyl-1-Stearoyl-Sn-Glycero-3-Phosphoserine",4,"C8-Neg-003387; C8-Neg-003391; C8-Pos-004831; C8-Pos-004832",TRUE
"2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphocholine",4,"Amide-Pos-002276; Amide-Pos-002281; C8-Pos-004118; C8-Pos-004120",TRUE
"2-Sc S-(2-Succinyl)-L-Cysteine",4,"Amide-Neg-001285; Amide-Neg-001286; Amide-Pos-000901; Amide-Pos-000902",TRUE
"4-(Acetylamino)Butanoic Acid",4,"Amide-Neg-000479; Amide-Neg-000480; C18-Neg-000130; C18-Neg-000131",TRUE
"Arachidonic Acid",4,"C8-Neg-000422; C8-Neg-000423; C8-Pos-000422; C8-Pos-000424",TRUE
"Choline",4,"Amide-Pos-000097; Amide-Pos-000123; C18-Pos-000039; C18-Pos-000045",TRUE
"Cis-4-Hydroxy-D-Proline",4,"Amide-Neg-000320; Amide-Neg-000324; C18-Pos-000384; C18-Pos-000385",TRUE
"Creatinine",4,"Amide-Pos-000193; Amide-Pos-000382; C18-Pos-000411; C18-Pos-000412",TRUE
"Crotonic Acid",4,"Amide-Neg-000024; Amide-Neg-000028; Amide-Pos-000010; Amide-Pos-000014",TRUE
"Cystathionine",4,"Amide-Neg-001154; Amide-Pos-000836; C18-Pos-001138; C8-Pos-000089",TRUE
"D-(+)-Glucose",4,"Amide-Neg-000605; Amide-Neg-000767; Amide-Neg-000773; C18-Neg-000220",TRUE
"D-(+)-Tryptophan",4,"Amide-Neg-000978; C18-Neg-000507; C18-Pos-001015; C18-Pos-001016",TRUE
"Dipropyleneglycol Dibenzoate",4,"C18-Pos-002215; C18-Pos-002216; C8-Pos-000855; C8-Pos-000856",TRUE
"Dl-Dipalmitoylphosphatidylcholine",4,"Amide-Pos-002233; Amide-Pos-002235; C8-Pos-003901; C8-Pos-003910",TRUE
"Dl-Glutamine",4,"Amide-Pos-000475; Amide-Pos-000476; C18-Pos-000549; C18-Pos-000550",TRUE
"Dodecyl Sulfate",4,"Amide-Neg-001471; Amide-Neg-001473; C8-Neg-000223; C8-Neg-000224",TRUE
"Glycerol Monopalmitate",4,"C18-Pos-001905; C18-Pos-001908; C8-Pos-000593; C8-Pos-000595",TRUE
