"Column","Mode","BinSize_sec","BinSize_min","RT_threshold","N_compounds","RT_range"
"Amide","Neg",10,0.166666666666667,1.8,1326,"0.56-21.96"
"Amide","Pos",10,0.166666666666667,2.81,1212,"0.56-21.99"
"C18","Neg",10,0.166666666666667,2.27,907,"0.52-21.87"
"C18","Pos",10,0.166666666666667,1.81,1661,"0.56-21.82"
"C8","Neg",10,0.166666666666667,2.06333333333333,750,"0.49-15.89"
"C8","Pos",10,0.166666666666667,1.90666666666667,1758,"0.5-16"
