"Compound.ID","Name","Formula","Sex","mean_intensity","display_name"
"Amide-Pos-100211",NA,"C9 H20 N3 O10 P","F",3426272.57276114,"Amide-Pos-100211"
"C18-Neg-000095","Uric acid","C5 H4 N4 O3","F",3416228.59524994,"Uric acid"
"C18-Neg-100101",NA,"C3 H Br Cl N P2 S","F",3409284.00682181,"C18-Neg-100101"
"C8-Neg-000056","Phosphatidylethanolamine alkenyl 16:0-22:4","C43 H78 N O7 P","F",3408926.88458446,"Phosphatidylethanolamine alkenyl 16:0-22:4"
"C18-Pos-100261",NA,"C6 H15 N","F",3405892.54396,"C18-Pos-100261"
"Amide-Pos-100252",NA,"C6 H14 N2","F",3404440.72043516,"Amide-Pos-100252"
"C8-Neg-000034","INO","C10 H12 N4 O5","F",3404141.17033203,"INO"
"C18-Pos-100266",NA,"C26 H49 N O S","F",3403785.81447723,"C18-Pos-100266"
"Amide-Pos-100150",NA,"C9 H16 N2 O3 S","F",3403749.94776569,"Amide-Pos-100150"
"Amide-Pos-000168","5-Methyl D-glutamate","C6 H11 N O4","F",3397248.74092456,"5-Methyl D-glutamate"
"C8-Neg-100237",NA,"C20 H34 N4 O2","F",3394316.84965347,"C8-Neg-100237"
"C8-Neg-100143",NA,"C4 H12 Cl N8 O4 P3","F",3391675.73093566,"C8-Neg-100143"
"C18-Pos-100318",NA,"C22 H53 N7 O5","F",3390046.64532007,"C18-Pos-100318"
"C8-Pos-100245",NA,"C38 H80 N8 O10 S","F",3389346.38964607,"C8-Pos-100245"
"Amide-Neg-100197",NA,"C5 H6 O5","F",3387676.62513593,"Amide-Neg-100197"
"C18-Pos-100267",NA,"C4 H14 N5 O7 P","F",3381269.98352318,"C18-Pos-100267"
"Amide-Pos-100125",NA,"C10 H17 N2 O17 P3","F",3380484.17731229,"Amide-Pos-100125"
"Amide-Pos-100171",NA,"C9 H14 N2 O6","F",3374117.98438954,"Amide-Pos-100171"
"C8-Neg-100226",NA,"C5 H17 N8 O8 P3","F",3372273.66477839,"C8-Neg-100226"
"C18-Pos-100287",NA,"C4 H6 N2 O P2","F",3372093.48812081,"C18-Pos-100287"
"Amide-Pos-100230",NA,"C4 H10 N3 O8 P","F",3362166.19057162,"Amide-Pos-100230"
"C18-Pos-100215",NA,"C2 H5 N O7","F",3356890.32089838,"C18-Pos-100215"
"C8-Pos-000274","PE O-18:2_22:3","C45 H82 N O7 P","F",3354602.51378647,"PE O-18:2_22:3"
"Amide-Pos-100220",NA,"C4 H10 N2 O6","F",3350850.32343545,"Amide-Pos-100220"
"Amide-Pos-000305","Adenosine 5'-monophosphate","C10 H14 N5 O7 P","F",3348298.98782535,"Adenosine 5'-monophosphate"
"Amide-Neg-100227",NA,"C4 H4 O4","F",3347223.89266001,"Amide-Neg-100227"
"C8-Neg-100287",NA,"C5 H15 Br N6 O3 S","F",3344524.21707933,"C8-Neg-100287"
"C8-Neg-100187",NA,"C7 H6 Cl2 N O2 P S2","F",3344037.44321014,"C8-Neg-100187"
"Amide-Neg-000243","1-Hydroxy-2,5-pyrrolidinedione","C4 H5 N O3","F",3343202.52691738,"1-Hydroxy-2,5-pyrrolidinedione"
"Amide-Pos-100178",NA,"C9 H13 N O3 S","F",3342890.51625077,"Amide-Pos-100178"
"C18-Pos-100272",NA,"C3 H2 N2 O6","F",3341142.11875993,"C18-Pos-100272"
"Amide-Pos-100251",NA,"C4 H11 N","F",3339085.71787158,"Amide-Pos-100251"
"Amide-Neg-100254",NA,"C5 H9 Cl O6","F",3336995.96171606,"Amide-Neg-100254"
"Amide-Pos-000314","UDP-N-acetylglucosamine","C17 H27 N3 O17 P2","F",3331584.1471735,"UDP-N-acetylglucosamine"
"Amide-Pos-100170",NA,"C8 H22 Cl2 N7 O6 P S","F",3330065.46707384,"Amide-Pos-100170"
"C18-Pos-100341",NA,"C22 H53 N7 O6","F",3329286.05826522,"C18-Pos-100341"
"Amide-Neg-100245",NA,"C6 H10 O8","F",3323368.41267884,"Amide-Neg-100245"
"C8-Pos-100389",NA,"C21 H36 N4 O3","F",3322852.62307303,"C8-Pos-100389"
"C18-Pos-100209",NA,"C8 H13 N O10 P2","F",3317890.23045357,"C18-Pos-100209"
"Amide-Neg-100234",NA,"C5 H6 O6","F",3313311.56056249,"Amide-Neg-100234"
"Amide-Neg-100280",NA,"C5 H6 O6","F",3311614.39397008,"Amide-Neg-100280"
"C18-Neg-100147",NA,"C8 H17 Cl3 N5 O2 P3","F",3311164.34317401,"C18-Neg-100147"
"Amide-Neg-000150","2-Furoic acid","C5 H4 O3","F",3310343.02846235,"2-Furoic acid"
"C8-Neg-100264",NA,"C11 H27 Br N2 O2 P2 S","F",3310040.55101629,"C8-Neg-100264"
"C8-Pos-100149",NA,"C40 H65 N9 O5","F",3309119.97767712,"C8-Pos-100149"
"C8-Neg-100194",NA,"C13 H29 Cl2 N6 O5 P3 S","F",3308767.00596621,"C8-Neg-100194"
"C8-Neg-100235",NA,"C6 H19 Cl N7 O17 P","F",3308479.47252174,"C8-Neg-100235"
"Amide-Neg-000240","Lauric acid","C12 H24 O2","F",3302810.02415971,"Lauric acid"
"C8-Pos-100191",NA,"C25 H56 N9 O2 P S","F",3302096.97902408,"C8-Pos-100191"
"C18-Pos-100342",NA,"C22 H50 N6 O6","F",3301992.64055096,"C18-Pos-100342"
"C18-Neg-100113",NA,"C5 H8 O4","F",3300845.85828991,"C18-Neg-100113"
"C18-Pos-100336",NA,"C4 H N O6 P2 S","F",3297295.80034731,"C18-Pos-100336"
"Amide-Pos-100198",NA,"C6 H11 N O5","F",3296930.34032801,"Amide-Pos-100198"
