"Compound.ID","Name","Formula","mean_intensity","display_name"
"C8-Pos-100001",NA,"C21 H33 N3 O3",346531620.920645,"C8-Pos-100001"
"Amide-Pos-100002",NA,"C12 H18 N6",341565384.738352,"Amide-Pos-100002"
"C18-Pos-000004","L-Glutamic acid","C5 H9 N O4",333048016.375564,"L-Glutamic acid"
"Amide-Pos-100005",NA,"C12 H18 N6",320975537.805314,"Amide-Pos-100005"
"C18-Pos-100006",NA,"C7 H5 N6 O P",318319703.238747,"C18-Pos-100006"
"C8-Neg-000001","Arachidonic acid","C20 H32 O2",307657327.428734,"Arachidonic acid"
"Amide-Pos-100007",NA,"C10 H22 O4 P2",304031240.413495,"Amide-Pos-100007"
"Amide-Neg-100002",NA,"C6 H9 Cl O7",295898550.150945,"Amide-Neg-100002"
"C8-Pos-000019","1-Stearoyl-2-arachidonyl-sn-glycero-3-phosphocholine","C46 H84 N O8 P",293982569.817443,"1-Stearoyl-2-arachidonyl-sn-glycero-3-phosphocholine"
"C18-Pos-100007",NA,"C7 H12 O4 P2",289936660.75881,"C18-Pos-100007"
"C18-Pos-000005","Adenosine 5'-monophosphate","C10 H14 N5 O7 P",289534267.044856,"Adenosine 5'-monophosphate"
"C8-Pos-000020","Palmitoyleicosapentaenoyl phosphatidylcholine","C44 H78 N O8 P",288998276.733667,"Palmitoyleicosapentaenoyl phosphatidylcholine"
"Amide-Pos-000040","Adenosine","C10 H13 N5 O4",271194720.095255,"Adenosine"
"C8-Pos-100003",NA,"C28 H44 N2 O2 S",269972949.677698,"C8-Pos-100003"
"Amide-Neg-100003",NA,"C6 H9 Cl O7",269742395.046693,"Amide-Neg-100003"
"Amide-Neg-100008",NA,"C2 H7 O6 P",260220196.392483,"Amide-Neg-100008"
"C8-Pos-000023","1,2-Ditetradecanoyl-sn-glycero-3-phosphocholine","C36 H72 N O8 P",251439769.160517,"1,2-Ditetradecanoyl-sn-glycero-3-phosphocholine"
"Amide-Neg-000001","L-(+)-Lactic acid","C3 H6 O3",247989230.319694,"L-(+)-Lactic acid"
"C18-Pos-100002",NA,"C7 H10 O2 S",244778533.632962,"C18-Pos-100002"
"C18-Neg-000001","Ascorbic acid","C6 H8 O6",243998117.078244,"Ascorbic acid"
"Amide-Pos-000039","Tetraglyme","C10 H22 O5",241629662.01193,"Tetraglyme"
"Amide-Pos-100011",NA,"C5 H11 N4 O10 P S",239365753.530981,"Amide-Pos-100011"
"C8-Pos-000022","1-Octadecanoyl-2-octadecenoyl-sn-glycero-3-phosphocholine","C44 H86 N O8 P",239223424.563169,"1-Octadecanoyl-2-octadecenoyl-sn-glycero-3-phosphocholine"
"Amide-Pos-000036","Hypoxanthine","C5 H4 N4 O",233254803.215247,"Hypoxanthine"
"C18-Pos-100003",NA,"C7 H13 N O2 S",232359574.597225,"C18-Pos-100003"
"Amide-Neg-100011",NA,"C2 H3 N O3 S",230411944.803717,"Amide-Neg-100011"
"C18-Pos-000007","2,5-Dimethyl-4-pyrimidinamine","C6 H9 N3",229459629.162018,"2,5-Dimethyl-4-pyrimidinamine"
"C8-Pos-000025","Triphenyl phosphate","C18 H15 O4 P",223145185.988732,"Triphenyl phosphate"
"Amide-Pos-100009",NA,"C12 H18 N6",218587341.974178,"Amide-Pos-100009"
"Amide-Neg-100005",NA,"C9 H21 N O5",218307409.338702,"Amide-Neg-100005"
"C8-Neg-100003",NA,"C21 H42 O6",215128758.441851,"C8-Neg-100003"
"C18-Pos-100008",NA,"C11 H15 N O10",205097664.173707,"C18-Pos-100008"
"C8-Pos-000024","PC 17:2_17:2","C42 H76 N O8 P",203335875.4491,"PC 17:2_17:2"
"C8-Pos-100002",NA,"C32 H69 N10 O5 P",203026329.541309,"C8-Pos-100002"
"Amide-Neg-100007",NA,"C10 H17 N3 O4 P2",199614990.096185,"Amide-Neg-100007"
"C18-Pos-100011",NA,"C12 H18 N6",193483109.828942,"C18-Pos-100011"
"Amide-Pos-100012",NA,"C11 H10 N6 O9 P2",192763218.987993,"Amide-Pos-100012"
"Amide-Pos-000022","N,N-Diethylethanolamine","C6 H15 N O",191678447.153284,"N,N-Diethylethanolamine"
"Amide-Neg-100010",NA,"C6 H7 Cl O6",191338973.854707,"Amide-Neg-100010"
"C8-Pos-000021","PC 16:1_16:2","C40 H74 N O8 P",191044695.738536,"PC 16:1_16:2"
"Amide-Neg-000005","Ascorbic acid","C6 H8 O6",186092778.252413,"Ascorbic acid"
"C18-Pos-100010",NA,"C3 H7 P S2",184498357.70555,"C18-Pos-100010"
"Amide-Pos-000052","Betaine","C5 H11 N O2",182670236.82064,"Betaine"
"C8-Pos-000018","DL-Dipalmitoylphosphatidylcholine","C40 H80 N O8 P",179954237.494342,"DL-Dipalmitoylphosphatidylcholine"
"Amide-Pos-100013",NA,"C10 H15 N5",179952749.375662,"Amide-Pos-100013"
"Amide-Pos-100010",NA,"C7 H10 O2 S",179349109.445762,"Amide-Pos-100010"
"C8-Pos-100013",NA,"C24 H27 O4 P",178331937.096979,"C8-Pos-100013"
"Amide-Pos-000054","L-Glutamic acid","C5 H9 N O4",171599773.431036,"L-Glutamic acid"
"C18-Pos-000009","L-Pyroglutamic acid","C5 H7 N O3",168515404.268391,"L-Pyroglutamic acid"
"C8-Pos-000029","1-Palmitoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine","C46 H80 N O8 P",167463639.802202,"1-Palmitoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine"
"Amide-Pos-000053","Adenosine","C10 H13 N5 O4",162085055.877329,"Adenosine"
"C8-Neg-100006",NA,"C21 H42 O6",158566941.670563,"C8-Neg-100006"
"C8-Pos-000013","Didodecyl 3,3'-thiodipropionate oxide","C30 H58 O5 S",158008288.612887,"Didodecyl 3,3'-thiodipropionate oxide"
"C8-Neg-100002",NA,"C8 H9 N3 O5 P2",157237467.45756,"C8-Neg-100002"
"C8-Pos-100014",NA,"C21 H21 O4 P",157132210.629509,"C8-Pos-100014"
"C8-Pos-100015",NA,"C15 H28 N2 O2 P2",157132210.629509,"C8-Pos-100015"
"C8-Pos-100016",NA,"C24 H18 N2 O3",156960214.163916,"C8-Pos-100016"
"C8-Pos-000034","Monoolein","C21 H40 O4",156561848.324932,"Monoolein"
"C18-Pos-100015",NA,"C5 H2 N2 O4 S",151513914.449154,"C18-Pos-100015"
"C8-Neg-100001",NA,"C8 H9 N3 O5 P2",151074739.335128,"C8-Neg-100001"
"C18-Pos-000022","Adenosine 5'-monophosphate","C10 H14 N5 O7 P",150564209.792019,"Adenosine 5'-monophosphate"
"Amide-Neg-100012",NA,"C6 H10 Cl N O6",144690155.732092,"Amide-Neg-100012"
"Amide-Neg-100013",NA,"C6 H12 Cl N O7",144690155.732092,"Amide-Neg-100013"
"C18-Pos-000016","L-Serine","C3 H7 N O3",143602498.20809,"L-Serine"
"C8-Pos-000016","1,2-dioleoyl-sn-glycero-3-phosphatidylcholine","C44 H84 N O8 P",143080439.91134,"1,2-dioleoyl-sn-glycero-3-phosphatidylcholine"
"C18-Pos-000012","Adenosine","C10 H13 N5 O4",140858856.797266,"Adenosine"
"C8-Pos-100019",NA,"C21 H21 O4 P",139307509.956731,"C8-Pos-100019"
"Amide-Neg-100009",NA,"C6 H9 Cl O7",133168602.873639,"Amide-Neg-100009"
"C8-Neg-100008",NA,"C18 H36 O2",130200763.567195,"C8-Neg-100008"
"C18-Pos-000015","L-Isoleucine","C6 H13 N O2",129841573.73652,"L-Isoleucine"
"Amide-Pos-000049","Creatinine","C4 H7 N3 O",127823065.827358,"Creatinine"
"Amide-Neg-100004",NA,"C9 H21 N O5",127441017.045233,"Amide-Neg-100004"
"Amide-Neg-100019",NA,"C2 H4 O4 S",125199855.992729,"Amide-Neg-100019"
"C18-Pos-100009",NA,"C11 H15 N O10",124138315.003898,"C18-Pos-100009"
"Amide-Pos-000056","Inosine","C10 H12 N4 O5",123686920.54663,"Inosine"
"Amide-Pos-000063","DL-Glutamine","C5 H10 N2 O3",123398357.023467,"DL-Glutamine"
"Amide-Neg-000003","2-Deoxyribose 5-phosphate","C5 H11 O7 P",122378582.975379,"2-Deoxyribose 5-phosphate"
"C18-Pos-100017",NA,"C4 H N4 O3 P",121775149.163539,"C18-Pos-100017"
"Amide-Neg-100014",NA,"C6 H13 Cl O6",120939472.065317,"Amide-Neg-100014"
"C8-Neg-100010",NA,"C8 H9 N3 O5 P2",119701951.305765,"C8-Neg-100010"
"Amide-Pos-100018",NA,"C6 H9 N3",119604986.207322,"Amide-Pos-100018"
"C8-Pos-000045","1-Palmitoylglycerol","C19 H38 O4",119412540.289733,"1-Palmitoylglycerol"
"C18-Neg-000002","N-Acetylaspartic acid","C6 H9 N O5",119394426.048032,"N-Acetylaspartic acid"
"Amide-Pos-100014",NA,"C4 H4 Cl N4 O4 P3 S",119255890.685323,"Amide-Pos-100014"
"C18-Pos-000018","N-Acetylaspartate","C6 H9 N O5",119024682.129814,"N-Acetylaspartate"
"C18-Pos-000013","Glutathione, oxidized","C20 H32 N6 O12 S2",118537374.60611,"Glutathione, oxidized"
"Amide-Neg-100025",NA,"C2 H3 N O3 S",117730793.467996,"Amide-Neg-100025"
"Amide-Neg-100017",NA,"C6 H10 Cl N O6",117682346.215703,"Amide-Neg-100017"
"C8-Neg-100004",NA,"C23 H46 O6",116899931.000143,"C8-Neg-100004"
"C8-Pos-000040","7(Z),10(Z),13(Z),16(Z),19(Z)-N-(2-Hydroxyethyl)docosapentaenamide","C24 H39 N O2",115049803.440873,"7(Z),10(Z),13(Z),16(Z),19(Z)-N-(2-Hydroxyethyl)docosapentaenamide"
"Amide-Pos-000048","Glycerophosphocholine","C8 H20 N O6 P",114120285.6028,"Glycerophosphocholine"
"C8-Neg-100005",NA,"C5 H5 N2 O7 P",111677600.908498,"C8-Neg-100005"
"C8-Pos-100020",NA,"C17 H36 N6 S",107687603.38492,"C8-Pos-100020"
"C18-Pos-100013",NA,"C11 H15 N O10",107528487.877433,"C18-Pos-100013"
"C8-Pos-000043","PC 12:0_28:7","C48 H82 N O8 P",106659886.368265,"PC 12:0_28:7"
"Amide-Pos-000065","D-(+)-Proline","C5 H9 N O2",106059620.512549,"D-(+)-Proline"
"Amide-Pos-100015",NA,"C10 H12 N8 O13 P2",105313528.179059,"Amide-Pos-100015"
"C8-Pos-000044","PC 16:1_18:2","C42 H78 N O8 P",104605941.565855,"PC 16:1_18:2"
"C8-Pos-000046","1-Stearoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine","C48 H84 N O8 P",103032188.594585,"1-Stearoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine"
"C18-Pos-000017","DL-Glutamine","C5 H10 N2 O3",102886228.50568,"DL-Glutamine"
"C8-Neg-100009",NA,"C23 H46 O6",102590259.58888,"C8-Neg-100009"
"C18-Pos-100016",NA,"C3 H3 N5 P2",102486591.164877,"C18-Pos-100016"
"C8-Neg-100012",NA,"C9 H7 N2 P3",102289182.218029,"C8-Neg-100012"
"C8-Pos-100011",NA,"C19 H41 N3 O3",100182365.157313,"C8-Pos-100011"
"C18-Pos-000034","N-Acetyl-1-aspartylglutamic acid","C11 H16 N2 O8",100166789.517677,"N-Acetyl-1-aspartylglutamic acid"
"C8-Pos-000041","PC 15:1_15:1","C38 H72 N O8 P",99987612.7271298,"PC 15:1_15:1"
"Amide-Pos-000074","Betaine","C5 H11 N O2",97437237.7049469,"Betaine"
"Amide-Neg-100020",NA,"C7 H8 N2 O3 P2",95234904.5059893,"Amide-Neg-100020"
"Amide-Neg-000007","Itaconic acid","C5 H6 O4",95128482.1725868,"Itaconic acid"
"C8-Neg-100014",NA,"C25 H26 N4 O3",94063709.5073202,"C8-Neg-100014"
"C18-Pos-000008","Pantothenic acid","C9 H17 N O5",93507036.0022287,"Pantothenic acid"
"Amide-Neg-000009","N-Acetylaspartic acid","C6 H9 N O5",92683754.7265944,"N-Acetylaspartic acid"
"C8-Pos-100023",NA,"C26 H43 N O2",91779540.2693083,"C8-Pos-100023"
"C8-Pos-000038","1-Oleoyl-sn-glycero-3-phosphocholine","C26 H52 N O7 P",90258676.7631037,"1-Oleoyl-sn-glycero-3-phosphocholine"
"C18-Pos-000025","L-Phenylalanine","C9 H11 N O2",89802304.6115164,"L-Phenylalanine"
"Amide-Pos-100020",NA,"C4 H13 N P2 S",88675677.2416289,"Amide-Pos-100020"
"Amide-Pos-000064","Creatine","C4 H9 N3 O2",88114146.6887636,"Creatine"
"C8-Neg-100015",NA,"C16 H32 O2",88069659.0516894,"C8-Neg-100015"
"C8-Pos-000037","1-Stearoyl-2-arachidonyl-sn-glycero-3-phosphocholine","C46 H84 N O8 P",87140898.1666163,"1-Stearoyl-2-arachidonyl-sn-glycero-3-phosphocholine"
"Amide-Neg-100032",NA,"C6 H9 Cl O7",87024612.5837729,"Amide-Neg-100032"
"C8-Pos-000052","1-Stearoylglycerol","C21 H42 O4",85929482.3000713,"1-Stearoylglycerol"
"Amide-Neg-000012","Ascorbic acid","C6 H8 O6",85377265.6956722,"Ascorbic acid"
"Amide-Pos-000073","Triethylamine","C6 H15 N",84623619.9354338,"Triethylamine"
"C18-Pos-100012",NA,"C3 H6 N2 O5",84465837.2081732,"C18-Pos-100012"
"C8-Pos-000051","Bis(methylbenzylidene)sorbitol","C22 H26 O6",84135211.5513712,"Bis(methylbenzylidene)sorbitol"
"Amide-Neg-000013","β-Hydroxypropionic acid","C3 H6 O3",84013346.6963112,"β-Hydroxypropionic acid"
"C8-Neg-100019",NA,"C21 H42 O6",83859964.2166404,"C8-Neg-100019"
"Amide-Neg-100033",NA,"C5 H7 Cl O5",82800067.0866492,"Amide-Neg-100033"
"Amide-Neg-100016",NA,"C6 H10 Cl N O6",81101028.3830483,"Amide-Neg-100016"
"C8-Pos-000050","PC 16:1_22:6","C46 H78 N O8 P",80606191.2952617,"PC 16:1_22:6"
"C18-Pos-100014",NA,"C11 H15 N O10",79616927.8268348,"C18-Pos-100014"
"C8-Pos-100030",NA,"C38 H74 N6 O2 P2",79323743.0529921,"C8-Pos-100030"
"C18-Pos-000027","Adenosine","C10 H13 N5 O4",79219926.6688519,"Adenosine"
"C8-Pos-100031",NA,"C26 H31 O4 P",78376886.9159477,"C8-Pos-100031"
"C18-Neg-000004","N-Acetylaspartic acid","C6 H9 N O5",77241020.9785734,"N-Acetylaspartic acid"
"C18-Pos-100023",NA,"C3 H N4 O P",76469567.5770206,"C18-Pos-100023"
"Amide-Pos-000068","3-Methoxypropylamine","C4 H11 N O",75803739.4395801,"3-Methoxypropylamine"
"C18-Pos-000030","Spermidine","C7 H19 N3",75654925.0903226,"Spermidine"
"C8-Pos-100032",NA,"C29 H28 N2 O3",73925241.1831197,"C8-Pos-100032"
"Amide-Neg-100027",NA,"C7 H6 N2 O2 P2",73552250.4669789,"Amide-Neg-100027"
"C18-Pos-100021",NA,"C11 H15 N O10",72256196.8506604,"C18-Pos-100021"
"Amide-Pos-100016",NA,"C12 H26 O6",72008395.0938911,"Amide-Pos-100016"
"C18-Pos-100018",NA,"C11 H15 N O10",71515402.6754319,"C18-Pos-100018"
"C18-Neg-100002",NA,"C6 H9 Cl O7",69731162.9523925,"C18-Neg-100002"
"Amide-Neg-100018",NA,"C6 H9 Cl O7",69321017.3757347,"Amide-Neg-100018"
"Amide-Neg-100028",NA,"C6 H9 Cl O7",69060718.5373735,"Amide-Neg-100028"
"C8-Neg-100011",NA,"C18 H34 O2",68446719.5200197,"C8-Neg-100011"
"C18-Pos-000029","L-Aspartic acid","C4 H7 N O4",67875642.429062,"L-Aspartic acid"
"C18-Pos-100024",NA,"C2 H5 P S2",67860913.5061505,"C18-Pos-100024"
"Amide-Pos-100026",NA,"C6 H4 O13",67632501.4626269,"Amide-Pos-100026"
"C8-Pos-000054","PC 16:1_18:2","C42 H78 N O8 P",65865214.6687197,"PC 16:1_18:2"
"Amide-Neg-000021","β-Hydroxypropionic acid","C3 H6 O3",65259422.5938514,"β-Hydroxypropionic acid"
"Amide-Neg-000018","L-Threonic acid","C4 H8 O5",65217558.6127601,"L-Threonic acid"
"C18-Pos-100020",NA,"C3 H9 N O6 P2",64959144.7996357,"C18-Pos-100020"
"Amide-Neg-000014","D-(-)-Erythrose","C4 H8 O4",64731140.727903,"D-(-)-Erythrose"
"Amide-Pos-000070","N8-Acetylspermidine","C9 H21 N3 O",64510616.2333089,"N8-Acetylspermidine"
"C8-Pos-000042","Spectral Match to 1-Octadecanoyl-sn-glycero-3-phosphocholine from NIST14","C26 H54 N O7 P",64451419.6263968,"Spectral Match to 1-Octadecanoyl-sn-glycero-3-phosphocholine from NIST14"
"C8-Pos-000032","2-Docosahexaenoyl-1-stearoyl-sn-glycero-3-phosphoserine","C46 H78 N O10 P",63869031.6441414,"2-Docosahexaenoyl-1-stearoyl-sn-glycero-3-phosphoserine"
"Amide-Neg-100021",NA,"C7 H11 Cl O S2",63680185.0192917,"Amide-Neg-100021"
"Amide-Pos-100017",NA,"C7 H10 O2 S",62927627.3759632,"Amide-Pos-100017"
"C18-Pos-000031","L-Glutathione (reduced)","C10 H17 N3 O6 S",62472661.2383943,"L-Glutathione (reduced)"
"Amide-Neg-000017","L-Threonic acid-1,4-lactone","C4 H6 O4",62384204.6316007,"L-Threonic acid-1,4-lactone"
"C8-Pos-000063","Muscone","C16 H30 O",61158125.931387,"Muscone"
"C18-Neg-100001",NA,"C6 H9 Cl O7",60881308.4080069,"C18-Neg-100001"
"C18-Neg-100003",NA,"C11 H13 N O9",59939798.2823797,"C18-Neg-100003"
"C18-Neg-000007","2'-Deoxyguanosine 5'-monophosphate (dGMP)","C10 H14 N5 O7 P",59930251.7893857,"2'-Deoxyguanosine 5'-monophosphate (dGMP)"
"Amide-Pos-100022",NA,"C12 H18 N6",59880303.9017331,"Amide-Pos-100022"
"C8-Neg-100018",NA,"C9 H7 N2 P3",59648151.5166034,"C8-Neg-100018"
"C18-Pos-100028",NA,"C5 H7 N3 O7",58415908.8977467,"C18-Pos-100028"
"C8-Neg-000002","Docosahexaenoic acid","C22 H32 O2",57142078.9037053,"Docosahexaenoic acid"
"C18-Pos-100019",NA,"C7 H21 N3 O5 P2 S",56532684.5435869,"C18-Pos-100019"
"C18-Pos-100027",NA,"C2 H2 N4 O2 P2",56437153.7646954,"C18-Pos-100027"
"C8-Neg-100007",NA,"C14 H19 N2 O3 P3 S",56319197.2910906,"C8-Neg-100007"
"C18-Pos-000038","N-Acetylneuraminic acid","C11 H19 N O9",56264831.9171778,"N-Acetylneuraminic acid"
"Amide-Pos-100021",NA,"C2 H2 N4 P2",55999717.4724654,"Amide-Pos-100021"
"Amide-Pos-000072","L-Pyroglutamic acid","C5 H7 N O3",55870084.7443508,"L-Pyroglutamic acid"
"C18-Neg-000005","L-Glutamic acid","C5 H9 N O4",55721817.2778959,"L-Glutamic acid"
"C18-Pos-000026","Hypoxanthine","C5 H4 N4 O",55554207.3078206,"Hypoxanthine"
"C8-Pos-000049","Octyl decyl phthalate","C26 H42 O4",55442648.2832193,"Octyl decyl phthalate"
"Amide-Neg-000019","L-Threonic acid-1,4-lactone","C4 H6 O4",55167273.0100174,"L-Threonic acid-1,4-lactone"
"C18-Pos-000028","Tetraglyme","C10 H22 O5",55126793.4578734,"Tetraglyme"
"Amide-Neg-000004","Hypoxanthine","C5 H4 N4 O",55028767.5220763,"Hypoxanthine"
"C8-Pos-100042",NA,"C24 H27 O4 P",54785850.5095545,"C8-Pos-100042"
"C18-Pos-000043","D-(+)-Proline","C5 H9 N O2",54020262.4034803,"D-(+)-Proline"
"Amide-Neg-100031",NA,"C5 H4 O4",53277767.7376181,"Amide-Neg-100031"
"Amide-Neg-100026",NA,"C6 H7 Cl O6",53162619.0207318,"Amide-Neg-100026"
"Amide-Pos-000075","Adenosine 5'-monophosphate","C10 H14 N5 O7 P",53015809.1460631,"Adenosine 5'-monophosphate"
"Amide-Pos-000062","4-Morpholinopropanesulfonic acid","C7 H15 N O4 S",52814997.2954098,"4-Morpholinopropanesulfonic acid"
"C8-Pos-100041",NA,"C29 H28 N2 O3",52706769.6956036,"C8-Pos-100041"
"C8-Pos-000059","1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycero-3-phosphocholine","C44 H76 N O8 P",52443972.3754387,"1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycero-3-phosphocholine"
"Amide-Pos-100019",NA,"C12 H18 N6",52273341.6739667,"Amide-Pos-100019"
"C18-Pos-000014","Hypoxanthine","C5 H4 N4 O",52070011.476886,"Hypoxanthine"
"Amide-Neg-000016","INO","C10 H12 N4 O5",51972969.2713965,"INO"
"Amide-Neg-100024",NA,"C2 H4 O4 S",51951028.2571885,"Amide-Neg-100024"
"C8-Pos-000067","Octadecyl 3-(3,5-di-tert-butyl-4-hydroxyphenyl)propionate","C35 H62 O3",51644588.7062576,"Octadecyl 3-(3,5-di-tert-butyl-4-hydroxyphenyl)propionate"
"Amide-Pos-000079","5-Methyl-1H-pyrazole-3-carbaldehyde","C5 H6 N2 O",51496024.9294659,"5-Methyl-1H-pyrazole-3-carbaldehyde"
"C8-Pos-100044",NA,"C30 H39 O4 P",51265036.1382408,"C8-Pos-100044"
"C8-Pos-100037",NA,"C34 H78 N8 O6 P2",51042819.4919148,"C8-Pos-100037"
"Amide-Neg-100040",NA,"C5 H6 O6",50711794.0587063,"Amide-Neg-100040"
"C8-Pos-000072","Mono(2-ethylhexyl) phthalate (MEHP)","C16 H22 O4",50522037.9682697,"Mono(2-ethylhexyl) phthalate (MEHP)"
"C8-Pos-000060","PE 16:0_22:5","C43 H76 N O8 P",49551123.1414565,"PE 16:0_22:5"
"C8-Neg-100017",NA,"C12 H12 N4 O9 S",49473604.2322936,"C8-Neg-100017"
"C18-Pos-100031",NA,"C3 H2 N2 O6",49340342.6753253,"C18-Pos-100031"
"C18-Pos-000033","N-Acetyl-1-aspartylglutamic acid","C11 H16 N2 O8",49333724.4794426,"N-Acetyl-1-aspartylglutamic acid"
"C8-Pos-100036",NA,"C13 H31 N9",48884366.3544805,"C8-Pos-100036"
"C8-Pos-100022",NA,"C7 H10 O7 P2",47929448.3696507,"C8-Pos-100022"
"C8-Pos-000057","3'-Adenosine monophosphate (3'-AMP)","C10 H14 N5 O7 P",47754032.3990269,"3'-Adenosine monophosphate (3'-AMP)"
"C8-Neg-100021",NA,"C21 H42 O6",47631305.4083837,"C8-Neg-100021"
"C8-Neg-100013",NA,"C36 H80 N6 O8",47630292.7460505,"C8-Neg-100013"
"C8-Pos-000053","1-Hexadecyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine","C42 H84 N O7 P",46813560.9027217,"1-Hexadecyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine"
"Amide-Neg-100050",NA,"C4 H5 N O2",46749109.6109051,"Amide-Neg-100050"
"C8-Pos-000064","Monoolein","C21 H40 O4",46702888.8083771,"Monoolein"
"Amide-Neg-100042",NA,"C6 H10 Cl N O6",46448570.3264513,"Amide-Neg-100042"
"C18-Pos-000041","Taurine","C2 H7 N O3 S",46409517.501622,"Taurine"
"C18-Pos-000024","Glycerophosphocholine","C8 H20 N O6 P",45956701.3295178,"Glycerophosphocholine"
"Amide-Neg-100034",NA,"C7 H8 N2 O3 P2",45741429.6238842,"Amide-Neg-100034"
"Amide-Neg-100054",NA,"C6 H10 Cl N O6",45510404.606604,"Amide-Neg-100054"
