"Compound.ID","Name","Formula","mean_intensity","display_name"
"Amide-Pos-000001","Choline","C5 H13 N O",21368325322.9992,"Choline"
"Amide-Pos-000002","CHOLINE","C5 H13 N O",15017948578.3667,"CHOLINE"
"C18-Pos-000001","Choline","C5 H13 N O",5829001529.19502,"Choline"
"C8-Pos-000001","1-Palmitoylglycerol","C19 H38 O4",1996196441.01694,"1-Palmitoylglycerol"
"C8-Pos-000002","Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14","C40 H78 N O8 P",1783660376.24882,"Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14"
"C18-Pos-000002","Creatine","C4 H9 N3 O2",1303968547.84522,"Creatine"
"C8-Pos-000004","2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine","C42 H82 N O8 P",1040298738.97907,"2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine"
"C8-Pos-000003","Erucamide","C22 H43 N O",900040937.955584,"Erucamide"
"C8-Pos-000005","1-Stearoylglycerol","C21 H42 O4",868949484.537366,"1-Stearoylglycerol"
"Amide-Pos-100001",NA,"C7 H10 O7 P2",865460329.074773,"Amide-Pos-100001"
"C8-Pos-000007","PC 14:0_16:1","C38 H74 N O8 P",819692508.778706,"PC 14:0_16:1"
"Amide-Pos-000019","Hypoxanthine","C5 H4 N4 O",726232788.272457,"Hypoxanthine"
"Amide-Pos-100006",NA,"C3 H5 P S",717738557.096048,"Amide-Pos-100006"
"C18-Pos-100001",NA,"C7 H5 N6 O P",714592316.210404,"C18-Pos-100001"
"Amide-Pos-000025","Creatine","C4 H9 N3 O2",652501606.870594,"Creatine"
"Amide-Pos-000023","PHOSPHOCHOLINE","C5 H14 N O4 P",647920087.847185,"PHOSPHOCHOLINE"
"Amide-Neg-100001",NA,"C10 H14 Cl N5 O4",602745551.811193,"Amide-Neg-100001"
"C8-Pos-000008","1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine","C40 H76 N O8 P",598106213.765746,"1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine"
"Amide-Pos-000028","Taurine","C2 H7 N O3 S",557685274.420005,"Taurine"
"C8-Pos-000010","1,2-Dipentadecanoyl-sn-glycero-3-phosphocholine","C38 H76 N O8 P",523912450.357516,"1,2-Dipentadecanoyl-sn-glycero-3-phosphocholine"
"C8-Pos-000011","1-Palmitoyl-2-linoleoyl-sn-glycero-3-phosphocholine","C42 H80 N O8 P",504485363.176829,"1-Palmitoyl-2-linoleoyl-sn-glycero-3-phosphocholine"
"C8-Pos-000012","1-Hexadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine","C44 H80 N O8 P",500648901.601932,"1-Hexadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine"
"Amide-Pos-100003",NA,"C12 H18 N6",495894177.842796,"Amide-Pos-100003"
"Amide-Pos-100004",NA,"C12 H18 N6",438725004.052536,"Amide-Pos-100004"
"C8-Pos-000015","1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine","C40 H76 N O8 P",409516068.402256,"1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine"
"C18-Pos-000006","Glutathione, oxidized","C20 H32 N6 O12 S2",394842641.905357,"Glutathione, oxidized"
"C18-Pos-000003","L-Glutathione (reduced)","C10 H17 N3 O6 S",389980825.325107,"L-Glutathione (reduced)"
"Amide-Pos-000033","Creatinine","C4 H7 N3 O",389785049.715858,"Creatinine"
"C18-Pos-100005",NA,"C4 H N4 O3 P",386621022.108079,"C18-Pos-100005"
"C18-Pos-100004",NA,"C7 H5 N6 O P",380355912.821872,"C18-Pos-100004"
"Amide-Pos-100008",NA,"C12 H18 N6",365428102.744023,"Amide-Pos-100008"
"C8-Pos-000014","1,2-dioleoyl-sn-glycero-3-phosphatidylcholine","C44 H84 N O8 P",364483549.436139,"1,2-dioleoyl-sn-glycero-3-phosphatidylcholine"
"C8-Pos-000009","1-Palmitoyl-sn-glycero-3-phosphocholine","C24 H50 N O7 P",362940887.378671,"1-Palmitoyl-sn-glycero-3-phosphocholine"
"Amide-Pos-000035","Adenine","C5 H5 N5",357949368.841154,"Adenine"
