"Compound.ID","Name","Formula","GW_bucket","mean_intensity","display_name"
"Amide-Pos-000001","Choline","C5 H13 N O","16-18",26904782228.3422,"Choline"
"Amide-Pos-000002","CHOLINE","C5 H13 N O","16-18",13782263561.7183,"CHOLINE"
"C18-Pos-000001","Choline","C5 H13 N O","16-18",8304537176.19046,"Choline"
"C8-Pos-000001","1-Palmitoylglycerol","C19 H38 O4","16-18",1941809729.61035,"1-Palmitoylglycerol"
"C8-Pos-000002","Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14","C40 H78 N O8 P","16-18",1755730890.25184,"Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14"
"C18-Pos-000002","Creatine","C4 H9 N3 O2","16-18",1094947752.68198,"Creatine"
"C8-Pos-000003","Erucamide","C22 H43 N O","16-18",1010383198.37583,"Erucamide"
"C8-Pos-000005","1-Stearoylglycerol","C21 H42 O4","16-18",929834202.513439,"1-Stearoylglycerol"
"C8-Pos-000004","2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine","C42 H82 N O8 P","16-18",891113067.073606,"2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine"
"Amide-Pos-100001",NA,"C7 H10 O7 P2","16-18",835876448.000529,"Amide-Pos-100001"
"C8-Pos-000007","PC 14:0_16:1","C38 H74 N O8 P","16-18",834081123.664112,"PC 14:0_16:1"
"Amide-Pos-000023","PHOSPHOCHOLINE","C5 H14 N O4 P","16-18",775691152.450108,"PHOSPHOCHOLINE"
"C18-Pos-100001",NA,"C7 H5 N6 O P","16-18",722153996.543121,"C18-Pos-100001"
"C8-Pos-000008","1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine","C40 H76 N O8 P","16-18",707441351.33134,"1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine"
"Amide-Pos-100006",NA,"C3 H5 P S","16-18",699524364.977478,"Amide-Pos-100006"
"Amide-Pos-000025","Creatine","C4 H9 N3 O2","16-18",643500021.187546,"Creatine"
"C8-Pos-000011","1-Palmitoyl-2-linoleoyl-sn-glycero-3-phosphocholine","C42 H80 N O8 P","16-18",580991080.385578,"1-Palmitoyl-2-linoleoyl-sn-glycero-3-phosphocholine"
"Amide-Pos-000019","Hypoxanthine","C5 H4 N4 O","16-18",559666018.196106,"Hypoxanthine"
"Amide-Pos-000028","Taurine","C2 H7 N O3 S","16-18",547866714.89844,"Taurine"
"Amide-Neg-100001",NA,"C10 H14 Cl N5 O4","16-18",506892723.376254,"Amide-Neg-100001"
"C8-Pos-000010","1,2-Dipentadecanoyl-sn-glycero-3-phosphocholine","C38 H76 N O8 P","16-18",497083971.927025,"1,2-Dipentadecanoyl-sn-glycero-3-phosphocholine"
"Amide-Pos-100003",NA,"C12 H18 N6","16-18",436273876.226026,"Amide-Pos-100003"
"C8-Pos-000015","1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine","C40 H76 N O8 P","16-18",436047552.433007,"1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine"
"C8-Pos-000014","1,2-dioleoyl-sn-glycero-3-phosphatidylcholine","C44 H84 N O8 P","16-18",428968673.674903,"1,2-dioleoyl-sn-glycero-3-phosphatidylcholine"
"C8-Pos-000012","1-Hexadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine","C44 H80 N O8 P","16-18",417937390.330671,"1-Hexadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine"
"C18-Pos-000006","Glutathione, oxidized","C20 H32 N6 O12 S2","16-18",394842641.905357,"Glutathione, oxidized"
"C18-Pos-100005",NA,"C4 H N4 O3 P","16-18",386460751.111294,"C18-Pos-100005"
"Amide-Neg-100003",NA,"C6 H9 Cl O7","16-18",365781251.681194,"Amide-Neg-100003"
"Amide-Pos-100008",NA,"C12 H18 N6","16-18",364407153.926856,"Amide-Pos-100008"
"Amide-Pos-000022","N,N-Diethylethanolamine","C6 H15 N O","16-18",363532648.106203,"N,N-Diethylethanolamine"
"C18-Pos-000003","L-Glutathione (reduced)","C10 H17 N3 O6 S","16-18",362116708.335984,"L-Glutathione (reduced)"
"C8-Pos-100001",NA,"C21 H33 N3 O3","16-18",352329767.026744,"C8-Pos-100001"
"C8-Pos-100002",NA,"C32 H69 N10 O5 P","16-18",341269339.225755,"C8-Pos-100002"
"C18-Pos-000004","L-Glutamic acid","C5 H9 N O4","16-18",332076605.780036,"L-Glutamic acid"
"C8-Pos-000020","Palmitoyleicosapentaenoyl phosphatidylcholine","C44 H78 N O8 P","16-18",313139511.657671,"Palmitoyleicosapentaenoyl phosphatidylcholine"
"Amide-Pos-000035","Adenine","C5 H5 N5","16-18",309977794.500959,"Adenine"
"C8-Pos-000019","1-Stearoyl-2-arachidonyl-sn-glycero-3-phosphocholine","C46 H84 N O8 P","16-18",295830880.618991,"1-Stearoyl-2-arachidonyl-sn-glycero-3-phosphocholine"
"Amide-Neg-100002",NA,"C6 H9 Cl O7","16-18",290669230.560525,"Amide-Neg-100002"
"C18-Pos-100007",NA,"C7 H12 O4 P2","16-18",290526219.264713,"C18-Pos-100007"
"C8-Neg-100001",NA,"C8 H9 N3 O5 P2","16-18",285000081.617602,"C8-Neg-100001"
"C8-Neg-100002",NA,"C8 H9 N3 O5 P2","16-18",285000081.617602,"C8-Neg-100002"
"C8-Pos-100003",NA,"C28 H44 N2 O2 S","16-18",276779808.905708,"C8-Pos-100003"
"Amide-Pos-100007",NA,"C10 H22 O4 P2","16-18",275720952.647476,"Amide-Pos-100007"
"C8-Neg-000001","Arachidonic acid","C20 H32 O2","16-18",274104773.414793,"Arachidonic acid"
"C18-Pos-000005","Adenosine 5'-monophosphate","C10 H14 N5 O7 P","16-18",272110181.260152,"Adenosine 5'-monophosphate"
"C18-Pos-100006",NA,"C7 H5 N6 O P","16-18",271260994.215677,"C18-Pos-100006"
"Amide-Neg-100005",NA,"C9 H21 N O5","16-18",269969975.176648,"Amide-Neg-100005"
"Amide-Pos-100005",NA,"C12 H18 N6","16-18",269583162.617868,"Amide-Pos-100005"
"C18-Pos-100008",NA,"C11 H15 N O10","16-18",267275599.796527,"C18-Pos-100008"
"C8-Pos-000022","1-Octadecanoyl-2-octadecenoyl-sn-glycero-3-phosphocholine","C44 H86 N O8 P","16-18",264184852.19413,"1-Octadecanoyl-2-octadecenoyl-sn-glycero-3-phosphocholine"
"Amide-Neg-100008",NA,"C2 H7 O6 P","16-18",252876344.671008,"Amide-Neg-100008"
"C8-Pos-000021","PC 16:1_16:2","C40 H74 N O8 P","16-18",250419312.039982,"PC 16:1_16:2"
"C8-Pos-000009","1-Palmitoyl-sn-glycero-3-phosphocholine","C24 H50 N O7 P","16-18",249182829.980705,"1-Palmitoyl-sn-glycero-3-phosphocholine"
"C18-Pos-000007","2,5-Dimethyl-4-pyrimidinamine","C6 H9 N3","16-18",241778576.551363,"2,5-Dimethyl-4-pyrimidinamine"
"Amide-Neg-100011",NA,"C2 H3 N O3 S","16-18",235744918.019279,"Amide-Neg-100011"
"Amide-Pos-100011",NA,"C5 H11 N4 O10 P S","16-18",235600945.064585,"Amide-Pos-100011"
"Amide-Neg-000001","L-(+)-Lactic acid","C3 H6 O3","16-18",229205078.572401,"L-(+)-Lactic acid"
"Amide-Neg-100010",NA,"C6 H7 Cl O6","16-18",228858224.311737,"Amide-Neg-100010"
"C8-Pos-000025","Triphenyl phosphate","C18 H15 O4 P","16-18",223801226.010639,"Triphenyl phosphate"
"C18-Pos-100002",NA,"C7 H10 O2 S","16-18",222084483.624177,"C18-Pos-100002"
"Amide-Pos-000039","Tetraglyme","C10 H22 O5","16-18",220272263.700514,"Tetraglyme"
"C8-Pos-000024","PC 17:2_17:2","C42 H76 N O8 P","16-18",217293335.144662,"PC 17:2_17:2"
"C8-Pos-000023","1,2-Ditetradecanoyl-sn-glycero-3-phosphocholine","C36 H72 N O8 P","16-18",214628398.656493,"1,2-Ditetradecanoyl-sn-glycero-3-phosphocholine"
"C8-Neg-100003",NA,"C21 H42 O6","16-18",207105427.157364,"C8-Neg-100003"
"C18-Neg-000001","Ascorbic acid","C6 H8 O6","16-18",206534739.802206,"Ascorbic acid"
"Amide-Pos-000052","Betaine","C5 H11 N O2","16-18",204730067.933111,"Betaine"
"Amide-Pos-100002",NA,"C12 H18 N6","16-18",201602555.59045,"Amide-Pos-100002"
"Amide-Pos-100009",NA,"C12 H18 N6","16-18",201602555.59045,"Amide-Pos-100009"
"C18-Pos-100011",NA,"C12 H18 N6","16-18",198124545.033159,"C18-Pos-100011"
"C8-Pos-000018","DL-Dipalmitoylphosphatidylcholine","C40 H80 N O8 P","16-18",194887170.733355,"DL-Dipalmitoylphosphatidylcholine"
"Amide-Pos-100012",NA,"C11 H10 N6 O9 P2","16-18",190903483.713957,"Amide-Pos-100012"
"C8-Pos-000016","1,2-dioleoyl-sn-glycero-3-phosphatidylcholine","C44 H84 N O8 P","16-18",190851796.172388,"1,2-dioleoyl-sn-glycero-3-phosphatidylcholine"
"Amide-Neg-100007",NA,"C10 H17 N3 O4 P2","16-18",190526326.116212,"Amide-Neg-100007"
"Amide-Neg-000005","Ascorbic acid","C6 H8 O6","16-18",186092778.252413,"Ascorbic acid"
"Amide-Pos-000054","L-Glutamic acid","C5 H9 N O4","16-18",184419507.927087,"L-Glutamic acid"
"C8-Pos-100013",NA,"C24 H27 O4 P","16-18",178722818.232417,"C8-Pos-100013"
"C18-Pos-000013","Glutathione, oxidized","C20 H32 N6 O12 S2","16-18",177522493.153156,"Glutathione, oxidized"
"C8-Pos-000029","1-Palmitoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine","C46 H80 N O8 P","16-18",171433409.474918,"1-Palmitoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine"
"Amide-Pos-100004",NA,"C12 H18 N6","16-18",168641657.978123,"Amide-Pos-100004"
"C18-Pos-100003",NA,"C7 H13 N O2 S","16-18",167246071.40043,"C18-Pos-100003"
"C18-Pos-000016","L-Serine","C3 H7 N O3","16-18",164767635.767817,"L-Serine"
"C18-Pos-000009","L-Pyroglutamic acid","C5 H7 N O3","16-18",161620513.984653,"L-Pyroglutamic acid"
"C8-Pos-100014",NA,"C21 H21 O4 P","16-18",160999171.933784,"C8-Pos-100014"
"C8-Pos-100015",NA,"C15 H28 N2 O2 P2","16-18",160999171.933784,"C8-Pos-100015"
"Amide-Pos-100010",NA,"C7 H10 O2 S","16-18",160290409.728003,"Amide-Pos-100010"
"C18-Pos-100010",NA,"C3 H7 P S2","16-18",160117348.4248,"C18-Pos-100010"
"C8-Pos-100016",NA,"C24 H18 N2 O3","16-18",158837039.380571,"C8-Pos-100016"
"Amide-Pos-000040","Adenosine","C10 H13 N5 O4","16-18",158213825.972589,"Adenosine"
"Amide-Neg-100004",NA,"C9 H21 N O5","16-18",155346618.180348,"Amide-Neg-100004"
"C18-Pos-100015",NA,"C5 H2 N2 O4 S","16-18",150924105.087798,"C18-Pos-100015"
"C8-Pos-000034","Monoolein","C21 H40 O4","16-18",150287257.1609,"Monoolein"
"C18-Pos-000022","Adenosine 5'-monophosphate","C10 H14 N5 O7 P","16-18",149485187.440934,"Adenosine 5'-monophosphate"
"C8-Neg-100006",NA,"C21 H42 O6","16-18",148481781.734588,"C8-Neg-100006"
"Amide-Neg-100012",NA,"C6 H10 Cl N O6","16-18",145988714.731435,"Amide-Neg-100012"
"Amide-Neg-100013",NA,"C6 H12 Cl N O7","16-18",145988714.731435,"Amide-Neg-100013"
"Amide-Neg-100009",NA,"C6 H9 Cl O7","16-18",141821834.687418,"Amide-Neg-100009"
"Amide-Neg-100017",NA,"C6 H10 Cl N O6","16-18",141694052.600398,"Amide-Neg-100017"
"C8-Neg-100010",NA,"C8 H9 N3 O5 P2","16-18",139434717.102173,"C8-Neg-100010"
"C18-Pos-000008","Pantothenic acid","C9 H17 N O5","16-18",139115958.08758,"Pantothenic acid"
"C8-Pos-100019",NA,"C21 H21 O4 P","16-18",137517452.706527,"C8-Pos-100019"
"Amide-Pos-000063","DL-Glutamine","C5 H10 N2 O3","16-18",134614575.116314,"DL-Glutamine"
"C18-Pos-000015","L-Isoleucine","C6 H13 N O2","16-18",131741129.465339,"L-Isoleucine"
"C8-Neg-100008",NA,"C18 H36 O2","16-18",131421047.868956,"C8-Neg-100008"
"C8-Pos-000013","Didodecyl 3,3'-thiodipropionate oxide","C30 H58 O5 S","16-18",131317990.111071,"Didodecyl 3,3'-thiodipropionate oxide"
"C18-Pos-100009",NA,"C11 H15 N O10","16-18",130012809.758829,"C18-Pos-100009"
"C18-Neg-000002","N-Acetylaspartic acid","C6 H9 N O5","16-18",129033715.594725,"N-Acetylaspartic acid"
"Amide-Neg-100019",NA,"C2 H4 O4 S","16-18",127834105.182026,"Amide-Neg-100019"
"Amide-Neg-000003","2-Deoxyribose 5-phosphate","C5 H11 O7 P","16-18",127220020.430138,"2-Deoxyribose 5-phosphate"
"Amide-Pos-000053","Adenosine","C10 H13 N5 O4","16-18",123598978.621969,"Adenosine"
"Amide-Pos-100018",NA,"C6 H9 N3","16-18",122902429.057097,"Amide-Pos-100018"
"C8-Pos-000043","PC 12:0_28:7","C48 H82 N O8 P","16-18",120679030.224872,"PC 12:0_28:7"
"C8-Neg-100012",NA,"C9 H7 N2 P3","16-18",120222882.408992,"C8-Neg-100012"
"C18-Pos-000018","N-Acetylaspartate","C6 H9 N O5","16-18",117985930.924602,"N-Acetylaspartate"
"C8-Neg-100005",NA,"C5 H5 N2 O7 P","16-18",117588798.2308,"C8-Neg-100005"
"Amide-Pos-100014",NA,"C4 H4 Cl N4 O4 P3 S","16-18",116336409.581942,"Amide-Pos-100014"
"C8-Pos-100011",NA,"C19 H41 N3 O3","16-18",115868971.865295,"C8-Pos-100011"
"C8-Neg-100004",NA,"C23 H46 O6","16-18",115259953.291169,"C8-Neg-100004"
"C8-Pos-000045","1-Palmitoylglycerol","C19 H38 O4","16-18",115068627.649413,"1-Palmitoylglycerol"
"C8-Pos-000040","7(Z),10(Z),13(Z),16(Z),19(Z)-N-(2-Hydroxyethyl)docosapentaenamide","C24 H39 N O2","16-18",114920662.671329,"7(Z),10(Z),13(Z),16(Z),19(Z)-N-(2-Hydroxyethyl)docosapentaenamide"
"C8-Pos-000041","PC 15:1_15:1","C38 H72 N O8 P","16-18",114206285.389681,"PC 15:1_15:1"
"Amide-Neg-100034",NA,"C7 H8 N2 O3 P2","16-18",113317188.882502,"Amide-Neg-100034"
"C8-Pos-000046","1-Stearoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine","C48 H84 N O8 P","16-18",108802779.031757,"1-Stearoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine"
"Amide-Pos-000049","Creatinine","C4 H7 N3 O","16-18",108678248.057716,"Creatinine"
"C8-Pos-100020",NA,"C17 H36 N6 S","16-18",107012852.571475,"C8-Pos-100020"
"C8-Pos-000044","PC 16:1_18:2","C42 H78 N O8 P","16-18",105235924.9996,"PC 16:1_18:2"
"C18-Pos-000012","Adenosine","C10 H13 N5 O4","16-18",104689348.037631,"Adenosine"
"Amide-Pos-000065","D-(+)-Proline","C5 H9 N O2","16-18",103049553.963808,"D-(+)-Proline"
"C18-Pos-100012",NA,"C3 H6 N2 O5","16-18",102730752.419722,"C18-Pos-100012"
"Amide-Pos-100015",NA,"C10 H12 N8 O13 P2","16-18",102730239.230915,"Amide-Pos-100015"
"C8-Neg-100009",NA,"C23 H46 O6","16-18",101049622.296221,"C8-Neg-100009"
"C18-Pos-000034","N-Acetyl-1-aspartylglutamic acid","C11 H16 N2 O8","16-18",100166789.517677,"N-Acetyl-1-aspartylglutamic acid"
"C8-Neg-100014",NA,"C25 H26 N4 O3","16-18",100100915.084212,"C8-Neg-100014"
"Amide-Neg-100032",NA,"C6 H9 Cl O7","16-18",99731257.9166611,"Amide-Neg-100032"
"Amide-Neg-100033",NA,"C5 H7 Cl O5","16-18",99731257.9166611,"Amide-Neg-100033"
"C18-Pos-100016",NA,"C3 H3 N5 P2","16-18",99419118.1790269,"C18-Pos-100016"
"Amide-Neg-000007","Itaconic acid","C5 H6 O4","16-18",97408491.9763312,"Itaconic acid"
"C18-Pos-000025","L-Phenylalanine","C9 H11 N O2","16-18",95162316.9529692,"L-Phenylalanine"
"Amide-Pos-000056","Inosine","C10 H12 N4 O5","16-18",93882895.2904898,"Inosine"
"C8-Pos-000050","PC 16:1_22:6","C46 H78 N O8 P","16-18",93834361.7167124,"PC 16:1_22:6"
"Amide-Pos-000073","Triethylamine","C6 H15 N","16-18",93806695.0906481,"Triethylamine"
"C18-Pos-000017","DL-Glutamine","C5 H10 N2 O3","16-18",93701274.3779459,"DL-Glutamine"
"Amide-Pos-000048","Glycerophosphocholine","C8 H20 N O6 P","16-18",93677141.1471952,"Glycerophosphocholine"
"Amide-Neg-100020",NA,"C7 H8 N2 O3 P2","16-18",93495477.0107436,"Amide-Neg-100020"
"C8-Pos-100023",NA,"C26 H43 N O2","16-18",93251278.1655813,"C8-Pos-100023"
"Amide-Pos-100020",NA,"C4 H13 N P2 S","16-18",92312130.4144024,"Amide-Pos-100020"
"C18-Pos-100013",NA,"C11 H15 N O10","16-18",92273768.5134156,"C18-Pos-100013"
"C8-Pos-000037","1-Stearoyl-2-arachidonyl-sn-glycero-3-phosphocholine","C46 H84 N O8 P","16-18",91399233.5168728,"1-Stearoyl-2-arachidonyl-sn-glycero-3-phosphocholine"
"C8-Pos-000032","2-Docosahexaenoyl-1-stearoyl-sn-glycero-3-phosphoserine","C46 H78 N O10 P","16-18",89421099.5365482,"2-Docosahexaenoyl-1-stearoyl-sn-glycero-3-phosphoserine"
"Amide-Pos-000068","3-Methoxypropylamine","C4 H11 N O","16-18",89023195.9877388,"3-Methoxypropylamine"
"Amide-Neg-100016",NA,"C6 H10 Cl N O6","16-18",87856323.6795783,"Amide-Neg-100016"
"Amide-Neg-100014",NA,"C6 H13 Cl O6","16-18",86894186.8753324,"Amide-Neg-100014"
"Amide-Pos-000059","Acetylcholine","C7 H15 N O2","16-18",86847833.8014466,"Acetylcholine"
"C8-Pos-000052","1-Stearoylglycerol","C21 H42 O4","16-18",86803294.1849587,"1-Stearoylglycerol"
"C8-Neg-100015",NA,"C16 H32 O2","16-18",86657933.1413726,"C8-Neg-100015"
"C8-Pos-000051","Bis(methylbenzylidene)sorbitol","C22 H26 O6","16-18",85953855.8711769,"Bis(methylbenzylidene)sorbitol"
"C18-Pos-000030","Spermidine","C7 H19 N3","16-18",84329326.9723144,"Spermidine"
"Amide-Neg-000013","β-Hydroxypropionic acid","C3 H6 O3","16-18",80649282.4661192,"β-Hydroxypropionic acid"
"C18-Pos-000027","Adenosine","C10 H13 N5 O4","16-18",79219926.6688519,"Adenosine"
"C8-Pos-100031",NA,"C26 H31 O4 P","16-18",79110906.2435434,"C8-Pos-100031"
"C8-Pos-000054","PC 16:1_18:2","C42 H78 N O8 P","16-18",78322402.1253468,"PC 16:1_18:2"
"Amide-Neg-000009","N-Acetylaspartic acid","C6 H9 N O5","16-18",78291541.0059161,"N-Acetylaspartic acid"
"Amide-Pos-100016",NA,"C12 H26 O6","16-18",78122980.0790194,"Amide-Pos-100016"
"C18-Pos-100023",NA,"C3 H N4 O P","16-18",77538435.5396258,"C18-Pos-100023"
"Amide-Pos-000064","Creatine","C4 H9 N3 O2","16-18",76869170.845724,"Creatine"
"C18-Neg-000004","N-Acetylaspartic acid","C6 H9 N O5","16-18",76020111.8410681,"N-Acetylaspartic acid"
"Amide-Neg-100027",NA,"C7 H6 N2 O2 P2","16-18",75353927.2816358,"Amide-Neg-100027"
"Amide-Neg-100021",NA,"C7 H11 Cl O S2","16-18",74430282.8737116,"Amide-Neg-100021"
"C8-Pos-100032",NA,"C29 H28 N2 O3","16-18",73815171.8966841,"C8-Pos-100032"
"Amide-Pos-100021",NA,"C2 H2 N4 P2","16-18",73681951.8991508,"Amide-Pos-100021"
"C8-Pos-100030",NA,"C38 H74 N6 O2 P2","16-18",72934538.8050992,"C8-Pos-100030"
"Amide-Neg-100031",NA,"C5 H4 O4","16-18",72429475.3086157,"Amide-Neg-100031"
"Amide-Neg-100018",NA,"C6 H9 Cl O7","16-18",71648618.0757075,"Amide-Neg-100018"
"Amide-Neg-000012","Ascorbic acid","C6 H8 O6","16-18",71188735.3368289,"Ascorbic acid"
"Amide-Neg-000018","L-Threonic acid","C4 H8 O5","16-18",70706719.142043,"L-Threonic acid"
"C8-Pos-000038","1-Oleoyl-sn-glycero-3-phosphocholine","C26 H52 N O7 P","16-18",69993270.3785674,"1-Oleoyl-sn-glycero-3-phosphocholine"
"Amide-Pos-100026",NA,"C6 H4 O13","16-18",69747027.0011895,"Amide-Pos-100026"
"C18-Pos-000031","L-Glutathione (reduced)","C10 H17 N3 O6 S","16-18",69315701.3083078,"L-Glutathione (reduced)"
"C18-Pos-100024",NA,"C2 H5 P S2","16-18",68085543.2712071,"C18-Pos-100024"
"Amide-Pos-100023",NA,"C5 H3 N8 O P3","16-18",68043559.1755976,"Amide-Pos-100023"
"C8-Neg-100011",NA,"C18 H34 O2","16-18",67780040.8577017,"C8-Neg-100011"
"C18-Pos-100021",NA,"C11 H15 N O10","16-18",67574080.9400042,"C18-Pos-100021"
"C18-Pos-000029","L-Aspartic acid","C4 H7 N O4","16-18",65315417.8093765,"L-Aspartic acid"
"Amide-Neg-100040",NA,"C5 H6 O6","16-18",64500233.0729699,"Amide-Neg-100040"
"C8-Neg-100017",NA,"C12 H12 N4 O9 S","16-18",63533053.6626687,"C8-Neg-100017"
"C18-Pos-100018",NA,"C11 H15 N O10","16-18",62682256.9623203,"C18-Pos-100018"
"C18-Pos-100020",NA,"C3 H9 N O6 P2","16-18",61836338.732058,"C18-Pos-100020"
"Amide-Pos-000070","N8-Acetylspermidine","C9 H21 N3 O","16-18",61534684.5493041,"N8-Acetylspermidine"
"Amide-Neg-100028",NA,"C6 H9 Cl O7","16-18",59828128.0703214,"Amide-Neg-100028"
"Amide-Neg-000017","L-Threonic acid-1,4-lactone","C4 H6 O4","16-18",59475983.1886919,"L-Threonic acid-1,4-lactone"
"C18-Pos-100019",NA,"C7 H21 N3 O5 P2 S","16-18",59308305.2761299,"C18-Pos-100019"
"C8-Pos-000063","Muscone","C16 H30 O","16-18",59281795.7295374,"Muscone"
"C8-Pos-000042","Spectral Match to 1-Octadecanoyl-sn-glycero-3-phosphocholine from NIST14","C26 H54 N O7 P","16-18",59247344.9742293,"Spectral Match to 1-Octadecanoyl-sn-glycero-3-phosphocholine from NIST14"
"C18-Neg-000005","L-Glutamic acid","C5 H9 N O4","16-18",58194620.8215792,"L-Glutamic acid"
"C18-Pos-000033","N-Acetyl-1-aspartylglutamic acid","C11 H16 N2 O8","16-18",58036552.1231289,"N-Acetyl-1-aspartylglutamic acid"
"C8-Neg-000002","Docosahexaenoic acid","C22 H32 O2","16-18",57936839.903124,"Docosahexaenoic acid"
"C8-Pos-000053","1-Hexadecyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine","C42 H84 N O7 P","16-18",57840035.0135328,"1-Hexadecyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine"
"Amide-Pos-000075","Adenosine 5'-monophosphate","C10 H14 N5 O7 P","16-18",57613331.4169953,"Adenosine 5'-monophosphate"
"C18-Pos-100028",NA,"C5 H7 N3 O7","16-18",57532088.500779,"C18-Pos-100028"
"C8-Pos-100036",NA,"C13 H31 N9","16-18",57312073.5223189,"C8-Pos-100036"
"C18-Pos-000028","Tetraglyme","C10 H22 O5","16-18",56222084.3152268,"Tetraglyme"
"C18-Pos-100027",NA,"C2 H2 N4 O2 P2","16-18",56166711.1665964,"C18-Pos-100027"
"C18-Pos-100014",NA,"C11 H15 N O10","16-18",55841748.6379904,"C18-Pos-100014"
"C8-Pos-000059","1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycero-3-phosphocholine","C44 H76 N O8 P","16-18",55740748.8144275,"1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycero-3-phosphocholine"
"C8-Pos-100042",NA,"C24 H27 O4 P","16-18",55643537.6183746,"C8-Pos-100042"
"C18-Neg-100001",NA,"C6 H9 Cl O7","16-18",55119468.327749,"C18-Neg-100001"
"Amide-Neg-000019","L-Threonic acid-1,4-lactone","C4 H6 O4","16-18",54878223.3339085,"L-Threonic acid-1,4-lactone"
"Amide-Neg-100036",NA,"C2 H3 N O3 S","16-18",54836561.07252,"Amide-Neg-100036"
"C8-Pos-000064","Monoolein","C21 H40 O4","16-18",54451508.4071325,"Monoolein"
"C8-Pos-100029",NA,"C33 H78 N10 O10 P2","16-18",54329573.8711304,"C8-Pos-100029"
"C8-Pos-100037",NA,"C34 H78 N8 O6 P2","16-18",53975417.3903205,"C8-Pos-100037"
"C8-Pos-000067","Octadecyl 3-(3,5-di-tert-butyl-4-hydroxyphenyl)propionate","C35 H62 O3","16-18",53491304.7892452,"Octadecyl 3-(3,5-di-tert-butyl-4-hydroxyphenyl)propionate"
"C8-Neg-100007",NA,"C14 H19 N2 O3 P3 S","16-18",53344022.9572435,"C8-Neg-100007"
"Amide-Neg-100035",NA,"C6 H6 O7","16-18",53338439.1732983,"Amide-Neg-100035"
"C18-Pos-000040","L-Tyrosine","C9 H11 N O3","16-18",52916126.3010021,"L-Tyrosine"
"Amide-Pos-000072","L-Pyroglutamic acid","C5 H7 N O3","16-18",52726565.5998048,"L-Pyroglutamic acid"
"C8-Pos-100041",NA,"C29 H28 N2 O3","16-18",52631536.8190398,"C8-Pos-100041"
"C8-Pos-000069","PC(18:0_20:3)","C46 H86 N O8 P","16-18",52482663.7102692,"PC(18:0_20:3)"
"C8-Pos-000049","Octyl decyl phthalate","C26 H42 O4","16-18",52359067.3658255,"Octyl decyl phthalate"
"C18-Pos-000043","D-(+)-Proline","C5 H9 N O2","16-18",51939255.5065147,"D-(+)-Proline"
"Amide-Pos-000080","N-Methyl-2-phenylpropan-1-amine","C10 H15 N","16-18",51925330.4884292,"N-Methyl-2-phenylpropan-1-amine"
"Amide-Pos-000079","5-Methyl-1H-pyrazole-3-carbaldehyde","C5 H6 N2 O","16-18",51836626.6373913,"5-Methyl-1H-pyrazole-3-carbaldehyde"
"C18-Pos-100031",NA,"C3 H2 N2 O6","16-18",51690175.7899469,"C18-Pos-100031"
"Amide-Neg-100026",NA,"C6 H7 Cl O6","16-18",51612035.9977151,"Amide-Neg-100026"
"C8-Neg-100025",NA,"C7 H11 N6 O4 P S","16-18",51571843.5782193,"C8-Neg-100025"
"Amide-Neg-000021","β-Hydroxypropionic acid","C3 H6 O3","16-18",51426144.2671292,"β-Hydroxypropionic acid"
"C8-Neg-100013",NA,"C36 H80 N6 O8","16-18",51421089.1478215,"C8-Neg-100013"
"Amide-Pos-100017",NA,"C7 H10 O2 S","16-18",50968167.1430402,"Amide-Pos-100017"
"Amide-Neg-100050",NA,"C4 H5 N O2","16-18",50442867.722113,"Amide-Neg-100050"
"Amide-Neg-000037","D-(+)-Mannose","C6 H12 O6","16-18",50397990.5340127,"D-(+)-Mannose"
"Amide-Pos-000082","3-(Ethenyloxy)propan-1-amine","C5 H11 N O","16-18",50342436.598361,"3-(Ethenyloxy)propan-1-amine"
"C8-Pos-000072","Mono(2-ethylhexyl) phthalate (MEHP)","C16 H22 O4","16-18",49647953.8492917,"Mono(2-ethylhexyl) phthalate (MEHP)"
"Amide-Neg-100039",NA,"C5 H12 N O5 P S","16-18",49549398.9071493,"Amide-Neg-100039"
