"Compound.ID","Name","Formula","GW_bucket","mean_intensity","display_name"
"Amide-Neg-100971",NA,"C20 H34 N O P S","22-24",41954.1310948975,"Amide-Neg-100971"
"C8-Pos-101941",NA,"C5 H7 Cl N2 O3 S3","22-24",41940.9812734056,"C8-Pos-101941"
"C8-Pos-102111",NA,"C20 H47 N7 O4 S2","22-24",41917.3161593727,"C8-Pos-102111"
"C8-Neg-101715",NA,"C9 H20 Br N4 O4 P3","22-24",41909.858837224,"C8-Neg-101715"
"C18-Pos-101306",NA,"C4 H N O16 P2","22-24",41893.9606879041,"C18-Pos-101306"
"Amide-Neg-100907",NA,"C10 H18 N2 O2 P2 S","22-24",41882.6940059908,"Amide-Neg-100907"
"Amide-Neg-101023",NA,"C7 H10 N4 O2 P2","22-24",41858.2665296716,"Amide-Neg-101023"
"C18-Neg-100627",NA,"C7 H15 O6 P S2","22-24",41851.9904368962,"C18-Neg-100627"
"C18-Pos-101250",NA,"C3 H8 O6 P2","22-24",41821.466897014,"C18-Pos-101250"
"C8-Pos-102278",NA,"C34 H49 N3 O3","22-24",41811.0255782829,"C8-Pos-102278"
"C18-Pos-101277",NA,"C15 H2 O16 P2 S2","22-24",41768.397925079,"C18-Pos-101277"
"Amide-Pos-100797",NA,"C6 H18 N O8 P3","22-24",41762.8238131782,"Amide-Pos-100797"
"C18-Neg-100640",NA,"C6 H14 Cl N6 O7 P3","22-24",41733.1692771493,"C18-Neg-100640"
"C18-Pos-100548",NA,"C12 H22 N2 O2","22-24",41717.0105111517,"C18-Pos-100548"
"C18-Pos-101117",NA,"C89 H136 N9 O18 P3 S2","22-24",41709.2629998454,"C18-Pos-101117"
"C8-Pos-102156",NA,"C4 H7 N4 O18 P","22-24",41686.2705787648,"C8-Pos-102156"
"C8-Pos-102232",NA,"C20 H51 N7 O5 P2 S","22-24",41580.0839733921,"C8-Pos-102232"
"C8-Pos-102174",NA,"C42 H87 N4 O12 P S","22-24",41526.7357544992,"C8-Pos-102174"
"C18-Neg-100673",NA,"C17 H24 N4 O2","22-24",41421.374960272,"C18-Neg-100673"
"C8-Pos-102204",NA,"C80 H122 N9 O18 P","22-24",41394.6743770241,"C8-Pos-102204"
"Amide-Pos-100845",NA,"C5 H N O9 P2","22-24",41348.8289726234,"Amide-Pos-100845"
"Amide-Neg-101017",NA,"C5 H11 N10 O11 P","22-24",41294.5872354477,"Amide-Neg-101017"
"Amide-Pos-100823",NA,"C8 H20 Cl N4 O3 P3 S","22-24",41269.6974706632,"Amide-Pos-100823"
"Amide-Neg-100959",NA,"C8 H15 N O7","22-24",41242.5775303199,"Amide-Neg-100959"
"C8-Pos-101596",NA,"C15 H32 O2 S2","22-24",41240.6742949095,"C8-Pos-101596"
"C8-Pos-102129",NA,"C18 H29 N5 O4","22-24",41211.0521693158,"C8-Pos-102129"
"C18-Pos-101187",NA,"C68 H124 N5 O18 P3 S","22-24",41108.4190971578,"C18-Pos-101187"
"Amide-Pos-100806",NA,"C4 H13 N3 O4 S5","22-24",41099.2634899975,"Amide-Pos-100806"
"C18-Pos-101192",NA,"C38 H76 N5 O15 P3 S","22-24",41063.8525506152,"C18-Pos-101192"
"C8-Pos-102153",NA,"C13 H32 N9 O P","22-24",40910.6936579269,"C8-Pos-102153"
"Amide-Pos-100844",NA,"C4 H3 O5 P3 S","22-24",40751.8326136104,"Amide-Pos-100844"
"Amide-Neg-101005",NA,"C20 H38 O2","22-24",40690.341028826,"Amide-Neg-101005"
"C18-Pos-101229",NA,"C32 H60 N3 O P S","22-24",40648.1767855824,"C18-Pos-101229"
"C8-Neg-101642",NA,"C6 H19 N2 O8 P3","22-24",40645.9325208848,"C8-Neg-101642"
"C8-Neg-101953",NA,"C40 H88 N7 O6 P3","22-24",40586.2627032875,"C8-Neg-101953"
"C8-Neg-101874",NA,"C7 H13 Cl3 N2 O4","22-24",40540.6588283368,"C8-Neg-101874"
"C18-Neg-100667",NA,"C2 H6 Cl N6 O5 P3 S","22-24",40364.5960221062,"C18-Neg-100667"
"C8-Pos-102084",NA,"C11 H23 N O2","22-24",40346.5734760894,"C8-Pos-102084"
"C8-Neg-101812",NA,"C6 H17 Cl N10 O12 P2","22-24",40289.7563986523,"C8-Neg-101812"
"C18-Neg-100702",NA,"C6 H7 Cl N4 O5 P2 S2","22-24",40263.4722751908,"C18-Neg-100702"
"C18-Pos-101261",NA,"C40 H80 N9 O14 P S","22-24",40240.011608536,"C18-Pos-101261"
"C18-Pos-101322",NA,"C33 H70 N9 O8 P S","22-24",40159.4305669692,"C18-Pos-101322"
"C18-Pos-101077",NA,"C58 H119 O10 P3 S","22-24",40145.7564375595,"C18-Pos-101077"
"C18-Neg-100683",NA,"C7 H15 Cl N2 O P2 S2","22-24",40125.2427555595,"C18-Neg-100683"
"C18-Pos-101364",NA,"C7 H21 N8 O2 P3","22-24",40081.8634965052,"C18-Pos-101364"
"C18-Pos-101272",NA,"C4 H8 N9 O6 P","22-24",40074.0233703177,"C18-Pos-101272"
"C8-Neg-101677",NA,"C7 H13 N6 O8 P","22-24",40047.8249113455,"C8-Neg-101677"
"C8-Pos-101974",NA,"C15 H21 Br2 Cl N4 O6 P2 S","22-24",39964.1569326077,"C8-Pos-101974"
"C8-Neg-101805",NA,"C37 H75 N2 O13 P3","22-24",39914.131244611,"C8-Neg-101805"
"Amide-Pos-100200",NA,"C4 H6 S","22-24",39742.7614794966,"Amide-Pos-100200"
"C8-Pos-102171",NA,"C26 H5 N O3 P2 S2","22-24",39733.8259308884,"C8-Pos-102171"
"C8-Pos-102224",NA,"C15 H31 N O2","22-24",39690.252969084,"C8-Pos-102224"
"Amide-Pos-100847",NA,"C6 H10 N2 O6","22-24",39633.9886577128,"Amide-Pos-100847"
"Amide-Pos-100861",NA,"C6 H19 N8 O2 P","22-24",39618.1988457771,"Amide-Pos-100861"
"C8-Neg-101651",NA,"C4 H3 N8 O16 P","22-24",39557.4451398915,"C8-Neg-101651"
"C8-Neg-101566",NA,"C5 H15 Cl N10 O16 S","22-24",39547.8423787663,"C8-Neg-101566"
"C8-Neg-101804",NA,"C7 H22 Cl N4 O15 P3","22-24",39465.3972787727,"C8-Neg-101804"
"C18-Pos-101281",NA,"C7 H18 N2 O2 P2","22-24",39454.6908333504,"C18-Pos-101281"
"C8-Pos-102253",NA,"C23 H37 N5","22-24",39446.9224103267,"C8-Pos-102253"
"C18-Pos-101329",NA,"C7 H18 N7 O6 P","22-24",39412.3991386915,"C18-Pos-101329"
"C8-Pos-101903",NA,"C25 H42 N4 O2","22-24",39373.1243287744,"C8-Pos-101903"
"C8-Pos-101727",NA,"C36 H46 N6 O2 S","22-24",39334.9370660741,"C8-Pos-101727"
"C18-Pos-101237",NA,"C43 H88 N O5 P3","22-24",39218.9099085452,"C18-Pos-101237"
"Amide-Neg-000613","N-Arachidonoyl taurine","C22 H37 N O4 S","22-24",39193.3398707401,"N-Arachidonoyl taurine"
"Amide-Neg-100931",NA,"C9 H17 Cl N5 O2 P","22-24",39164.2341944594,"Amide-Neg-100931"
"C8-Pos-102131",NA,"C33 H67 N10 O7 P3","22-24",39129.2288702467,"C8-Pos-102131"
