gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cell_type,sex
ENSG00000290826,0.30733619454107414,-3.85431970864842,0.96660702812704,0.33960394419800743,0.9998667802865767,-4.60383180889289,Excitatory neuron,combined
OR4F5,0.1340334926088992,-3.8227685681010914,0.42869960331657075,0.6704637153287887,0.9998667802865767,-4.650809538351832,Excitatory neuron,combined
ENSG00000238009,-0.03565110478286577,-0.26026983727681713,-0.24360089268055712,0.8087968629599596,0.9998667802865767,-4.735865155914798,Excitatory neuron,combined
ENSG00000241860,0.011605994838674681,0.5617074508113927,0.08840649400227679,0.9299989501564421,0.9998667802865767,-4.783974269035388,Excitatory neuron,combined
ENSG00000241599,0.32538868812222643,-3.264293331110045,1.1943881806301269,0.23942769408469247,0.9998667802865767,-4.571447827109435,Excitatory neuron,combined
ENSG00000290385,-0.012905662618160365,-0.018861477597221243,-0.1082163260951208,0.9143702749559758,0.9998667802865767,-4.754347393424191,Excitatory neuron,combined
ENSG00000291215,-0.07508743944594123,1.6085882873159065,-0.6340623022755125,0.5296841309950646,0.9998667802865767,-4.76395428526986,Excitatory neuron,combined
ENSG00000229905,0.2878962249945241,-2.2126748697279135,1.127005750738939,0.2665194853916485,0.9998667802865767,-4.580637184927371,Excitatory neuron,combined
LINC01409,-0.056688935804881546,4.2374903705812415,-0.9060630234339908,0.37037987170251885,0.9998667802865767,-4.843418282060137,Excitatory neuron,combined
ENSG00000290784,-0.11351094970446995,2.1909666930698313,-1.4741847389375224,0.14833372724644014,0.9998667802865767,-4.412169630041103,Excitatory neuron,combined
FAM87B,0.010520170930694706,-1.8778802230492102,0.041150621088342984,0.9673824913470771,0.9998667802865767,-4.696870676029029,Excitatory neuron,combined
LINC00115,-0.07841908044959299,2.4903287749799836,-0.9738621719820638,0.3360334771092677,0.9998667802865767,-4.695350208896739,Excitatory neuron,combined
LINC01128,-0.028963303629538664,4.461000189447056,-0.6403485896247115,0.5256322178882206,0.9998667802865767,-4.997376282484595,Excitatory neuron,combined
ENSG00000288531,0.148455287283088,-0.25826670298059906,1.1468233563710415,0.25833323932492414,0.9998667802865767,-4.575525339661948,Excitatory neuron,combined
FAM41C,-0.14845960560375798,-2.099964620945566,-0.6226487581301369,0.5370828059972418,0.9998667802865767,-4.6540398369819425,Excitatory neuron,combined
ENSG00000272438,0.025266554560804032,1.2525455516587434,0.2158014673806543,0.8302496505724806,0.9998667802865767,-4.816642227219734,Excitatory neuron,combined
ENSG00000230699,0.3396485258131602,-0.40721975972461677,1.815285060790258,0.07705468338074646,0.9998667802865767,-4.328466918173602,Excitatory neuron,combined
ENSG00000241180,0.039202285329195855,-3.3948889402557163,0.1260633696318287,0.9003193087543321,0.9998667802865767,-4.664934887887607,Excitatory neuron,combined
LINC02593,0.2439214138073858,-3.457455957411192,0.8529997200029984,0.3987868559926696,0.9998667802865767,-4.617713062876887,Excitatory neuron,combined
SAMD11,0.14138653224634962,-1.7955099843180025,0.7334579518303407,0.467597102455505,0.9998667802865767,-4.648107452552053,Excitatory neuron,combined
NOC2L,-0.030770530216817076,3.6201896938911355,-0.34219381269810517,0.7340136580840697,0.9998667802865767,-5.007848108579263,Excitatory neuron,combined
KLHL17,0.06090660590021689,1.2035263086845682,0.5414358538614588,0.5912389635067749,0.9998667802865767,-4.772118806555558,Excitatory neuron,combined
PLEKHN1,0.5290871664361751,-1.804048623752139,2.33219271463158,0.0248607319254829,0.9998667802865767,-4.2093380861676035,Excitatory neuron,combined
PERM1,0.3081888269550927,-2.6747467174280604,1.196416343567993,0.2386446732283454,0.9998667802865767,-4.568963283168249,Excitatory neuron,combined
ENSG00000272512,0.2321960718811812,-1.066299334313585,1.1119447912553844,0.2728636251701577,0.9998667802865767,-4.583865425939353,Excitatory neuron,combined
HES4,-0.09651101595764561,4.831629399045965,-0.5380516475659856,0.5935512269392117,0.9998667802865767,-5.057899354186175,Excitatory neuron,combined
ISG15,-0.006153712827581684,1.3930140079264055,-0.0537639720914194,0.9573933952823257,0.9998667802865767,-4.841324593289186,Excitatory neuron,combined
ENSG00000224969,0.06479370529098934,-0.9888248315134361,0.402424268082929,0.6895348030861,0.9998667802865767,-4.698202215317935,Excitatory neuron,combined
AGRN,0.009135794250921868,3.226950534139625,0.10522199774066698,0.9167305583911498,0.9998667802865767,-4.999813622042089,Excitatory neuron,combined
ENSG00000291156,-0.14488192226577828,0.7247604301902814,-0.5851513913645922,0.5617639374289793,0.9998667802865767,-4.725984467656036,Excitatory neuron,combined
C1orf159,-0.016435543420304604,4.99926118875954,-0.3026494071277163,0.7637403277994291,0.9998667802865767,-5.164088113014022,Excitatory neuron,combined
