"","Name","Sample02","Sample03","Sample04","Sample06","Sample07","Sample13","Sample15","Sample17","Sample18"
"62","1-Palmitoyl-2-arachidonoyl-sn-glycero-3-phosphoserine","163477.194894442","188709.482514657","168774.431184766","141328.407588903",NA,"68866.0900094052","157965.75564096","362830.871347007","401999.854925589"
"63","1-Palmitoyl-2-azelaoylphosphatidylcholine","313502.243343344","227569.119420092","338973.202467069","554942.03006622","241542.018092972","253241.128882502",NA,"336615.587448483","265901.134997905"
"64","1-Palmitoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine","173207805.74575","159745935.573298","171265038.028402","158070587.941101","183884318.569142","169594426.733715","154045937.407173","173696685.226039","201752674.291082"
"65","1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine","14076513.9135863","22182586.02096","16900206.2471354","20346403.9212668","20280096.7690329","11055367.1606735","16297640.4924207","11420287.3562952","22453535.5702891"
"66","1-Palmitoyl-2-linoleoyl-sn-glycero-3-phosphocholine","597859391.455784","13049026.2218764","535592687.238121","638431545.124611","551617182.160541","611132738.241105","610970133.896752","626199060.815785","570585519.665461"
"67","1-Palmitoyl-2-oleoyl-phosphatidylglycerol","5325935.54896163","5681541.37669869","6404137.41094598","5147872.69549702",NA,"5943095.76467982","8087411.18676801","10681726.7485405","6879585.72883677"
"68","1-Palmitoyl-2-stearoyl-sn-glycero-3-phosphocholine","7082146.06652903","10500027.1871134","3198035.65640524","3809883.61732887","3975105.76292279","14283430.4480651","6533436.71459449","5790132.17887295","11107151.8292669"
"69","1-Palmitoyl-3-oleoyl-sn-glycero-2-phosphoethanolamine","7753666.31151846","7120495.35377104","10747214.1024042","5904403.87941764","7364692.52761731","9041103.70632425","6654153.06508536","6679481.23196798","5027391.27978045"
"70","1-Palmitoyl-sn-glycero-3-phosphocholine","398850418.107604","439336916.517802","432453736.187327","538056971.250058","451090826.590383","162989377.734284","337173269.217265","178560824.492523","537099506.045907"
"71","1-Palmitoylglycerol","1960251070.5833","2008289717.30891","2106086657.55902","1894587659.54455","1963065042.23873","2030060582.44582","2105336271.45634","1976910591.48418","2044990746.83656"
"72","1-Pentadecanoyl-sn-glycero-3-phosphocholine","530108.627710867",NA,"665149.945597693",NA,"691650.760703219",NA,"467006.537595478","161661.775706251",NA
"73","1-Pyridin-3-yl-1,4-diazepane","641420.086575462","825620.208279108","5536015.62435633","2281055.02441685","5553678.65315182","3682003.91217531","6271245.60699199","4423017.05633429","4372337.87282394"
"74","1-Stearoyl-2-arachidonoyl-sn-glycero-3-phospho-(1'-myo-inositol)","11931731.6718336","9490294.16635412","8809920.25826465","9319019.50155705","7794462.09607945","10820124.6125369","8715785.63263984","27366022.4257519","21167751.0514099"
"75","1-Stearoyl-2-arachidonoyl-sn-glycero-3-phospho-(1'-sn-glycerol)","363396.111769395","228815.496765479","420486.565023434","159555.203054446","321469.166135761","369982.584264903","439065.645351698","559664.738774821","470505.557136804"
"76","1-Stearoyl-2-arachidonoyl-sn-glycero-3-phosphoserine","12276684.1558588","6624572.77416372","6861219.79658746","16132319.6439264","5348252.41384464","13688369.564148","6825900.93944489","32714409.7087537","17628094.2341932"
"77","1-Stearoyl-2-arachidonyl-sn-glycero-3-phosphocholine","285007276.262434","303666371.828643","320943647.40518","251874150.236716","288634301.338725","304171683.130353","287708864.119712","302272514.634787","319668139.049592"
"78","1-Stearoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine","102631282.780361","99723138.2079214","93729323.3512148","102979437.833272","99155431.2300861","97293559.5394297","94734078.0846449","115945464.925722","131929544.891278"
"79","1-Stearoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine","16651217.2641416","33043754.0800053","21481684.8218289","22829920.2823794","32206004.5475406","11449002.1784804","25388695.8647915","12296593.3989291","30839642.1099563"
"80","1-Stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine","3300743.65148906","4404391.51924288","2502664.26884905","2263777.31557608","3053035.26358415","5163814.28239093","3093432.99328078","3165918.72689542","3571696.26990083"
"81","1-Stearoylglycerol","832168255.600336","857844211.36344","825124104.218573","634195857.054041","799756879.937523","814427743.755789","806644716.960684","688044431.992188","834073251.116063"
"82","1-[4-hydroxy-3-(3-methylbut-2-enyl)phenyl]ethanone",NA,NA,NA,"141898.411024734","138546.661132365","235002.734629618",NA,"154106.294309861","1013310.49664858"
"83","1-β-D-Arabinofuranosyluracil 5'-monophosphate",NA,NA,NA,"10994907.6365236","2202689.5507536",NA,"3315307.813335",NA,NA
"84","11-Hydroxy-δ(9)-THC","187040.455403261","180338.758953226","122208.685895249","137180.943853213","423236.412162854","202835.061905966","378079.636657389","1864886.87392877","344739.092877435"
"85","13-Oxooctadecanoic acid","1316316.0108405","1943116.89934314","1580236.18518474","1336981.74357755","1527498.39889033","1196714.95014889","1736382.32871523","1606288.95984378","1221272.91155746"
"86","15-Deoxy-Δ12,14-prostaglandin A1","204828.117087326","328511.917229559","266291.776475846","186517.270452336","219790.620238421","348394.404518811",NA,"162920.534241307","313706.914782596"
"87","16-Deoxyvertaline B",NA,"748740.440966488","880509.354202822","132886.082143618","707518.558893284","80743.9240376949",NA,"1357902.73403951","170787.264374809"
"88","16-Hydroxyhexadecanoic acid",NA,"950760.810304617","303724.174812176",NA,"258379.247311139","310984.791513499","330263.846989035","422604.211068162","522089.32170721"
"89","17-(1-Hydroxyethyl)-10,13-dimethyl-2,3,6,7,8,9,10,11,12,13,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-3-one","688843.693833125","1008866.6969482","508981.768201189","1529690.57520461",NA,"660338.5445509","398882.564913128","8376817.24507137","927822.069694965"
"90","18-HETE","239399.600256144","397149.239749528","285882.319775952","468476.844170919","607745.707833202","594252.165825549","402414.018980616","511624.609184017","300093.310382074"
"91","1H-Imidazole-4-carboxylic acid","648048.378730682","2866044.18727808","1799567.00913915","1418421.06290666","3584367.33908439","754494.617031979","3431280.99867986","1159112.65460018","10286161.5784244"
"92","2'-Deoxyadenosine","4172380.45177872","9776667.09690827","4935438.27911733","8734515.61717511","9565462.13807305","2762483.92210357","3968292.3102764","7645917.74976222","8452342.1056814"
"93","2'-Deoxyguanosine 5'-monophosphate (dGMP)","7175669.99761711","7794791.94961128","6186890.54889956","9586351.99345943","8701520.28770426","9316228.43230855","13226491.6842006","15229731.6600176","9680789.89156752"
"94","2,2'-(Tetradecylimino)diethanol","1967446.30393638","1936592.3140437","2055134.23366508","2001309.42317401","1890682.97870674","2056890.89402324","2210355.44141079","1944174.29473203","2092520.8396919"
"95","2,2,6,6-Tetramethyl-1-piperidinol (TEMPO)","28945388.089775","28483212.5104468","30199298.0543009","28900331.694715","28632394.7603658","31592488.9705524","32516635.2096122","29258011.7517216","30473034.5784344"
"96","2,4-Bis(1,1-dimethylethyl)phenol phosphate","39031339.7058617","53318026.3074334","40101677.8879288","40682642.351118","48958141.3512305","41855939.6663692","46598355.8087001","39943707.6810619","62098024.6812082"
"97","2,4-Di-tert-butylphenyl 3,5-di-tert-butyl-4-hydroxybenzoate","6834612.11374938","6683597.98091499",NA,"5616899.00191106","3172843.53612567",NA,NA,NA,"6272513.13747468"
"98","2,5-Bis(5-tert-butyl-benzoxazol-2-yl)thiophene","2357694.1860847","6200362.71640608","8719088.49621553","9312160.45916927","8326613.89053776","11884769.0977455","8891682.75208597","5539327.42812773","6287262.14604557"
"99","2,5-di-tert-Butylhydroquinone","331044.328510225","241124.530643421","250608.483410883","231145.392088675","311206.213784955","255669.941300849","257467.651963032","233065.203381962","271023.370743229"
"100","2,6-Di-tert-butyl-4-nitrophenol","689720.441153757","958477.86005899","785622.246557022","508687.643293959","1111530.05019999","609876.96126286","566122.584381847","613562.707595472","507477.978161483"
