Name,Sample02,Sample03,Sample04,Sample06,Sample07,Sample13,Sample15,Sample17,Sample18,Sample21,Sample23,Sample24,Sample26,Sample31,Sample33,Sample37,Sample40,Sample41,Sample42,Sample43,Sample46,Sample47,Sample49,Sample50
Label,F,F,M,F,M,F,M,M,F,F,M,F,M,F,F,M,F,M,F,F,M,M,M,M
"5,5-Dimethylhydantoin",1243634.16513843,2192629.81249809,1077949.99862627,1532881.36363795,1423578.94090041,1879886.93957377,1935448.57227305,1923772.2335476,2250846.70812776,1884587.28775228,1148964.00071933,1360380.73239747,1245438.66478685,3057468.89391084,1359910.70724881,1093483.51886229,2154303.93570002,2099084.67908994,3506011.75644315,2661068.25909143,2464361.85829569,1415630.08272534,2381456.95640812,1981126.56078443
5-(6-Methyl-7-oxooctyl)furan-2(5H)-one,872990.24897802,891681.988064274,736448.799449452,641885.67686031,693154.259228031,818549.202653906,994026.924029952,650379.148458515,776658.696284363,553119.997123884,744899.386913674,738044.638664595,565417.189325856,775070.582457991,473432.51735447,482761.364182306,585647.164040932,869665.816656592,536487.818084411,598682.391126132,860960.408849654,477076.943633895,792356.895899863,826429.060364471
5-(Hydroxymethyl)-3-(1-hydroxy-4-methylhexyl)oxolan-2-one,52940.5736231978,45085.9222617046,85679.6295345471,52124.077797468,54799.4300522542,62787.735308393,52610.7406013994,64746.4312445503,106777.681519584,35870.9770093301,51736.1900347134,69779.6802996218,29170.1298363187,59614.3292765785,51459.6844430259,55252.8039387907,1218506.45068311,246856.625357735,75626.4939270853,47965.0671217108,46363.8998231121,46294.7321783689,47244.9221193945,37109.8942802334
5-(Hydroxymethyl)-3-(1-hydroxy-8-methylnonyl)oxolan-2-one,NA,256175.091177875,188397.557696829,169223.921478979,NA,132251.316799333,NA,NA,NA,161458.082248509,NA,NA,NA,171017.110767593,NA,NA,220945.961593962,136337.438224546,177691.187525056,280631.873510608,NA,150314.399962762,161011.391548028,NA
5-Aminovaleric acid,5265522.23530103,9869826.06679038,4298140.86373484,7420509.85573426,11434163.6197223,9513090.58534044,10743614.0396948,9427238.31704339,13957913.1844765,8917487.99520342,4277425.4448477,7255536.31309359,7928457.96421522,14402721.4190169,8832878.11488148,5524470.70425566,10616240.2649697,12067421.6260682,15286592.6942215,15145427.1394444,10241932.4838407,7131363.06760965,9990752.54285338,9139919.72746346
5-Methyl D-glutamate,649342.576230305,2071212.45337212,848341.031648192,2282244.64878862,1796835.07547482,3691415.84179105,3230088.94406095,1905977.79590319,4140988.77701998,2322816.86486502,2798766.4280187,992466.442075275,1797724.66477592,3903931.40791402,7672643.93407891,3172881.18210479,NA,16933187.2687654,6161314.46423685,3481358.73979796,9619658.4459832,3405245.43956057,11315791.3554164,6409566.55317244
5-Methyl-1H-pyrazole-3-carbaldehyde,43231713.282725,NA,58585326.4673466,NA,48829458.5415699,50168813.8004591,72540859.4134043,50359167.0495972,NA,NA,NA,35671747.5531858,45194721.3450038,38713280.5903635,86723031.9678009,NA,51348300.1254318,57851546.510954,37481800.4909331,NA,47715906.0260092,49694970.3937078,49825755.312963,NA
5-Methylcytidine,565189.132922953,1048396.63230645,688194.175039561,1351825.34476076,811756.567424608,500129.876662668,727058.347082725,795754.914271734,1309088.01116153,1229199.57951214,1014624.23215185,337824.238525354,699590.146130921,609530.051636355,932359.440341752,834882.137872375,1001822.20788148,898204.768551161,743579.1610697,1408241.9015984,976397.988002893,504517.750611797,1028764.07726388,1029883.46963069
5-Methylcytosine,NA,7293633.51346179,4103322.01487525,NA,3313697.89356932,NA,NA,10352907.8442495,3485417.27587382,13335773.6569739,NA,7775325.70256391,3338857.90015041,9497410.53084272,3855428.64039543,1917820.19785242,2783528.41842739,3856655.25183329,2505581.62418554,6099868.20513747,NA,NA,2756351.84300792,NA
5-Nitroindoline,533963.963415193,300811.240233736,645018.270820511,356916.148825195,271043.963319097,NA,NA,398700.896347051,NA,682743.067645432,NA,NA,444194.920841429,551873.164277221,544574.606665056,218893.093210024,502872.757426576,629896.052265921,337505.753800948,NA,501117.30181349,501056.206287431,350843.625708841,507329.13361859
5-Oxotetrahydro-2-furancarboxylic acid,562133.230171059,197848.755972722,567288.455369021,128993.381385966,223465.758037122,719938.014636383,1081327.43696395,139349.374589599,NA,172819.762088472,390627.615913292,NA,NA,NA,509988.537621635,457333.179300693,217147.797515699,252347.788575179,235518.338831595,263219.796987151,199701.95274587,229842.928019949,256606.726833943,589088.780906585
"5-[(1S,2R,4aR)-5-(Hydroxymethyl)-1,2,4a-trimethyl-1,2,3,4,4a,7,8,8a-octahydro-1-naphthalenyl]-3-methylpentanoic acid",741440.806403846,820794.229234542,1347092.90710316,2892867.50380044,NA,486006.786822099,NA,633090.681984495,1440801.35312405,394329.31088133,503106.067737572,NA,668828.142492793,494505.689894157,691570.368009073,148763.659399857,NA,NA,NA,314472.363116959,NA,NA,NA,625334.152653717
6-Gingerol,2448833.287487,1181416.76977253,1356098.91862638,839837.741753355,1219623.7917712,1177298.34026195,1543152.91244569,1332131.14284801,1171201.11913134,1018337.65684655,1808743.46704285,1576244.81961476,1276464.71770769,1058787.34553785,1110755.51548074,1249667.22600246,1212385.02766315,1281966.92932138,877387.493423602,947262.050051504,695679.500931354,1181341.87708138,864804.992262257,2015205.78724418
"6-Methyl[1,2,4]triazolo[4,3-b]pyridazin-8-ol",NA,513547.449138163,118400.168523501,1657454.71814974,452059.613356161,279286.642988118,188540.394809955,231159.268534567,745300.618696821,1117867.11802912,766414.604050327,122015.290333213,299179.409761378,337968.483928128,193065.768826999,592787.386874125,348661.498553754,410641.913374803,NA,669389.540792559,235326.16747742,335454.908092331,599075.850671121,255848.864545448
6-Oxohexanoic acid,2079779.73007853,1959078.09605123,NA,NA,NA,NA,NA,NA,3236118.86614107,1857759.69400886,1579356.62840363,3034299.00645495,1863198.39724583,3652133.96060617,3596647.10650194,1361089.7959421,2788277.19191907,3628730.49480497,3438281.23025712,NA,3703234.11417806,2111425.35117558,2252584.58320692,3656305.08101249
6-[1-Hydroxy-1-(3-methyl-5-oxooxolan-2-yl)ethyl]-4-methoxy-3-methylpyran-2-one,744900.649687916,1220795.06343549,1226137.64615304,2153736.44748697,1412658.28344289,1998131.10831724,1364439.53814252,1188453.50993247,1498458.18935573,1524179.92050672,1970186.04941216,1241039.00052644,774593.414452891,1113434.62583234,449264.354934477,557550.829887999,656487.69934365,675148.03278759,448927.726144027,687938.615683823,931578.862728652,729845.948957458,618679.996238228,864941.949950193
"6H-2-Benzopyran-3-carboxylic acid, 7-ethyl-7,8-dihydro-8-hydroxy-4,7-dimethyl-6-oxo-",24569.9503396012,116022.243692216,127546.00528527,148439.355822866,141373.133533675,198568.555762546,141105.756240902,81059.0142707328,100512.238677367,117425.822402505,NA,115921.860913051,62022.6622880568,83657.2173497466,20863.1778733072,38762.622410438,41298.4201770467,32856.8068544107,NA,43265.7450177237,74712.9308782021,45682.6542570504,NA,82349.1783276908
"7,9-Di-tert-butyl-1-oxaspiro[4.5]deca-6,9-diene-2,8-dione",2129999.0940138,NA,NA,2189318.22316551,1607510.34347267,1752694.15294142,NA,NA,2054258.11591126,2022563.73046522,NA,NA,NA,2583498.19862654,2797245.31903781,2958956.5594279,NA,NA,1971293.95229632,NA,NA,1998394.42581914,NA,1824795.30784577
"7,9-Dihydroxy-3,6-dimethyl-10-methylenedecahydrocyclodeca[b]furan-2(3H)-one",598133.628116849,NA,173110.173149487,NA,NA,928973.591760685,NA,275730.574783077,278711.465826059,578519.610674677,163506.473507238,112789.268215479,NA,654863.015205197,NA,257979.502599662,NA,197255.629149389,167218.915169082,457117.627049196,NA,156340.323689136,285684.731481593,273471.908419666
7-Aminonimetazepam,160896.966740899,65600.0163402291,214118.358621474,NA,201981.738659867,34328.4701601134,71367.0107909556,174564.123919819,114011.7556798,23798.6767876873,33431.254168061,18097.0195910916,102827.198531215,NA,NA,181008.56332796,177206.29229455,600513.034393346,46420.0025321064,6580.75212640261,NA,17304.6403334554,73833.8179004016,202970.704075373
7-Methylguanine,6192783.80250582,8493812.75139073,2998145.79442479,11601244.247548,4482139.87985574,3038260.19100569,4001302.63918804,4682963.11091127,10939578.5632824,7471920.13647368,10639557.1170102,2955875.32369057,3884734.12319404,4235989.11451404,3328786.09508583,5654973.6702113,6431446.46569398,4416011.85610768,3603301.65091296,10839637.303611,5080752.18843819,3535648.27852229,6236345.90049522,3660777.61661134
7-Methylguanosine,2504989.80164549,3784458.04871923,1826750.70782472,3519563.50582665,2900400.84475679,2094053.08145107,2056941.12583945,2813596.58678021,3796842.41072531,2687253.58133288,3769678.82418024,1848653.82031243,1969810.97104093,2574523.9942602,2445682.34614075,2639756.59434599,3747381.06681666,2710832.39643677,3436515.09635438,4656324.8600719,3220884.63515304,2001520.07283143,3881742.34901645,2105227.30594378
7-Oxocholesterol,16979173.7552173,16423898.2692305,11358551.2454802,18443297.8145953,13904212.3878823,12456789.3412885,14095913.5203434,15802525.1886612,13669020.631309,15751206.7486398,30097229.9042738,4641538.47742008,12260913.3877659,11298697.3135526,13072300.4768133,14076599.5965134,13382197.4662045,12500934.6674996,4614453.25099168,16000226.9955944,13309434.7804267,10101900.9087702,15096847.8329106,12242963.3737519
"7a-Acetyl-3,4,4a,7a-tetrahydro-4a-hydroxy-2,6,7-trimethyl-2-(4,8,12-trimethyltridecyl)cyclopenta[b]pyran-5(2H)-one",309606.269531315,1023346.6618783,392809.708092946,367800.091189375,397455.474824893,401692.69157156,366988.368668536,335440.512051247,355791.840383426,348487.218214436,288749.388985282,358584.618510887,302500.368711195,385327.971708461,336598.924962538,290400.528081596,673951.187777075,349722.98245124,291054.652925012,329657.733697115,311291.860446806,286475.727332486,250490.145707718,268396.560571248
7α-Hydroxytestosterone,390778.111652008,417511.310662862,456668.724573624,406825.348087261,419401.053519416,426528.729973323,449045.536344239,401735.750237525,475105.967269304,339181.346392819,408424.015780737,465765.710196526,402282.822118302,389747.945274482,385799.40612391,390631.926391007,606282.93478777,490733.002822809,523931.633582878,376608.609678974,456778.015401152,404559.513429047,495538.67200836,410782.988460802
"8(S)-Hydroxy-(5Z,9E,11Z,14Z)-eicosatetraenoic acid",82575.196141669,NA,NA,452329.825312817,456743.938869401,421491.868798402,313503.421888238,365000.24402757,156469.978517212,NA,441581.689470716,193407.851194337,346173.918845645,296779.038837974,208505.269404133,NA,288413.869088044,NA,294724.695638931,306662.19147758,471205.461949749,73611.1975985177,245899.393740611,59890.393561989
"8-Hydroxy-16-methyloxacyclohexadeca-3,11,13-trien-2-one",1162084.11835901,883341.445141737,859394.154647098,833583.286680372,892419.925237778,857540.37848396,870878.711787435,788114.016182936,772875.854347991,772126.599416602,906947.951256088,833533.324367625,779502.351113171,827784.821468479,922073.53510052,816328.289651204,801854.190174591,772809.109837893,682505.947712437,1251995.46921096,719146.93627315,722619.896952079,764814.390192372,818274.00372082
"8Z,11Z,14Z-Eicosatrienoic acid",18797940.2690366,18141681.2508852,14487221.5324741,40367828.2712508,27399336.1216007,20214738.6411231,21460096.6429331,24560789.3513624,43741348.1213571,18573102.1606533,46425288.3336829,18508743.6449393,28385635.0398072,24654094.0053579,17676156.4069313,34424868.2725772,43328443.6079371,13548662.1231804,32332677.9897937,30273278.849623,28756213.184378,20654036.9199249,27951925.4456421,21955953.3414131
ADENINE,16877164.6293555,20260116.5397044,NA,12869575.9124979,12958719.1386912,16302012.1559451,14611146.2171742,25844443.0644092,11245518.8147846,23924541.2192003,NA,18346563.2304431,NA,29525327.389179,22048497.2737184,15379204.4845362,16816850.4368733,27132573.7521316,17766639.8666185,22484763.6685149,17749670.7219795,NA,25484253.46056,17014356.2458564
Acaranoic acid,578248.529164177,660030.513815551,572332.727078742,611751.481576056,602763.210046742,NA,542606.157502316,497846.231812478,626388.062118899,631457.704270914,407049.069781285,553430.244585837,571043.055066726,449573.841735032,557177.098574668,506958.671037456,515382.191377991,567587.003694639,499180.449440013,548515.951050161,671582.665628492,606692.646287898,627376.587296148,547298.194484574
Acetoacetic acid,1593466.32972246,1450258.68955768,1561839.47291144,2211513.28461788,1732311.87119796,1270188.88502283,1299730.75162409,2495869.83791065,1884872.50578732,1959164.70535955,1523796.96754269,2718154.73462867,2375754.94803494,2148632.0151231,2799014.47570289,1934404.17372549,1786291.03491773,2348197.38704726,2111673.821194,421512.343623856,503101.162329872,2570957.84924876,3115242.09705609,1849849.67949564
Acetohydroxamic acid,NA,NA,543679.035060545,813891.022020227,243411.632542899,767952.694005407,298857.642140355,824311.20273073,1607155.3867825,979122.422001179,495334.838477037,201683.174345335,645583.953367497,2192360.25356142,495151.305608038,927475.274926411,729277.465351749,668072.323293864,2275503.69886415,1384684.51901673,NA,214225.738154528,874732.298559921,901471.078341175
Acetyl-L-carnitine,35840811.1769883,70806887.8161072,63680153.4114397,61252443.1419719,28914888.3245039,59194098.1249391,69350258.9655734,19412247.2724691,52324642.9692577,32499321.4090615,26518263.3535903,9805219.88084429,20813628.9536089,22963375.9607192,49459731.351365,28237377.4851231,34484133.5351013,52726017.2519132,65885987.3743036,43548042.0060819,38738023.8668153,59306575.7940127,65912679.1274651,53793479.7468989
Acetyl-β-methylcholine,9416790.51112232,15494170.553938,9925238.60596668,7548047.73242056,5341367.98669236,6383022.94242168,4602589.5044429,8558228.89705536,8213114.90550728,3818324.47826818,9318293.05427604,3834060.98932472,4407499.83919613,4407212.78950343,7370047.3351255,6158122.67253958,8200727.04296418,7509681.44129633,10298768.6551399,6080329.25912389,5909602.50903586,13058749.5015172,5163148.66098737,6070909.97224549
Acetylcholine,17800071.4857552,41599818.5482708,22010047.5545259,5769528.31409202,11981955.0701084,7574118.65543717,21862479.4773151,146249753.113337,19285553.1154084,31777606.7508781,60938377.8158383,215830816.279459,25479397.2213501,58095325.0035999,27734442.7791919,24723017.0338049,36189059.1727643,28852121.3293525,21699803.9257067,45716157.4727687,12238287.8172537,12622633.1898025,16502894.8154912,26578915.0204964
Acrylic acid,NA,NA,NA,4023133.61880302,NA,12025500.1497535,NA,5908545.18342052,4271779.15602726,3565643.3670727,1302895.42006754,6529893.0861319,8547826.65650327,8428684.5855348,10840761.8650369,7019762.9254125,NA,NA,11615381.1747727,NA,NA,9405541.99336817,11115189.9958086,NA
Adenine,229973098.365757,355081856.810038,278882241.194256,493912190.495004,363640729.503451,191191542.045649,268309395.410211,287186125.617292,461992980.271661,431183085.581079,411678710.056753,234326698.008386,332297257.134152,287262881.367369,299585793.952224,354535507.009736,308255726.895974,396986025.528462,571471024.282439,408675609.103664,339826558.003729,339538234.254707,325381609.144152,619609972.151555
Adenosine,NA,228944048.043144,147136634.123085,NA,218821341.151762,88155354.2310415,134074967.845139,119987183.272234,NA,NA,127839019.21316,127644584.693071,269733437.468083,118925127.309411,NA,253817907.353901,131597756.948347,218251990.155651,NA,NA,NA,108494473.296625,137852013.055284,NA
Adenosine 5'-monophosphate,49889919.5521911,43517479.6661814,45506684.2566406,77549751.6219852,40126586.6793002,48645983.4430637,55098052.5661591,92613934.2698935,52867196.0720045,66841846.2107599,73122107.70844,45330986.0374514,45849578.7782827,44332565.9070059,43976424.5004283,28485451.8690233,36479664.5654298,40235103.7970738,87086279.1837548,72396052.4537648,46303970.0787527,37985927.7548154,53861711.0870101,44276161.4461027
Adenosine diphosphate (ADP),27783109.6145742,33423209.3225729,18618082.0528373,16926897.7719672,9687287.06852561,21648846.2052633,17541764.0368011,33139281.8615124,12547367.4899157,25979002.4776478,24598190.7191017,22670226.6283377,11667698.4918454,37200252.849662,30793907.630173,15399001.314665,22181694.2718387,33773275.6980795,26724623.1254161,28735496.2923156,24310480.783356,24585724.7450107,35009608.2481553,25036378.2982436
Adenosine triphosphate (ATP),16807315.9920758,9970009.55342665,NA,7144102.07591052,4407087.10921574,19850828.6107012,NA,8434471.439232,3114309.54200374,6710301.16909037,6361411.87022789,14114284.8075279,3323617.65812184,11936658.7066662,2190365.71883363,6932955.35513073,10612181.7738871,17056926.7727106,9381939.86428374,7731012.45981149,13675144.3392508,11423139.6847756,19908493.3182992,8041620.29982293
Adenylosuccinic acid,390652.220990157,265064.356998993,204303.535678641,1028018.93597284,291245.97407222,300289.182531259,300666.041619722,767869.830382569,809959.33765622,682458.791311782,1358487.15478296,278713.672891644,323627.046773288,583948.046732604,388384.451459006,231660.492067565,461219.943238472,289819.379312374,1029877.34292944,858378.270952001,452895.289849027,277249.378159019,380017.46782961,458597.578575553
Adrenic acid,18653746.2623937,31016845.6490727,27828644.1778087,39916502.0850926,65106033.5287239,27051525.4009514,33905004.7586633,38600693.1749895,70950046.7515978,19755297.6359156,33817707.9403649,23270609.6184791,45661845.9089975,18426098.535658,18416321.2352486,25546818.1036641,19900105.5170352,8921112.42112457,30820451.0806835,32319858.9210541,27289483.2561753,14625005.6004097,27663629.596965,12768460.8411798
Amorfrutin A,82330.7608989609,173354.88232886,NA,236653.326270749,226884.555977876,286488.324632792,206641.545008857,158455.025872174,161140.925408434,184849.083284012,215122.139585715,184565.920228753,115964.000323881,138306.442673869,65443.0600408503,72162.0963526904,NA,97431.5648316993,62690.9757484681,87732.9341115871,128905.229109522,91201.9985847189,84853.5709353384,161222.442687872
Anacardic acid,110914.931927533,123790.150473551,58398.1892190686,73983.206569155,84799.874383679,63922.0956184342,96352.6070067735,117965.173387405,102789.779600645,43011.2268674096,121119.995784845,83241.4782703319,100262.762248528,33342.8820976655,32746.8929574923,93317.9610056781,72241.9925583006,38697.9758722484,86449.2761227987,93426.9671687975,111020.016960172,65721.4312058932,85199.5878007465,50477.716316729
Arachidic acid,1570807.20721885,5226053.3519199,1596071.23933127,1455593.96159805,1642263.24380868,1392709.34956231,1591369.28554619,1733619.51021793,1559015.53448559,1526095.39670927,1685175.59712392,2097048.0129641,1472071.87957137,1561355.90417687,1366198.44081328,1477621.54351066,1457548.3650434,1235975.33522986,1426321.95305859,1775770.16892498,1606859.6250058,1540333.2881333,1493223.64894447,1415918.54904454
Arachidonic acid,250703974.839147,346195580.2703,270675804.388612,405197433.842424,474104444.123421,264907064.706384,212611027.705638,311099144.455674,631727010.32025,204288378.438772,419831352.381419,250519900.060724,466076585.685326,169045582.25391,154263417.110818,348640762.770424,242927368.194286,119667105.99467,408951332.821639,336956521.805539,339869244.226211,197251400.795844,324649708.141366,233615712.95681
Arachidonoyl-carnitine; LC-tDDA; CE10,5609068.72488871,17405690.2077151,9058281.52038857,9422750.04304038,8005984.80579811,24988851.5121464,9802004.71914528,20025666.0340985,3681056.85828665,11250869.2178618,12167946.6606515,7640092.02661367,9594408.0753936,16388932.2968258,3344933.13483131,NA,7200051.41753173,10217576.8601346,NA,9898438.08406764,19062742.7599814,8318019.01864264,18592510.964262,8815210.65566608
Ascorbic acid,71320392.2454497,109008168.5111,NA,80791555.5977185,108365181.733377,96823859.703959,NA,52706526.2663164,NA,77759597.9656761,39132367.4002884,NA,56300275.7818736,72069971.51109,NA,NA,NA,100521906.582762,124397373.405985,NA,120846076.169621,85238466.8641943,NA,NA
Asp-Asp,32191.2924879119,55608.8704017381,25632.7887314024,36275.7783339088,56841.9688639807,46890.4868081758,58105.3493345902,65751.6218993143,52973.2086951415,62694.6242694859,22014.3398157382,35160.2114330331,29762.7494047831,86214.7364868034,37196.6707388189,29122.0165909335,56182.1280774446,61877.4167282746,72399.9959673865,58626.8316193053,54439.9760033315,42020.692894015,63890.6477965053,47649.4677815289
Asparagine,2820982.81323977,3801433.75045378,2615329.71113931,2781075.34710085,1344390.81711696,2785439.90490088,3193949.30853469,2228476.21776023,3471234.77379335,2441051.74541215,2504289.00072971,2525450.55131966,1823798.53062189,3306622.82371604,2714571.84873708,1592635.90562693,1596706.14148221,6539358.0759535,928597.086683758,4365904.55654643,2716458.3738227,1337918.43248393,2118563.34526002,3144948.28741682
Avocadenol D,875955.286487211,904669.839801513,1021163.34967426,982972.591717215,970367.178057052,887467.002328812,981245.347032291,893593.62187906,1117528.97063072,931551.436657084,997700.105967178,1143640.518652,928877.343092788,1047809.88604852,882805.847477416,879006.785871079,980208.322904854,859807.733144852,715925.9224622,1068176.32678331,900309.053807079,800787.330348255,860707.04095814,935547.141127781
Azelaic acid,619943.738901723,397053.867384357,667359.455964054,498373.562385835,455249.611551789,553455.748554554,522787.404378586,591198.521658707,388293.401586516,396332.944527718,510805.804732487,522503.507264545,746324.942594934,469373.502706398,635602.458784869,368401.27243925,1366716.79575219,486704.497800313,417518.611201843,387296.149881552,395768.275025277,370909.951994784,431989.075915649,458788.021404778
Azithromycin,1797238.16882099,1823503.65326602,2361799.09475052,43817.0904731353,4213199.82456148,2909704.13241445,2858195.42332249,1619744.84835515,712156.991110108,42456.9156681484,89744.4986458067,5664600.85125782,533729.080618289,336390.94713119,NA,3463930.97336098,2003409.91797813,4600441.61132447,625840.574842085,689501.703096327,1824853.6944125,275989.843524091,1403959.87071659,1350683.70365775
BMP 22:5_22:6,143922.061664694,67181.7449775273,NA,289049.048574788,NA,70821.8968854292,NA,98399.6982919228,71959.123846284,225860.501290396,318917.737923256,101709.440092156,NA,119135.63194484,68249.3506972126,102591.874063014,72758.3198963296,271044.767764661,16943.7046901572,119164.444845406,184482.971528251,246971.745394736,69281.1797597612,48219.7327515118
Basic Red 9,127108.117141608,14337.7923197507,216509.055262682,NA,150452.506694796,NA,62674.161550839,167091.711757271,109733.434983152,NA,28918.0275301152,26858.2856772763,92260.8494863756,NA,NA,310358.767219606,258365.339419448,581885.652643281,14500.1551785921,NA,NA,NA,25923.9978042685,110352.161469915
Benzoic acid,59393.8779205615,154444.189241994,46535.3658186014,36825.0757412827,96500.0742784821,NA,53703.6655626562,NA,266969.554188622,67612.9474553803,166652.156327901,NA,NA,59753.6117976491,110121.469748913,NA,110386.763794478,71168.4049246324,NA,NA,NA,71098.0176833428,65295.1503918884,NA
Betaine,141610798.436,218470022.211107,180422909.253483,117964605.686959,139972061.207961,NA,179459567.121624,270214096.013224,204385376.321722,262295649.81231,194896743.380586,230284961.004351,216806297.245743,278787430.332318,129099197.024559,178736468.735253,154259009.324939,169457752.979118,203301850.398904,171076891.274741,125097979.843627,126966567.246854,150215928.427971,157633283.591371
Betulin,859177.360384377,1051052.79761291,628543.340618336,1140376.77626574,834012.162227157,769757.526449804,746098.226829542,827663.313017934,735650.595269824,944704.747221714,968737.285060143,729170.477522917,788289.895878384,729639.009396789,835484.424545099,698791.282372554,1042610.00102347,898425.304195776,417986.152912272,803920.175424863,785850.12543318,850721.005002797,1062656.04750905,1048114.26997205
Bilirubin,176233.491673836,293945.397065701,226618.15940095,472883.162530384,491321.504823597,NA,293506.335680105,118127.201919764,146650.161289668,200836.179469097,NA,NA,169040.380982821,91316.6277534499,72527.5756292591,167700.427615854,181732.556893815,120797.103918462,90523.9888978233,210747.456881501,127464.969234014,59868.3902585514,141478.510353412,161961.141714735
Biotin,50713.3258456512,NA,4836937.17790255,31412.6076941423,30663.3452346506,23610.7495264566,NA,45217.9850192347,16701.6715740689,59741.5028572069,50437.4458454478,25937.3355982866,58376.4403367164,22830.6643548538,46524.4582000527,42001.158981633,26329.4629333879,NA,64977.98746293,106405.094141842,86187.3061773921,NA,1191221.80109594,59507.198124014
"Bis(2,2,6,6-tetramethyl-4-piperidyl)sebacate",1580960.86315889,1531030.11678266,1728589.97131842,1538972.71931373,1415698.06296346,1898447.67098982,1885389.53729565,1258388.21273533,1182872.49920525,1217950.2454062,768469.697111559,924746.03286986,1597565.2897436,669572.016597204,1933609.90831146,1465036.37536626,1472570.4567814,1595705.27162813,1090674.77565301,1284853.04286337,1353720.51536174,1675980.92423848,1945834.50674263,2180159.28806684
Bis(2-ethylhexyl) sebacate,3199632.9031845,5718073.4516481,3105475.60671172,3472634.11153406,6043538.97230565,201466466.660416,NA,NA,NA,5458965.66891465,15175137.6339777,36579433.8952119,9204067.6310488,2730085.39826624,5288567.43194509,2578174.81387559,5559318.32874833,3178075.93160067,3256687.98846291,4273490.26577947,3769931.69100173,2720075.75972478,NA,3355902.68397253
Bis(2-ethylhexyl)adipate,10481620.7175874,49044999.32695,56464438.4391386,17922749.1791124,56415391.2610217,37640854.6374338,17221876.8644729,30070471.4336142,28770362.1020403,13651660.1334588,27354417.8791742,71596257.2259943,83171532.5317684,23908281.1636871,53196025.5720376,47191239.1258533,146133703.657708,14960014.4116623,33555129.41232,17917602.0144087,8885477.12217336,13205594.5105369,8225776.32073633,27094182.6690983
Bis(4-ethylbenzylidene)sorbitol,837958.894949163,813969.492793177,836213.970579504,745775.83063364,858666.710302239,948517.778944538,664727.978957472,760154.337870908,762116.692695163,693211.026767927,734731.110385612,846338.488362129,736374.196279587,733143.183603191,755661.271782632,723259.870427315,587613.583828375,787836.726676186,697400.365732804,734396.291403207,784723.302280735,716900.016513068,NA,752619.809087569
Bis(7-methyloctyl) adipate,1242486.84120957,1147245.87911144,2120940.79400967,1582062.81879131,1615169.70667716,1382699.90054395,2078020.5184522,1528687.38302173,1106046.46569464,1224204.57562601,1326860.68389158,1254892.80620531,1498794.73429674,1359317.34517123,1455301.84641846,1000340.42573067,1401702.40253399,1016205.37717555,1421676.15864116,1147278.28997032,1173213.60015574,1297280.8044502,1146050.08289163,1335513.40278494
Bis(methylbenzylidene)sorbitol,76279609.0699614,91636128.8698285,91823219.8809768,103217189.187543,96028015.3869189,107998778.178664,93370838.5896603,81885248.6823166,88205673.0668998,93252719.5351745,95398781.6633981,94589473.2870469,76715299.9846367,83652380.6791055,75080387.6766875,73725917.4582583,76375497.9641922,75550072.5638548,49058888.4453495,75959557.5819847,85116863.2385066,76792263.001467,73962492.0083733,83569781.2321051
"Bis(p,p'-tert-octylphenyl)amine",355135.266339718,314209.152677996,302789.110322548,298547.158016588,302420.752740975,286253.620121915,327600.681355324,290503.257206725,326171.187215614,309236.706801673,291903.308897054,313827.616614671,320253.860743147,276787.956776487,331697.662242808,317664.32441664,379689.373331727,299968.364100236,212705.212419289,340216.566868905,422499.223612269,531983.207924309,552633.914117518,409993.951449299
Butylamine,6595590.18756909,7449628.57726575,26234347.842485,7652477.23015836,7131639.35766112,13730971.7508961,19148147.69459,12808769.2243016,13993753.7931078,5527839.77412325,6144459.40358893,14391866.0985253,6442634.5655475,10809579.781612,23681133.6230666,5985196.55073059,12747765.0843196,11815608.1019392,8580806.85461781,8865340.42116526,7669200.04856447,8283381.49255427,9155852.49747906,18930178.2608696
CHOLINE,10477028619.5239,18020179736.0928,14547788427.2757,14547484225.9017,14419161449.5576,NA,12813758702.4383,NA,18829035164.5952,NA,NA,NA,NA,NA,16148547472.9126,20229355386.5922,16808420651.5349,21539290478.3404,3113033921.01495,NA,11415979650.5241,13799199640.3005,17443057384.2433,16135856343.0195
CITRAMALATE,6770665.73533013,NA,5753413.24546305,8280714.45701245,13172690.2065913,NA,14413559.5512637,NA,NA,10754827.5209528,5339924.38573276,NA,8019740.44574715,14569511.5110864,NA,7234824.8099934,NA,NA,12617546.8471787,NA,12599339.3659406,NA,NA,12716921.4775438
CMP,127818.154841732,176129.675845833,138985.719802865,103612.031292505,189780.517185379,286066.30653139,329550.771867667,695453.664003137,115443.89701899,258805.916337282,109199.168268459,277457.614811417,239830.787709545,590915.509500262,342463.963568245,151772.90494669,324767.765241626,207768.265059364,228054.200241245,394381.543200958,366212.978274949,141652.044189401,349512.674866582,267165.704050789
CMPF,64618.0658391485,19481.9640534925,9939.24503541166,NA,4719.40916236717,68986.9698703142,3826.09111755805,NA,NA,NA,7061.74422099377,11954.6746171007,35826.8365689344,155028.569408796,234980.793862635,8822.41950012295,43766.5432484612,33650.5090230564,NA,55296.1060449844,256113.006749491,18071.7233827581,NA,41715.6637383162
