"Compound.ID","Name","Formula","Sample02","Sample03","Sample04","Sample06","Sample07","Sample13","Sample15","Sample17","Sample18","Sample21","Sample23","Sample24","Sample26","Sample31","Sample33","Sample37","Sample40","Sample41","Sample42","Sample43","Sample46","Sample47","Sample49","Sample50"
"C8-Pos-101432",NA,"C28 H54 O3 S",360431.994397934,498259.589632932,454251.752975986,482557.263683795,495313.227654451,426981.616140036,NA,NA,248197.824364784,420903.869472147,392968.738770669,508275.067531237,533717.83856177,NA,441154.55119126,422347.861417027,452485.856943647,421605.083661237,333592.112578324,244147.301417914,315239.90261257,380473.532274286,359541.578038706,273346.899100127
"C8-Pos-101433",NA,"C28 H56 O4 S",360431.994397934,498259.589632932,454251.752975986,482557.263683795,495313.227654451,426981.616140036,NA,263182.31077957,248197.824364784,420903.869472147,392968.738770669,508275.067531237,533717.83856177,NA,441154.55119126,422347.861417027,452485.856943647,421605.083661237,333592.112578324,244147.301417914,315239.90261257,380473.532274286,359541.578038706,273346.899100127
"C8-Pos-101434",NA,"C39 H77 N9 O4 P2",304031.703163705,265821.307055867,157317.346714831,214727.794883483,532941.934790699,326922.786286242,281461.638220912,284129.38878237,203739.62060911,244542.108835638,321704.925714961,400888.86328327,155371.969429284,350339.852361429,280415.220024788,257467.169425093,356095.498881752,300443.875648818,312957.098069454,102400.919214359,341770.434162219,284803.729935477,334712.29451674,341900.216109202
"C8-Pos-101435",NA,"C35 H77 N9 O12",304031.703163705,265821.307055867,157317.346714831,214727.794883483,532941.934790699,326922.786286242,281461.638220912,284129.38878237,203739.62060911,244542.108835638,321704.925714961,400888.86328327,155371.969429284,350339.852361429,280415.220024788,257467.169425093,356095.498881752,300443.875648818,312957.098069454,102400.919214359,341770.434162219,284803.729935477,334712.29451674,341900.216109202
"C8-Pos-101436",NA,"C31 H53 N2 O P",324845.807362905,512161.438353125,461752.549406459,467723.328888169,429071.299417151,437806.239208494,289742.127387581,265569.771514495,275551.232617691,363827.557768206,372616.848409789,397777.681700852,418010.22346021,278907.300815291,532311.729142051,375087.19863405,386479.369069901,379043.101870782,381081.530027856,127891.268122628,343238.177559354,414146.270546263,334662.123689637,190762.713440973
"C8-Pos-101437",NA,"C25 H55 N4 O P",319576.538707918,246381.886260206,510420.142361055,242777.712749832,491243.973437487,260701.670690849,165499.1004312,157347.793772144,283466.950141429,531868.064257304,328525.06947432,295914.23013292,130965.166632653,406425.602286036,220583.616158914,275821.751021344,207224.92071079,279267.249138336,377513.339182373,331083.921543845,231717.529302005,227444.246360497,223321.570217315,327182.846981705
"C8-Pos-101438",NA,"C47 H98 N5 O4 P3",NA,NA,NA,NA,NA,224220.035680793,NA,NA,368895.005752181,148733.783245453,107801.374153179,NA,38588.4838249619,NA,NA,NA,177483.806816239,NA,NA,162808.645683719,531810.071868541,303995.605899241,166063.360995988,NA
"C8-Pos-101439",NA,"C39 H74 N6 O11 P2",106286.546431594,203458.059771368,NA,248360.10628743,NA,306613.247821958,71059.7530419446,NA,388603.378301538,109977.500314758,210069.902190592,67554.1326224219,531772.120333814,144238.027358148,333402.533355968,286884.155859591,79264.0763681188,257671.381210839,302606.899116234,NA,307449.007656811,99023.7391498204,267822.378194551,428947.885416132
"C8-Pos-101440",NA,"C16 H28 O4",173466.664712179,108237.914244505,222811.985580766,234833.305999007,183710.1279922,269008.784452167,394310.284935748,186081.073808362,195709.062636874,197471.129781551,176024.432340957,151061.570538392,254014.38773334,231913.210906503,531173.211620326,218920.864364233,170392.91569987,307571.446286116,222247.967987579,266882.789436417,240479.145321361,197649.019305666,176033.505468357,215302.54705503
"C8-Pos-101441",NA,"C16 H30 N6 O4",216523.702793172,215555.760689214,530181.604008072,299985.529354477,282536.777201039,242016.446278394,216062.520220097,213606.853374903,245703.06115007,253340.3216166,208566.824706398,244698.305681546,237862.884435519,206165.909770444,278997.45663444,207295.036944744,201819.833948896,204004.108359728,202314.074012945,145807.282043449,230437.545328131,219069.871207405,198593.656255772,190441.607651373
"C8-Pos-101442",NA,"C7 H19 N8 P",53325.1078849363,85560.0825004374,90911.9892623552,222138.107979151,76248.0564325306,98074.0129408411,55805.2383828196,168168.894349484,61831.9126650676,530057.746378913,115014.797623106,152876.673767068,151120.331063556,109120.856618971,151237.807870001,100084.23940239,95505.1051945045,53031.5417731512,90772.2671486609,83744.7917206608,140403.183000305,86215.8000677485,74372.0041484074,117567.937013362
"C8-Pos-101443",NA,"C47 H87 N5 O5 P2",329008.996115261,240897.801428853,277811.409849737,490502.737262092,265555.092487425,529801.171364686,438568.540285806,397311.990008653,420676.945754632,311259.338927328,298440.386105315,300560.072042594,272324.225834212,250928.168348908,262041.736136296,328090.082585128,257870.391056446,244468.062649002,426217.630652568,487747.54007426,275452.994485995,317101.066268227,282056.646771673,338100.8413189
"C8-Pos-101444",NA,"C36 H77 N3 O7",515975.722847134,485094.474598924,490767.068308395,490333.32710856,402931.642258602,477604.352678334,478647.812624534,475094.378858291,428861.668363745,384764.538816365,507431.377806913,439969.676844652,503900.635738955,451690.544665171,476118.949081525,473258.993659327,479337.013833087,474289.541237037,462023.703934656,420328.953264645,444229.368264539,528973.540785008,463689.497676858,495014.200022356
"C8-Pos-101445",NA,"C27 H43 N O3 S",202119.820435735,132309.315270419,107859.940715757,104074.658423956,161533.147300134,259804.406725485,209272.481492833,209231.13647285,140917.968405237,528143.76505298,161432.068908562,158483.782532493,146955.662211086,131425.632179116,168560.812939092,125326.636532715,155827.079124557,238684.168044839,157489.61676399,255498.742779702,166056.643099414,251247.688581616,125973.838427429,170061.125599589
"C8-Pos-101446",NA,"C15 H24 N10",201850.323858301,217395.370194384,132506.281269332,200285.118456162,281814.75712714,289510.232711521,NA,187716.032676156,337087.078503414,209321.729073673,115134.862884549,168990.211787793,176864.373228517,NA,152071.445043026,NA,NA,523908.57140132,192699.40981253,326254.290512528,190503.892965177,NA,NA,147230.944707602
"C8-Pos-101447",NA,"C33 H70 N3 O9 P S",466767.704810521,495079.38157566,443484.555875176,420787.952716022,472050.175355197,420685.263054792,327270.583562423,510649.829337583,314415.002740913,379414.050899299,523805.450372166,450022.936881914,320192.429036524,269379.851015972,340032.346299374,232342.891716314,437816.045506484,344664.691254402,485235.491819693,396153.58479155,371252.642387761,208470.597406758,516285.870384349,494321.539767347
"C8-Pos-101448",NA,"C40 H78 N7 O7 P",323274.923635147,NA,390982.024492966,251814.370720487,523686.727029135,257318.740513844,402769.987987007,342660.900897565,137415.225695982,407978.087682067,305954.821852513,420280.873174902,NA,306959.500150138,297954.904053225,412297.945651888,278481.528180844,NA,NA,NA,353685.962427149,274905.902553833,NA,274561.037569907
"C8-Pos-101449",NA,"C6 H13 Cl N9 O3 P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,521817.45997166,NA,NA,NA,NA,NA,NA,NA,NA
"C8-Pos-101450",NA,"C56 H97 N3 O11 P2",447342.960487335,491474.280244904,423804.078720531,483767.540930497,519652.134205563,439256.02790322,467292.191827164,487283.098106275,444208.582052934,467681.654342759,385547.87232182,411915.528669255,440237.373314374,447518.29348468,439096.748753949,434138.553465039,433261.875879932,476080.893829963,444042.424268153,311479.508643353,435509.906254274,452431.922558207,395493.377313674,432502.762398258
"C8-Pos-101451",NA,"C21 H46 N5 P S",322431.780880185,225379.616592227,411190.715425771,267826.614299477,446861.034898865,345473.924723976,196999.20030416,379542.162828079,469107.917557655,291784.984668929,58795.7772567393,29477.1632217625,298073.125550132,268401.489878761,305185.937436905,465695.884870099,62579.7973652975,291808.752226508,315644.262255142,395593.928631458,NA,303277.749539825,335489.282108058,517481.459116078
"C8-Pos-101452",NA,"C26 H48 N4 O3",136781.60349609,191190.575145237,131484.539017706,138680.948132609,179715.611197601,157442.993279339,153731.618728245,152777.513561174,387242.168951263,254522.344625134,346135.101880626,173387.534138754,108424.450496437,254498.545046208,145523.655737592,190635.947213562,311682.277787965,156592.725113282,206991.439141357,276331.47109195,517402.409207059,135248.508540745,149490.790819457,185938.582603811
"C8-Pos-101453",NA,"C13 H21 N O2",177137.20936042,289134.564722703,382468.929574381,287510.656175402,112888.636178245,386740.144901674,135876.021233341,517387.143336322,179419.800100247,90626.2428020633,180066.758772453,213202.567608122,376188.078594057,392951.611522129,251734.429934826,356324.633441948,424073.284380541,179884.502029014,195679.853973925,71574.3058303535,76200.1155158769,107623.462735625,121368.275354638,109582.42559705
"C8-Pos-101454",NA,"C13 H24 N2 O2",177137.20936042,289134.564722703,382468.929574381,287510.656175402,112888.636178245,386740.144901674,135876.021233341,517387.143336322,179419.800100247,90626.2428020633,180066.758772453,213202.567608122,376188.078594057,392951.611522129,251734.429934826,356324.633441948,424073.284380541,179884.502029014,195679.853973925,71574.3058303535,76200.1155158769,107623.462735625,121368.275354638,109582.42559705
"C8-Pos-101455",NA,"C25 H49 N5 O5",NA,NA,NA,NA,NA,NA,NA,NA,470335.772110204,NA,NA,120504.20941465,NA,NA,NA,NA,NA,72648.9558095587,NA,NA,NA,517062.646120682,NA,NA
"C8-Pos-101456",NA,"C63 H116 N9 O17 P",10653.5387605047,51491.1205423063,91128.1459444876,25016.8449263576,224201.434142192,22200.7081859093,36881.6452200488,155140.982375824,516693.789841194,181833.232227798,230992.92992784,72165.7365509888,406902.240087992,17089.3548943369,NA,20918.2541459048,NA,193076.298849253,25535.853197176,102568.048264889,NA,38800.0722398801,20232.5689985596,55551.9109666268
