set_id,condition,set_label,set_type,reported,OR,p_unmatched,FDR_unmatched,fold,p_matched,FDR_matched,observed,null_mean
cad_aragam,CAD,CAD (Aragam 2022),control,TRUE,3.2780979794825797,5.729479400278161e-4,8.594219100417241e-4,1.2762698885390964,0.22717728227177283,0.373012698730127,12,9.4024
ibd_alegbe,IBD,IBD (Alegbe 2026),control,TRUE,4.245209144513684,0.08952030782326904,0.10742436938792285,2.513826043237808,0.18468153184681532,0.373012698730127,2,0.7956
t2d_xue,T2D,T2D (Xue 2018),control,TRUE,2.2153391216939595,0.373621878678853,0.373621878678853,1.3020833333333333,0.5535446455354465,0.6642535746425358,1,0.768
ndd_fu_dd477,NDD,"DD (Fu 2022, DD477)",neuro,TRUE,3.0131423652894376,2.72402383730798e-6,8.352885395404944e-6,0.8179727489232647,0.8892110788921108,0.8892110788921108,26,31.7859
scz_union,SCZ,SCZ (all sources),neuro,TRUE,5.951209554980573,2.784295131801648e-6,8.352885395404944e-6,1.8618217926240828,0.024797520247975203,0.14878512148785122,12,6.4453
epilepsy_union,Epilepsy,Epilepsy (all sources),neuro,TRUE,3.911786323855923,2.3852448991087833e-4,4.7704897982175665e-4,1.2628146991630984,0.24867513248675133,0.373012698730127,11,8.7107
scz_trubetskoy,SCZ,SCZ (Trubetskoy 2022),neuro,FALSE,5.856418879707743,8.180125508636683e-6,3.272050203454673e-5,1.895473265211173,0.026097390260973904,0.10438956104389562,11,5.8033
epi_zhang,Epilepsy,Epilepsy (Zhang 2024),neuro,FALSE,3.252004494317332,0.004663142652676143,0.009326285305352285,1.095305247881269,0.44925507449255075,0.47595240475952405,8,7.3039
epi_ilae,Epilepsy,Epilepsy (ILAE 2023),neuro,FALSE,6.113235447142661,0.016565202804378273,0.022086937072504365,1.4895729890764648,0.3271672832716728,0.47595240475952405,3,2.014
scz_chick,SCZ,SCZ (Chick 2025),neuro,FALSE,6.9648081811481015,0.1501263778974945,0.1501263778974945,1.6377333770062232,0.47595240475952405,0.47595240475952405,1,0.6106
