cell_type,set_id,gene,Compound.ID,Name,Class,Super.Class,logFC,set_label,condition,source,level,set_type,metabolite
IN-MGE-SST,ndd_fu_dd477,PBX3,C18-Pos-002636,S-4-(2-Oxo-Butyl)Glutathione,Carboxylic acids and derivatives,Organic acids and derivatives,-3.014841334199196,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,S-4-(2-Oxo-Butyl)Glutathione
IN-MGE-SST,ndd_fu_dd477,TRPM3,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,-1.4053889372336732,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,Lpc(20:1)
IN-MGE-SST,ndd_fu_dd477,PBX3,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,2.9780450868760004,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,Lpc(20:1)
IN-MGE-SST,ndd_fu_dd477,PRKG1,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,-1.8722669107252723,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,Lpc(20:1)
IN-MGE-SST,ndd_fu_dd477,RYR2,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,1.2081066590742726,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,Lpc(20:1)
IN-MGE-SST,ndd_fu_dd477,FBN2,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,1.983538024694666,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,Lpc(20:1)
IN-MGE-SST,ndd_fu_dd477,ZEB2,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,-2.3061352669317565,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,Lpc(20:1)
IN-MGE-SST,ndd_fu_dd477,SYT1,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,-0.9831225012542716,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,Lpc(20:1)
IN-MGE-SST,ndd_fu_dd477,BCL11B,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,1.0659395378210743,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,Lpc(20:1)
IN-MGE-SST,ndd_fu_dd477,TCF4,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,-0.9884647367122708,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,Lpc(20:1)
IN-MGE-SST,ndd_fu_dd477,FOXP1,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,1.2197255872009067,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,Lpc(20:1)
IN-MGE-SST,ndd_fu_dd477,MEIS2,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,2.1376356196309527,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,Lpc(20:1)
IN-MGE-SST,ndd_fu_dd477,PBX3,C8-Neg-002843,Pc(18:1_5:1cho),Glycerophospholipids,Lipids and lipid-like molecules,2.1424544355871675,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,Pc(18:1_5:1cho)
IN-MGE-SST,ndd_fu_dd477,FBN2,C8-Neg-003439,Dgdg(18:0_11:1),Glycerolipids,Lipids and lipid-like molecules,-1.1580777687361958,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,Dgdg(18:0_11:1)
IN-MGE-SST,ndd_fu_dd477,FOXP1,C8-Pos-000342,Palmitic Acid,Fatty Acyls,Lipids and lipid-like molecules,1.1911334238827436,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,Palmitic Acid
IN-MGE-SST,ndd_fu_dd477,FBN2,C8-Pos-001592,"2-[{[(1s,4s,6s)-4-({5-[4-(Dimethylamino)Phenyl]-1,3,4-Oxadiazol-2-Yl}Methyl)-6-Isopropyl-3-Methyl-2-Cyclohexen-1-Yl]Methyl}(Methyl)Amino]Ethanol",Prenol lipids,Lipids and lipid-like molecules,2.3674619196254914,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,"2-[{[(1s,4s,6s)-4-({5-[4-(Dimethylamino)Phenyl]-1,3,4-Oxadiazol-2-Yl}Methyl)-6-Isopropyl-3-Methyl-2-Cyclohexen-1-Yl]Methyl}(Methyl)Amino]Ethanol"
IN-MGE-SST,ndd_fu_dd477,PBX3,C8-Pos-005214,Pc(14:1_28:3),Glycerophospholipids,Lipids and lipid-like molecules,-3.312981442485182,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,Pc(14:1_28:3)
IN-MGE-SST,ndd_fu_dd477,FOXP1,C8-Pos-005214,Pc(14:1_28:3),Glycerophospholipids,Lipids and lipid-like molecules,-1.2914218202404448,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,Pc(14:1_28:3)
EN-L6b,scz_union,SLC6A1,C18-Pos-002636,S-4-(2-Oxo-Butyl)Glutathione,Carboxylic acids and derivatives,Organic acids and derivatives,-1.35379495496526,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro,S-4-(2-Oxo-Butyl)Glutathione
EN-L6b,scz_union,SGCD,C8-Neg-003439,Dgdg(18:0_11:1),Glycerolipids,Lipids and lipid-like molecules,-1.0968946015409418,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro,Dgdg(18:0_11:1)
EN-L6b,scz_union,TMTC1,C8-Neg-003439,Dgdg(18:0_11:1),Glycerolipids,Lipids and lipid-like molecules,-1.0692475963987225,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro,Dgdg(18:0_11:1)
EN-L6b,scz_union,IL1RAPL1,C8-Neg-003554,Ps(24:2_20:5),Glycerophospholipids,Lipids and lipid-like molecules,-0.6850083655771181,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro,Ps(24:2_20:5)
IN-MGE-SST,scz_union,CALN1,Amide-Neg-000344,L-Ornithine,Carboxylic acids and derivatives,Organic acids and derivatives,1.305355995924606,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro,L-Ornithine
IN-MGE-SST,scz_union,CALN1,Amide-Neg-000697,Dl-Arginine,Carboxylic acids and derivatives,Organic acids and derivatives,1.4206232326658894,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro,Dl-Arginine
IN-MGE-SST,scz_union,OPCML,Amide-Neg-000697,Dl-Arginine,Carboxylic acids and derivatives,Organic acids and derivatives,0.8434231857386939,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro,Dl-Arginine
IN-MGE-SST,scz_union,CSMD1,C18-Pos-000574,L-(-)-Methionine,Carboxylic acids and derivatives,Organic acids and derivatives,0.9609967423851428,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro,L-(-)-Methionine
IN-MGE-SST,scz_union,DCC,C18-Pos-002507,2-(Alpha-D-Mannopyranosyl)-L-Tryptophan,Indoles and derivatives,Organoheterocyclic compounds,-0.9109836955285696,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro,2-(Alpha-D-Mannopyranosyl)-L-Tryptophan
IN-MGE-SST,scz_union,OPCML,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,1.2562110078849318,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro,Lpc(20:1)
IN-MGE-SST,scz_union,CALN1,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,2.1642832837414647,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro,Lpc(20:1)
IN-MGE-SST,scz_union,CSMD1,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,1.0550953041103437,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro,Lpc(20:1)
IN-MGE-SST,scz_union,IL1RAPL1,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,-1.2164617454456543,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro,Lpc(20:1)
IN-MGE-SST,scz_union,BCL11B,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,1.0659395378210743,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro,Lpc(20:1)
IN-MGE-SST,scz_union,CALN1,C8-Pos-001592,"2-[{[(1s,4s,6s)-4-({5-[4-(Dimethylamino)Phenyl]-1,3,4-Oxadiazol-2-Yl}Methyl)-6-Isopropyl-3-Methyl-2-Cyclohexen-1-Yl]Methyl}(Methyl)Amino]Ethanol",Prenol lipids,Lipids and lipid-like molecules,2.253951190393864,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro,"2-[{[(1s,4s,6s)-4-({5-[4-(Dimethylamino)Phenyl]-1,3,4-Oxadiazol-2-Yl}Methyl)-6-Isopropyl-3-Methyl-2-Cyclohexen-1-Yl]Methyl}(Methyl)Amino]Ethanol"
