gene,cell_type,Compound.ID,Name,Class,Super.Class,logFC,set_id,set_label,condition,source,level,set_type
RYR2,IN-CGE-Immature,C18-Neg-000020,Methyl Dihydrogen Phosphate,Organic phosphoric acids and derivatives,Organic acids and derivatives,2.261882084064338,epi_ilae,Epilepsy (ILAE 2023),Epilepsy,ILAE 2023,paper,neuro
RYR2,IN-CGE-Immature,C18-Neg-000020,Methyl Dihydrogen Phosphate,Organic phosphoric acids and derivatives,Organic acids and derivatives,2.261882084064338,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
MEIS2,IN-CGE-Immature,C8-Neg-003439,Dgdg(18:0_11:1),Glycerolipids,Lipids and lipid-like molecules,-1.5739127635558412,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
RARB,IN-CGE-Immature,C8-Neg-003439,Dgdg(18:0_11:1),Glycerolipids,Lipids and lipid-like molecules,-1.982440340867509,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
DCC,IN-CGE-Immature,C8-Neg-003439,Dgdg(18:0_11:1),Glycerolipids,Lipids and lipid-like molecules,-1.562547356014231,scz_union,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro
DCC,IN-CGE-Immature,C8-Neg-003439,Dgdg(18:0_11:1),Glycerolipids,Lipids and lipid-like molecules,-1.562547356014231,scz_trubetskoy,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro
MEIS2,IN-CGE-Immature,C8-Neg-003807,Sqdg(14:0_30:6),Glycerolipids,Lipids and lipid-like molecules,1.8634231670529744,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
RARB,IN-CGE-Immature,C8-Neg-003807,Sqdg(14:0_30:6),Glycerolipids,Lipids and lipid-like molecules,2.051802579261232,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
DCC,IN-CGE-Immature,C8-Neg-003807,Sqdg(14:0_30:6),Glycerolipids,Lipids and lipid-like molecules,1.759822451853635,scz_union,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro
DCC,IN-CGE-Immature,C8-Neg-003807,Sqdg(14:0_30:6),Glycerolipids,Lipids and lipid-like molecules,1.759822451853635,scz_trubetskoy,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro
PLCG2,IN-CGE-Immature,C8-Pos-000820,Docosanamide,Fatty Acyls,Lipids and lipid-like molecules,-0.9757133485157756,cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control
RBFOX1,IN-CGE-Immature,C8-Pos-005188,Pe(22:2_21:4cooh),Glycerophospholipids,Lipids and lipid-like molecules,-1.6822282087800509,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
RBFOX1,IN-CGE-Immature,C8-Pos-005188,Pe(22:2_21:4cooh),Glycerophospholipids,Lipids and lipid-like molecules,-1.6822282087800509,epi_ilae,Epilepsy (ILAE 2023),Epilepsy,ILAE 2023,paper,neuro
RARB,IN-CGE-Immature,C8-Pos-005214,Pc(14:1_28:3),Glycerophospholipids,Lipids and lipid-like molecules,-2.6486835965763933,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
PDE1C,IN-MGE-Immature,Amide-Neg-000108,2-Oxobutanoic Acid,Keto acids and derivatives,Organic acids and derivatives,1.9989190488142297,cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control
RBFOX1,IN-MGE-Immature,C18-Pos-001575,Asp-Phe,Carboxylic acids and derivatives,Organic acids and derivatives,0.31084646352395295,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
RBFOX1,IN-MGE-Immature,C18-Pos-001575,Asp-Phe,Carboxylic acids and derivatives,Organic acids and derivatives,0.31084646352395295,epi_ilae,Epilepsy (ILAE 2023),Epilepsy,ILAE 2023,paper,neuro
RBFOX1,IN-MGE-Immature,C8-Pos-000787,1-Linoleoyl Glycerol,Fatty Acyls,Lipids and lipid-like molecules,0.33781740728456,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
RBFOX1,IN-MGE-Immature,C8-Pos-000787,1-Linoleoyl Glycerol,Fatty Acyls,Lipids and lipid-like molecules,0.33781740728456,epi_ilae,Epilepsy (ILAE 2023),Epilepsy,ILAE 2023,paper,neuro
DCC,IN-MGE-Immature,C8-Pos-000806,Glycerol Monooleate,Glycerolipids,Lipids and lipid-like molecules,2.3974934643787806,scz_union,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro
DCC,IN-MGE-Immature,C8-Pos-000806,Glycerol Monooleate,Glycerolipids,Lipids and lipid-like molecules,2.3974934643787806,scz_trubetskoy,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro
PTPRD,IN-MGE-Immature,C8-Pos-003535,Pe 16:1_16:1,Glycerophospholipids,Lipids and lipid-like molecules,-0.374494817586618,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
PTPRD,IN-MGE-Immature,C8-Pos-003535,Pe 16:1_16:1,Glycerophospholipids,Lipids and lipid-like molecules,-0.374494817586618,scz_union,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro
PTPRD,IN-MGE-Immature,C8-Pos-003535,Pe 16:1_16:1,Glycerophospholipids,Lipids and lipid-like molecules,-0.374494817586618,scz_trubetskoy,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro
RBFOX1,IN-MGE-Immature,C8-Pos-003694,Tg(15:1cooh_24:0),Glycerolipids,Lipids and lipid-like molecules,0.2798946242546477,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
RBFOX1,IN-MGE-Immature,C8-Pos-003694,Tg(15:1cooh_24:0),Glycerolipids,Lipids and lipid-like molecules,0.2798946242546477,epi_ilae,Epilepsy (ILAE 2023),Epilepsy,ILAE 2023,paper,neuro
RELN,IN-MGE-Immature,C8-Pos-004035,Lpe 38:6,Glycerophospholipids,Lipids and lipid-like molecules,0.6848739198204167,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
RELN,IN-MGE-Immature,C8-Pos-004035,Lpe 38:6,Glycerophospholipids,Lipids and lipid-like molecules,0.6848739198204167,epi_zhang,Epilepsy (Zhang 2024),Epilepsy,Zhang 2024,paper,neuro
SEMA3C,IN-MGE-Immature,C8-Pos-005189,Ps 22:4_22:5,Glycerophospholipids,Lipids and lipid-like molecules,-0.9404843289722912,cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control
PLCG2,IN-MGE-SST,Amide-Neg-000032,Pyruvic Acid,Keto acids and derivatives,Organic acids and derivatives,1.2644869240845873,cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control
RPL19,IN-MGE-SST,Amide-Neg-000032,Pyruvic Acid,Keto acids and derivatives,Organic acids and derivatives,1.0183881365372744,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
RPL10A,IN-MGE-SST,Amide-Neg-000032,Pyruvic Acid,Keto acids and derivatives,Organic acids and derivatives,1.0123643529479716,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
FOXP2,IN-MGE-SST,Amide-Neg-000078,Isobutyric Acid,Carboxylic acids and derivatives,Organic acids and derivatives,2.354530029110186,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
RASGEF1B,IN-MGE-SST,Amide-Neg-000171,Glutaric Anhydride,Lactones,Organoheterocyclic compounds,1.580262656872895,cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control
CALN1,IN-MGE-SST,Amide-Neg-000344,L-Ornithine,Carboxylic acids and derivatives,Organic acids and derivatives,1.305355995924606,scz_union,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro
CALN1,IN-MGE-SST,Amide-Neg-000344,L-Ornithine,Carboxylic acids and derivatives,Organic acids and derivatives,1.305355995924606,scz_trubetskoy,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro
FOXP2,IN-MGE-SST,Amide-Neg-000484,L-Lysine,Carboxylic acids and derivatives,Organic acids and derivatives,2.252167615030164,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
CALN1,IN-MGE-SST,Amide-Neg-000697,Dl-Arginine,Carboxylic acids and derivatives,Organic acids and derivatives,1.4206232326658894,scz_union,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro
CALN1,IN-MGE-SST,Amide-Neg-000697,Dl-Arginine,Carboxylic acids and derivatives,Organic acids and derivatives,1.4206232326658894,scz_trubetskoy,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro
OPCML,IN-MGE-SST,Amide-Neg-000697,Dl-Arginine,Carboxylic acids and derivatives,Organic acids and derivatives,0.8434231857386939,scz_union,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro
OPCML,IN-MGE-SST,Amide-Neg-000697,Dl-Arginine,Carboxylic acids and derivatives,Organic acids and derivatives,0.8434231857386939,scz_trubetskoy,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro
SYT1,IN-MGE-SST,Amide-Neg-000697,Dl-Arginine,Carboxylic acids and derivatives,Organic acids and derivatives,-0.6034441822391431,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
PRKCB,IN-MGE-SST,Amide-Pos-001107,L-Saccharopine,Carboxylic acids and derivatives,Organic acids and derivatives,-2.476549854353105,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
ZFHX4,IN-MGE-SST,C18-Pos-000574,L-(-)-Methionine,Carboxylic acids and derivatives,Organic acids and derivatives,2.9028495313125378,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
CSMD1,IN-MGE-SST,C18-Pos-000574,L-(-)-Methionine,Carboxylic acids and derivatives,Organic acids and derivatives,0.9609967423851428,scz_union,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro
CSMD1,IN-MGE-SST,C18-Pos-000574,L-(-)-Methionine,Carboxylic acids and derivatives,Organic acids and derivatives,0.9609967423851428,scz_trubetskoy,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro
DCC,IN-MGE-SST,C18-Pos-002507,2-(Alpha-D-Mannopyranosyl)-L-Tryptophan,Indoles and derivatives,Organoheterocyclic compounds,-0.9109836955285696,scz_union,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro
DCC,IN-MGE-SST,C18-Pos-002507,2-(Alpha-D-Mannopyranosyl)-L-Tryptophan,Indoles and derivatives,Organoheterocyclic compounds,-0.9109836955285696,scz_trubetskoy,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro
FBN2,IN-MGE-SST,C18-Pos-002636,S-4-(2-Oxo-Butyl)Glutathione,Carboxylic acids and derivatives,Organic acids and derivatives,-1.630650599516399,cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control
FBN2,IN-MGE-SST,C18-Pos-002636,S-4-(2-Oxo-Butyl)Glutathione,Carboxylic acids and derivatives,Organic acids and derivatives,-1.630650599516399,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
ZFHX4,IN-MGE-SST,C18-Pos-002636,S-4-(2-Oxo-Butyl)Glutathione,Carboxylic acids and derivatives,Organic acids and derivatives,-2.3917628918436815,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
FOXP1,IN-MGE-SST,C18-Pos-002636,S-4-(2-Oxo-Butyl)Glutathione,Carboxylic acids and derivatives,Organic acids and derivatives,-1.350871642855484,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
PBX3,IN-MGE-SST,C18-Pos-002636,S-4-(2-Oxo-Butyl)Glutathione,Carboxylic acids and derivatives,Organic acids and derivatives,-3.014841334199196,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
OPCML,IN-MGE-SST,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,1.2562110078849318,scz_union,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro
OPCML,IN-MGE-SST,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,1.2562110078849318,scz_trubetskoy,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro
TRPM3,IN-MGE-SST,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,-1.4053889372336732,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
CALN1,IN-MGE-SST,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,2.1642832837414647,scz_union,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro
CALN1,IN-MGE-SST,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,2.1642832837414647,scz_trubetskoy,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro
CSMD1,IN-MGE-SST,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,1.0550953041103437,scz_union,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro
CSMD1,IN-MGE-SST,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,1.0550953041103437,scz_trubetskoy,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro
PBX3,IN-MGE-SST,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,2.9780450868760004,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
IL1RAPL1,IN-MGE-SST,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,-1.2164617454456543,scz_union,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro
IL1RAPL1,IN-MGE-SST,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,-1.2164617454456543,scz_trubetskoy,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro
PRKG1,IN-MGE-SST,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,-1.8722669107252723,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
RYR2,IN-MGE-SST,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,1.2081066590742726,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
RYR2,IN-MGE-SST,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,1.2081066590742726,epi_ilae,Epilepsy (ILAE 2023),Epilepsy,ILAE 2023,paper,neuro
RYR2,IN-MGE-SST,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,1.2081066590742726,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
FBN2,IN-MGE-SST,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,1.983538024694666,cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control
FBN2,IN-MGE-SST,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,1.983538024694666,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
LGI1,IN-MGE-SST,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,2.053134312641828,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
LGI1,IN-MGE-SST,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,2.053134312641828,epi_zhang,Epilepsy (Zhang 2024),Epilepsy,Zhang 2024,paper,neuro
ZEB2,IN-MGE-SST,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,-2.3061352669317565,cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control
ZEB2,IN-MGE-SST,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,-2.3061352669317565,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
SYT1,IN-MGE-SST,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,-0.9831225012542716,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
RASGEF1B,IN-MGE-SST,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,2.14852894796804,cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control
BCL11B,IN-MGE-SST,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,1.0659395378210743,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
BCL11B,IN-MGE-SST,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,1.0659395378210743,scz_union,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro
BCL11B,IN-MGE-SST,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,1.0659395378210743,scz_trubetskoy,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro
TCF4,IN-MGE-SST,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,-0.9884647367122708,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
FOXP1,IN-MGE-SST,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,1.2197255872009067,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
MEIS2,IN-MGE-SST,C8-Neg-002450,Lpc(20:1),Glycerophospholipids,Lipids and lipid-like molecules,2.1376356196309527,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
PBX3,IN-MGE-SST,C8-Neg-002843,Pc(18:1_5:1cho),Glycerophospholipids,Lipids and lipid-like molecules,2.1424544355871675,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
FBN2,IN-MGE-SST,C8-Neg-003439,Dgdg(18:0_11:1),Glycerolipids,Lipids and lipid-like molecules,-1.1580777687361958,cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control
FBN2,IN-MGE-SST,C8-Neg-003439,Dgdg(18:0_11:1),Glycerolipids,Lipids and lipid-like molecules,-1.1580777687361958,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
FOXP1,IN-MGE-SST,C8-Pos-000342,Palmitic Acid,Fatty Acyls,Lipids and lipid-like molecules,1.1911334238827436,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
CALN1,IN-MGE-SST,C8-Pos-001592,"2-[{[(1s,4s,6s)-4-({5-[4-(Dimethylamino)Phenyl]-1,3,4-Oxadiazol-2-Yl}Methyl)-6-Isopropyl-3-Methyl-2-Cyclohexen-1-Yl]Methyl}(Methyl)Amino]Ethanol",Prenol lipids,Lipids and lipid-like molecules,2.253951190393864,scz_union,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro
CALN1,IN-MGE-SST,C8-Pos-001592,"2-[{[(1s,4s,6s)-4-({5-[4-(Dimethylamino)Phenyl]-1,3,4-Oxadiazol-2-Yl}Methyl)-6-Isopropyl-3-Methyl-2-Cyclohexen-1-Yl]Methyl}(Methyl)Amino]Ethanol",Prenol lipids,Lipids and lipid-like molecules,2.253951190393864,scz_trubetskoy,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro
RASGEF1B,IN-MGE-SST,C8-Pos-001592,"2-[{[(1s,4s,6s)-4-({5-[4-(Dimethylamino)Phenyl]-1,3,4-Oxadiazol-2-Yl}Methyl)-6-Isopropyl-3-Methyl-2-Cyclohexen-1-Yl]Methyl}(Methyl)Amino]Ethanol",Prenol lipids,Lipids and lipid-like molecules,2.315911155129906,cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control
FBN2,IN-MGE-SST,C8-Pos-001592,"2-[{[(1s,4s,6s)-4-({5-[4-(Dimethylamino)Phenyl]-1,3,4-Oxadiazol-2-Yl}Methyl)-6-Isopropyl-3-Methyl-2-Cyclohexen-1-Yl]Methyl}(Methyl)Amino]Ethanol",Prenol lipids,Lipids and lipid-like molecules,2.3674619196254914,cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control
FBN2,IN-MGE-SST,C8-Pos-001592,"2-[{[(1s,4s,6s)-4-({5-[4-(Dimethylamino)Phenyl]-1,3,4-Oxadiazol-2-Yl}Methyl)-6-Isopropyl-3-Methyl-2-Cyclohexen-1-Yl]Methyl}(Methyl)Amino]Ethanol",Prenol lipids,Lipids and lipid-like molecules,2.3674619196254914,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
PBX3,IN-MGE-SST,C8-Pos-005214,Pc(14:1_28:3),Glycerophospholipids,Lipids and lipid-like molecules,-3.312981442485182,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
RASGEF1B,IN-MGE-SST,C8-Pos-005214,Pc(14:1_28:3),Glycerophospholipids,Lipids and lipid-like molecules,-2.049202196500727,cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control
FOXP1,IN-MGE-SST,C8-Pos-005214,Pc(14:1_28:3),Glycerophospholipids,Lipids and lipid-like molecules,-1.2914218202404448,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
GABRB1,IPC-EN,Amide-Pos-000319,L-Glutamic Acid,Carboxylic acids and derivatives,Organic acids and derivatives,-1.1617826989755091,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
GABRB1,IPC-EN,Amide-Pos-000319,L-Glutamic Acid,Carboxylic acids and derivatives,Organic acids and derivatives,-1.1617826989755091,epi_zhang,Epilepsy (Zhang 2024),Epilepsy,Zhang 2024,paper,neuro
PRKG1,IPC-EN,Amide-Pos-000319,L-Glutamic Acid,Carboxylic acids and derivatives,Organic acids and derivatives,-0.9401482961316028,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
RASGEF1B,OPC,Amide-Neg-001321,Cytidine,Pyrimidine nucleosides,"Nucleosides, nucleotides, and analogues",1.7480478515987743,cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control
RASGEF1B,OPC,Amide-Neg-001943,5'-Xanthylic Acid,Purine nucleotides,"Nucleosides, nucleotides, and analogues",2.1582960022939783,cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control
RASGEF1B,OPC,Amide-Pos-000025,Putrescine,Organonitrogen compounds,Organic nitrogen compounds,-2.030716867500968,cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control
ADGRV1,OPC,Amide-Pos-000296,5-Methylcytosine,Diazines,Organoheterocyclic compounds,2.298196116135467,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
ADGRV1,OPC,Amide-Pos-000296,5-Methylcytosine,Diazines,Organoheterocyclic compounds,2.298196116135467,epi_zhang,Epilepsy (Zhang 2024),Epilepsy,Zhang 2024,paper,neuro
PLCG2,OPC,Amide-Pos-000836,Cystathionine,Carboxylic acids and derivatives,Organic acids and derivatives,0.8926485601531065,cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control
RYR2,OPC,Amide-Pos-001017,Glycerophosphocholine,Glycerophospholipids,Lipids and lipid-like molecules,-2.699053201101623,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
RYR2,OPC,Amide-Pos-001017,Glycerophosphocholine,Glycerophospholipids,Lipids and lipid-like molecules,-2.699053201101623,epi_ilae,Epilepsy (ILAE 2023),Epilepsy,ILAE 2023,paper,neuro
RYR2,OPC,Amide-Pos-001017,Glycerophosphocholine,Glycerophospholipids,Lipids and lipid-like molecules,-2.699053201101623,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
RYR2,OPC,Amide-Pos-001446,Glutathionesulfonic Acid,Carboxylic acids and derivatives,Organic acids and derivatives,-2.391520507647404,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
RYR2,OPC,Amide-Pos-001446,Glutathionesulfonic Acid,Carboxylic acids and derivatives,Organic acids and derivatives,-2.391520507647404,epi_ilae,Epilepsy (ILAE 2023),Epilepsy,ILAE 2023,paper,neuro
RYR2,OPC,Amide-Pos-001446,Glutathionesulfonic Acid,Carboxylic acids and derivatives,Organic acids and derivatives,-2.391520507647404,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
ADGRV1,OPC,C18-Neg-001640,2'-Guanylic Acid,Organooxygen compounds,Organic oxygen compounds,1.258255595113507,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
ADGRV1,OPC,C18-Neg-001640,2'-Guanylic Acid,Organooxygen compounds,Organic oxygen compounds,1.258255595113507,epi_zhang,Epilepsy (Zhang 2024),Epilepsy,Zhang 2024,paper,neuro
RASGEF1B,OPC,C18-Pos-002454,Guanosine-5'-Monophosphate,Purine nucleotides,"Nucleosides, nucleotides, and analogues",-2.123310194636344,cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control
PLCG2,OPC,C18-Pos-002636,S-4-(2-Oxo-Butyl)Glutathione,Carboxylic acids and derivatives,Organic acids and derivatives,0.5879917274157123,cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control
RBFOX1,OPC,C8-Neg-000295,Linoleic Acid,Fatty Acyls,Lipids and lipid-like molecules,0.6166113785122079,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
RBFOX1,OPC,C8-Neg-000295,Linoleic Acid,Fatty Acyls,Lipids and lipid-like molecules,0.6166113785122079,epi_ilae,Epilepsy (ILAE 2023),Epilepsy,ILAE 2023,paper,neuro
ADGRV1,OPC,C8-Neg-000367,Myristyl Sulfate,Organic sulfuric acids and derivatives,Organic acids and derivatives,-0.8938055420478014,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
ADGRV1,OPC,C8-Neg-000367,Myristyl Sulfate,Organic sulfuric acids and derivatives,Organic acids and derivatives,-0.8938055420478014,epi_zhang,Epilepsy (Zhang 2024),Epilepsy,Zhang 2024,paper,neuro
