gene,cell_type,Compound.ID,Name,Class,Super.Class,logFC,set_id,set_label,condition,source,level,set_type
FOXO1,EN-L6b,C8-Neg-002453,Pc(14:0_4:1cho),Glycerophospholipids,Lipids and lipid-like molecules,3.5538825659054525,ibd_alegbe,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control
SGCD,EN-L6b,C8-Neg-003439,Dgdg(18:0_11:1),Glycerolipids,Lipids and lipid-like molecules,-1.0968946015409418,cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control
SGCD,EN-L6b,C8-Neg-003439,Dgdg(18:0_11:1),Glycerolipids,Lipids and lipid-like molecules,-1.0968946015409418,scz_union,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro
SGCD,EN-L6b,C8-Neg-003439,Dgdg(18:0_11:1),Glycerolipids,Lipids and lipid-like molecules,-1.0968946015409418,scz_trubetskoy,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro
TMTC1,EN-L6b,C8-Neg-003439,Dgdg(18:0_11:1),Glycerolipids,Lipids and lipid-like molecules,-1.0692475963987225,scz_union,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro
TMTC1,EN-L6b,C8-Neg-003439,Dgdg(18:0_11:1),Glycerolipids,Lipids and lipid-like molecules,-1.0692475963987225,scz_trubetskoy,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro
NEUROD2,EN-L6b,C8-Neg-003439,Dgdg(18:0_11:1),Glycerolipids,Lipids and lipid-like molecules,1.0206001856411893,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
NEUROD2,EN-L6b,C8-Neg-003439,Dgdg(18:0_11:1),Glycerolipids,Lipids and lipid-like molecules,1.0206001856411893,epi_zhang,Epilepsy (Zhang 2024),Epilepsy,Zhang 2024,paper,neuro
IL1RAPL1,EN-L6b,C8-Neg-003554,Ps(24:2_20:5),Glycerophospholipids,Lipids and lipid-like molecules,-0.6850083655771181,scz_union,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro
IL1RAPL1,EN-L6b,C8-Neg-003554,Ps(24:2_20:5),Glycerophospholipids,Lipids and lipid-like molecules,-0.6850083655771181,scz_trubetskoy,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro
INHBA,EN-L6b,C8-Neg-003807,Sqdg(14:0_30:6),Glycerolipids,Lipids and lipid-like molecules,2.0215566282232813,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
SMAD3,EN-L6b,C8-Pos-003614,Tg(36:6_4:0),Glycerolipids,Lipids and lipid-like molecules,1.8498171029801291,cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control
ZFHX4,EN-L6b,C8-Pos-004750,Pe 21:2_21:2,Glycerophospholipids,Lipids and lipid-like molecules,-3.0177406166720084,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
ERF,EN-L6b,C8-Pos-004921,Tg(49:11_2:0),Glycerolipids,Lipids and lipid-like molecules,-1.852541118540276,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
