n_fg,n_set_tested,fg_in_set,bg_in_set,OR,ci_lo,ci_hi,p,cell_type,set_id,n_bg,set_label,condition,source,level,set_type,reported,FDR,significant
42,20,0,20,NA,NA,NA,NA,Astrocyte-Immature,ibd_alegbe,16648,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,TRUE,NA,FALSE
25,25,1,24,44.24410543532685,1.035953892385452,295.2463874405276,0.024144074358801948,EN-IT-Immature,ibd_alegbe,25597,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,TRUE,0.09389362250645202,FALSE
20,25,0,25,NA,NA,NA,NA,EN-L6-IT,ibd_alegbe,24011,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,TRUE,NA,FALSE
107,24,1,23,9.36826020285078,0.22546121145363907,58.794340835764736,0.10599775010906431,EN-L6b,ibd_alegbe,22984,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,TRUE,0.2061067363231806,FALSE
38,25,0,25,NA,NA,NA,NA,EN-Newborn,ibd_alegbe,24018,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,TRUE,NA,FALSE
129,22,0,22,NA,NA,NA,NA,EN-Non-IT-Immature,ibd_alegbe,21487,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,TRUE,NA,FALSE
117,18,1,17,7.757073831678966,0.1841172398801185,50.337401415577055,0.12804795114231016,IN-CGE-Immature,ibd_alegbe,15437,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,TRUE,0.22186171045650557,FALSE
43,19,0,19,NA,NA,NA,NA,IN-MGE-Immature,ibd_alegbe,15524,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,TRUE,NA,FALSE
166,19,0,19,NA,NA,NA,NA,IN-MGE-SST,ibd_alegbe,15743,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,TRUE,NA,FALSE
45,19,0,19,NA,NA,NA,NA,OPC,ibd_alegbe,13445,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,TRUE,NA,FALSE
42,21,0,21,NA,NA,NA,NA,Astrocyte-Immature,t2d_xue,16648,T2D (Xue 2018),T2D,Xue 2018,paper,control,TRUE,NA,FALSE
25,23,0,23,NA,NA,NA,NA,EN-IT-Immature,t2d_xue,25597,T2D (Xue 2018),T2D,Xue 2018,paper,control,TRUE,NA,FALSE
20,23,0,23,NA,NA,NA,NA,EN-L6-IT,t2d_xue,24011,T2D (Xue 2018),T2D,Xue 2018,paper,control,TRUE,NA,FALSE
107,23,0,23,NA,NA,NA,NA,EN-L6b,t2d_xue,22984,T2D (Xue 2018),T2D,Xue 2018,paper,control,TRUE,NA,FALSE
38,23,0,23,NA,NA,NA,NA,EN-Newborn,t2d_xue,24018,T2D (Xue 2018),T2D,Xue 2018,paper,control,TRUE,NA,FALSE
129,23,1,22,7.574734510471651,0.1821803755442168,47.60300986338274,0.1293984129007647,EN-Non-IT-Immature,t2d_xue,21487,T2D (Xue 2018),T2D,Xue 2018,paper,control,TRUE,0.22186171045650557,FALSE
117,21,0,21,NA,NA,NA,NA,IN-CGE-Immature,t2d_xue,15437,T2D (Xue 2018),T2D,Xue 2018,paper,control,TRUE,NA,FALSE
43,21,0,21,NA,NA,NA,NA,IN-MGE-Immature,t2d_xue,15524,T2D (Xue 2018),T2D,Xue 2018,paper,control,TRUE,NA,FALSE
